Statistik_Code,Statistik_Label,Zeit_Code,Zeit_Label,Zeit,1_Merkmal_Code,1_Merkmal_Label,1_Auspraegung_Code,1_Auspraegung_Label,2_Merkmal_Code,2_Merkmal_Label,2_Auspraegung_Code,2_Auspraegung_Label,ANL007__Abfallentsorgungsanlagen__Anzahl,ABF001__Input_von_Abfallentsorgungsanlagen__1000_t,ABF002__Im_eigenen_Betrieb_erzeugte_Abfaelle__1000_t,ABF003__Aus_dem_Inland_angelieferter_Abfall__1000_t,ABF004__Aus_dem_Ausland_angelieferter_Abfall__1000_t,ANL008__Abfallentsorgungsanlagen_mit_Output__Anzahl,ABF005__Output_von_Abfallentsorgungsanlagen__1000_t,ABF006__Abfaelle_zur_Beseitigung__1000_t,ABF007__Abfaelle_zur_Verwertung__1000_t,ABF015__Abfaelle_zu_vorbereitenden_Verfahren__1000_t,ABG004__Abgabe_an_Sonstige__1000_t
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,186,88.1,-,87.6,0.5,x,84.8,0.0,83.0,-,1.7
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,200,3916.7,44.1,3815.1,57.5,x,3922.7,201.4,2295.9,-,1425.4
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,09,Bayern,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,1254,25898.6,839.7,25022.4,36.5,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,2,686.8,161.1,525.7,-,x,136.7,11.4,123.2,-,2.2
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,5,249.5,12.5,175.0,62.0,x,.,.,.,-,.
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,3,610.4,-,610.4,-,x,612.7,196.8,415.9,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,18,3.9,-,3.8,0.1,x,3.3,0.0,3.3,-,0.0
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-SCHR-01,Schredderanlagen und Schrottscheren,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-SORT-01,Sortieranlagen,19,906.2,33.4,872.7,0.0,x,892.9,70.8,564.0,-,258.1
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-ZERL-01,Zerlegeeinrichtungen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-SONST-01,Sonstige Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-BERGB-01,Naturbelassene Stoffe im Bergbau,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-LAG-01,Abfaelle in untertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,11,Berlin,ANLAT1,Anlagenart,ANL-LAG-02,Abfaelle in uebertaegigen Abbaustaetten,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-DEPO-01,Deponien,17,4133.9,277.8,3856.0,-,x,221.6,44.3,3.7,-,173.6
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-THERM-01,Thermische Abfallbehandlungsanlagen,5,139.6,97.4,37.3,4.9,x,22.3,12.4,9.9,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-FEUER-01,Feuerungsanlagen,22,3802.5,334.1,3202.1,266.3,x,757.4,74.9,602.1,-,80.4
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-CHEM-01,Chemisch-physikalische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-BODEN-01,Bodenbehandlungsanlagen,6,60.3,0.7,59.6,-,x,70.2,27.4,36.1,-,6.6
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-BIO-01,Biologische Behandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-MECH-01,Mechanisch-biologische Abfallbehandlungsanlagen,-,-,-,-,-,-,-,-,-,-,-
32111,Erhebung der Abfallentsorgung,JAHR,Jahr,2015,DLAND,Bundeslaender,12,Brandenburg,ANLAT1,Anlagenart,ANL-DEM-01,Demontagebetriebe fuer Altfahrzeuge,67,17.4,-,17.1,0.2,x,16.8,0.1,15.3,-,1.4
