,AGS,Name,gerics_text,energy_third,energy_postcard,mobility_third,mobility_postcard,agriculture_third,agriculture_postcard,buildings_third,buildings_postcard,building_postcards,waste_third,waste_postcard
0,0,Deutschland,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich 4.4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7.4 sein. 68 Prozent mehr!

",,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich 4.4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7.4 sein. 68 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Energieerzeugung. In Deutschland kommen etwa <span>17</span> der von der Industrie genutzten Primärenergie aus fossilen Quellen. <span>31 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.

In Deutschland waren zuletzt <span>17 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen.

Um die Erderhitzung zu stoppen, muss unser gesamte Energiebedarf durch ernerbare Quellen gedeckt werden. Schaffen wir das?

Viele Grüße!",,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich 4.4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7.4 sein. 68 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Mobilität. In Deutschland kommen <span className='autos'>58 Autos</span> auf 100 Menschen, davon sind <span className='hybrid'>2</span> E-Autos oder Hybrid</span>.

Im Jahr 2017 wurden etwa <span>22.6 Prozent</span> der gefahrenen Kilometer zu Fuß, mit Fahrrad oder ÖPNV zurückgelegt. 2002 waren es <span>17.9 Prozent</span>.

Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?

Viele Grüße!",,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich 4.4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7.4 sein. 68 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Landwirtschaft. In Deutschland wurden 2020 <span>64</span> Prozent der Tiere innerhalb der ökologischen Grenze von 2 Großvieheinheiten pro Hektar Land gehalten, <span>6</span> davon auf Biobauernhöfen.

Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?

Viele Grüße!",,"Wir könnten etwas dagegen tun, zum Beispiel im Bereich Gebäude. In Deutschland verbrauchen Gebäude 128.34 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 150.84.

Im Jahr 2020 wurden 37.25011871754416 Prozent der neuen Gebäude mit erneuerbaren Energien geheizt, 2016 waren es 29.27148669457352 Prozent.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!","Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich 4.4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7.4 sein. 68 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Gebäude. In Deutschland verbrauchen Gebäude 128.34 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 150.84.

Im Jahr 2020 wurden 37.25011871754416 Prozent der neuen Gebäude mit erneuerbaren Energien geheizt, 2016 waren es 29.27148669457352 Prozent.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!",,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich 4.4 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 7.4 sein. 68 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Abfall. In Deutschland wurden 2020 etwa 128[2] Kilo Biomüll pro Person getrennt gesammelt und so etwa 12.8[3] bis 25.6 Kilo CO2 pro Person vermieden. 2016 wurden 123 Kilo Bioabfall pro Person gesammelt.

Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Bereich Abfall emissionsfrei zu werden?

Viele Grüße!"
1,1,Schleswig-Holstein,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich 2.0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3.0 sein. 50 Prozent mehr!

",oberen Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich 2.0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3.0 sein. 50 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Energieerzeugung. In <span className=""location-name"">Schleswig-Holstein</span> kommen etwa <span>2</span> der von der Industrie genutzten Primärenergie aus fossilen Quellen. <span>80 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.

Im Bundesland <span className=""location-name"">Schleswig-Holstein</span> waren zuletzt <span>30 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen. Damit ist das Bundesland im Vergleich im oberen Drittel.

Um die Erderhitzung zu stoppen, muss unser gesamte Energiebedarf durch ernerbare Quellen gedeckt werden. Schaffen wir das?

Viele Grüße!",mittleren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich 2.0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3.0 sein. 50 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Mobilität. In Schleswig-Holstein kommen 59 Autos auf 100 Menschen, davon sind 2 E-Autos oder Hybrid. Damit liegt das Bundesland im Vergleich im mittleren Drittel.

Im Jahr 2017 wurden etwa 23.8 Prozent der gefahrenen Kilometer zu Fuß, mit Fahrrad oder ÖPNV zurückgelegt. 2002 waren es 16.2 Prozent.

Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?

Viele Grüße!",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich 2.0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3.0 sein. 50 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Landwirtschaft. In Schleswig-Holstein gibt es 941.807[2] Großvieheinheiten. Eine Großvieheinheit entspricht etwa einer Kuh. Bezogen auf die landwirtschaftlich genutzte Fläche liegt das Bundeslanddamit im Vergleich im unteren Drittel.

In Schleswig-Holstein wurden 2020 65 Prozent der Tiere innerhalb der ökologischen Grenze von 2 Großvieheinheiten pro Hektar Land gehalten, 4 davon auf Biobauernhöfen.

Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?

Viele Grüße!",mittleren Drittel,"In Schleswig-Holstein verbrauchen Wohngebäude 129.76 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 165.51.

Im Jahr 2020 wurden 27 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 17 Prozent. Damit liegt das Bundesland im Vergleich im mittleren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!","Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich 2.0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3.0 sein. 50 Prozent mehr!

In Schleswig-Holstein verbrauchen Wohngebäude 129.76 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 165.51.

Im Jahr 2020 wurden 27 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 17 Prozent. Damit liegt das Bundesland im Vergleich im mittleren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!",mittleren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich 2.0 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 3.0 sein. 50 Prozent mehr!

In Schleswig-Holstein wurden 2020 etwa 123 Kilo Biomüll pro Person getrennt gesammelt und so etwa 12.3 bis 24.6 Kilo CO2 pro Person vermieden. 2016 wurden 118 Kilo Bioabfall pro Person gesammelt. Damit liegt das Bundesland im Vergleich im mittleren Drittel.

Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Bereich Abfall emissionsfrei zu werden?

Viele Grüße!"
2,2,Hamburg,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich 3.7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.7 sein. 54 Prozent mehr!

",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich 3.7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.7 sein. 54 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Energieerzeugung. In <span className=""location-name"">Hamburg</span> kommen etwa <span>0</span> der von der Industrie genutzten Primärenergie aus fossilen Quellen. <span>69 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.

Im Bundesland <span className=""location-name"">Hamburg</span> waren zuletzt <span>6 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen. Damit ist das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, muss unser gesamte Energiebedarf durch ernerbare Quellen gedeckt werden. Schaffen wir das?

Viele Grüße!",oberen Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich 3.7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.7 sein. 54 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Mobilität. In Hamburg kommen 44 Autos auf 100 Menschen, davon sind 2 E-Autos oder Hybrid. Damit liegt das Bundesland im Vergleich im oberen Drittel.

Im Jahr 2017 wurden etwa 38.2 Prozent der gefahrenen Kilometer zu Fuß, mit Fahrrad oder ÖPNV zurückgelegt. 2002 waren es 32.6 Prozent.

Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?

Viele Grüße!",mittleren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich 3.7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.7 sein. 54 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Landwirtschaft. In Hamburg gibt es 7.074[2] Großvieheinheiten. Eine Großvieheinheit entspricht etwa einer Kuh. Bezogen auf die landwirtschaftlich genutzte Fläche liegt das Bundeslanddamit im Vergleich im mittleren Drittel.

In Hamburg wurden 2020 6 der Tiere auf Biobauernhöfen gehalten.

Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?

Viele Grüße!",unteren Drittel,"In Hamburg verbrauchen Wohngebäude 141.22 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 171.08.

Im Jahr 2020 wurden 6 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 8 Prozent. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!","Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich 3.7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.7 sein. 54 Prozent mehr!

In Hamburg verbrauchen Wohngebäude 141.22 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 171.08.

Im Jahr 2020 wurden 6 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 8 Prozent. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich 3.7 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.7 sein. 54 Prozent mehr!

In Hamburg wurden 2020 etwa 55 Kilo Biomüll pro Person getrennt gesammelt und so etwa 5.5 bis 11.1 Kilo CO2 pro Person vermieden. 2016 wurden 51 Kilo Bioabfall pro Person gesammelt. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Bereich Abfall emissionsfrei zu werden?

Viele Grüße!"
3,3,Niedersachsen,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich 3.9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.9 sein. 51 Prozent mehr!

",oberen Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich 3.9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.9 sein. 51 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Energieerzeugung. In <span className=""location-name"">Niedersachsen</span> kommen etwa <span>1</span> der von der Industrie genutzten Primärenergie aus fossilen Quellen. <span>72 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.

Im Bundesland <span className=""location-name"">Niedersachsen</span> waren zuletzt <span>23 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen. Damit ist das Bundesland im Vergleich im oberen Drittel.

Um die Erderhitzung zu stoppen, muss unser gesamte Energiebedarf durch ernerbare Quellen gedeckt werden. Schaffen wir das?

Viele Grüße!",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich 3.9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.9 sein. 51 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Mobilität. In Niedersachsen kommen 61 Autos auf 100 Menschen, davon sind 2 E-Autos oder Hybrid. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Im Jahr 2017 wurden etwa 21.9 Prozent der gefahrenen Kilometer zu Fuß, mit Fahrrad oder ÖPNV zurückgelegt. 2002 waren es 17.8 Prozent.

Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?

Viele Grüße!",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich 3.9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.9 sein. 51 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Landwirtschaft. In Niedersachsen gibt es 2.930.734[2] Großvieheinheiten. Eine Großvieheinheit entspricht etwa einer Kuh. Bezogen auf die landwirtschaftlich genutzte Fläche liegt das Bundeslanddamit im Vergleich im unteren Drittel.

In Niedersachsen wurden 2020 46 Prozent der Tiere innerhalb der ökologischen Grenze von 2 Großvieheinheiten pro Hektar Land gehalten, 2 davon auf Biobauernhöfen.

Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?

Viele Grüße!",unteren Drittel,"In Niedersachsen verbrauchen Wohngebäude 130.12 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 155.9.

Im Jahr 2020 wurden 21 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 16 Prozent. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!","Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich 3.9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.9 sein. 51 Prozent mehr!

In Niedersachsen verbrauchen Wohngebäude 130.12 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 155.9.

Im Jahr 2020 wurden 21 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 16 Prozent. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!",oberen Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich 3.9 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.9 sein. 51 Prozent mehr!

In Niedersachsen wurden 2020 etwa 166 Kilo Biomüll pro Person getrennt gesammelt und so etwa 16.6 bis 33.2 Kilo CO2 pro Person vermieden. 2016 wurden 163 Kilo Bioabfall pro Person gesammelt. Damit liegt das Bundesland im Vergleich im oberen Drittel.

Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Bereich Abfall emissionsfrei zu werden?

Viele Grüße!"
4,4,Bremen,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Bremen</span>. Derzeit wird es hier an durchschnittlich 3.8 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.8 sein. 53 Prozent mehr!

",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Bremen</span>. Derzeit wird es hier an durchschnittlich 3.8 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.8 sein. 53 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Energieerzeugung. In <span className=""location-name"">Bremen</span> kommen etwa <span>0</span> der von der Industrie genutzten Primärenergie aus fossilen Quellen. <span>89 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.

Im Bundesland <span className=""location-name"">Bremen</span> waren zuletzt <span>8 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen. Damit ist das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, muss unser gesamte Energiebedarf durch ernerbare Quellen gedeckt werden. Schaffen wir das?

Viele Grüße!",oberen Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Bremen</span>. Derzeit wird es hier an durchschnittlich 3.8 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.8 sein. 53 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Mobilität. In Bremen kommen 44 Autos auf 100 Menschen, davon sind 2 E-Autos oder Hybrid. Damit liegt das Bundesland im Vergleich im oberen Drittel.

Im Jahr 2017 wurden etwa 30.9 Prozent der gefahrenen Kilometer zu Fuß, mit Fahrrad oder ÖPNV zurückgelegt. 2002 waren es 25.0 Prozent.

Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?

Viele Grüße!",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Bremen</span>. Derzeit wird es hier an durchschnittlich 3.8 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.8 sein. 53 Prozent mehr!

Wir könnten etwas dagegen tun, zum Beispiel im Bereich Landwirtschaft. In Bremen gibt es 7.587[2] Großvieheinheiten. Eine Großvieheinheit entspricht etwa einer Kuh. Bezogen auf die landwirtschaftlich genutzte Fläche liegt das Bundeslanddamit im Vergleich im unteren Drittel.

In Bremen wurden 2020 82 Prozent der Tiere innerhalb der ökologischen Grenze von 2 Großvieheinheiten pro Hektar Land gehalten, 15 davon auf Biobauernhöfen.

Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?

Viele Grüße!",unteren Drittel,"In Bremen verbrauchen Wohngebäude 124.85 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 154.03.

Im Jahr 2020 wurden 6 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 5 Prozent. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!","Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Bremen</span>. Derzeit wird es hier an durchschnittlich 3.8 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.8 sein. 53 Prozent mehr!

In Bremen verbrauchen Wohngebäude 124.85 Kilowattstunden pro Quadratmeter im Jahr um zu Heizen, 2002 waren es 154.03.

Im Jahr 2020 wurden 6 Prozent der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es 5 Prozent. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?

Viele Grüße!",unteren Drittel,"Hallo!

Ich schicke dir Grüße aus dem schönen <span className='location-name'>Bremen</span>. Derzeit wird es hier an durchschnittlich 3.8 Tagen im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon 5.8 sein. 53 Prozent mehr!

In Bremen wurden 2020 etwa 84 Kilo Biomüll pro Person getrennt gesammelt und so etwa 8.4 bis 16.7 Kilo CO2 pro Person vermieden. 2016 wurden 86 Kilo Bioabfall pro Person gesammelt. Damit liegt das Bundesland im Vergleich im unteren Drittel.

Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Bereich Abfall emissionsfrei zu werden?

Viele Grüße!"
