Jahr;AGS;Name;Viehbestand 2016
01.03.2016;15153;      Bernburg, Kreis;-
01.03.2016;15154;      Bitterfeld, Kreis;-
01.03.2016;15159;      K�then, Kreis;-
01.03.2016;15171;      Wittenberg, Kreis;-
01.03.2016;152;    Halle, Stat. Region;-
01.03.2016;15202;      Halle (Saale), kreisfreie Stadt;-
01.03.2016;15256;      Burgenlandkreis;-
01.03.2016;15260;      Mansfelder Land, Kreis;-
01.03.2016;15261;      Merseburg-Querfurt, Kreis;-
01.03.2016;15265;      Saalkreis;-
01.03.2016;15266;      Sangerhausen, Kreis;-
01.03.2016;15268;      Wei�enfels, Kreis;-
01.03.2016;153;    Magdeburg, Stat. Region;-
01.03.2016;15303;      Magdeburg, kreisfreie Stadt;-
01.03.2016;15352;      Aschersleben-Sta�furt, Kreis;-
01.03.2016;15355;      B�rdekreis;-
01.03.2016;15357;      Halberstadt, Kreis;-
01.03.2016;15358;      Jerichower Land, Kreis;-
01.03.2016;15362;      Ohrekreis;-
01.03.2016;15363;      Stendal, Kreis;-
01.03.2016;15364;      Quedlinburg, Kreis;-
01.03.2016;15367;      Sch�nebeck, Kreis;-
01.03.2016;15369;      Wernigerode, Kreis;-
01.03.2016;15370;      Altmarkkreis Salzwedel, Kreis;-
01.03.2016;16;  Th�ringen;344949
01.03.2016;16051;      Erfurt, kreisfreie Stadt;1769
01.03.2016;16052;      Gera, kreisfreie Stadt;1235
01.03.2016;16053;      Jena, kreisfreie Stadt;410
01.03.2016;16054;      Suhl, kreisfreie Stadt;143
01.03.2016;16055;      Weimar, kreisfreie Stadt;259
01.03.2016;16056;      Eisenach, kreisfreie Stadt;1550
01.03.2016;16061;      Eichsfeld, Kreis;19832
01.03.2016;16062;      Nordhausen, Kreis;16404
01.03.2016;16063;      Wartburgkreis;28399
01.03.2016;16064;      Unstrut-Hainich-Kreis;18254
01.03.2016;16065;      Kyffh�userkreis;13971
01.03.2016;16066;      Schmalkalden-Meiningen, Kreis;25652
01.03.2016;16067;      Gotha, Kreis;20832
01.03.2016;16068;      S�mmerda, Kreis;13968
01.03.2016;16069;      Hildburghausen, Kreis;19671
01.03.2016;16070;      Ilm-Kreis;12665
01.03.2016;16071;      Weimarer Land, Kreis;20424
01.03.2016;16072;      Sonneberg, Kreis;5194
01.03.2016;16073;      Saalfeld-Rudolstadt, Kreis;20899
01.03.2016;16074;      Saale-Holzland-Kreis;25044
01.03.2016;16075;      Saale-Orla-Kreis;33120
01.03.2016;16076;      Greiz, Kreis;32209
01.03.2016;16077;      Altenburger Land, Kreis;13044
