,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,2.1 Primärenergieverbrauch nach Energieträgern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Energieträger,Einheit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,
,,, Primärenergieverbrauch nach Energieträgern in PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steinkohle,Mio. t SKE,78.7,79.5,74.9,73.0,73.0,70.3,71.3,70.5,70.3,67.1,69.0,66.5,65.7,68.6,65.1,61.7,67.0,68.8,61.4,51.1,58.5,58.5,58.9,62.8,60.0,59.0,57.8,51.3,48.7,37.0,30.6,,,,,,,,,,,,,,,,,,,,,,
,Braunkohle,Mio. t SKE,109.2,85.5,74.3,67.6,63.5,59.2,57.6,54.4,51.7,50.3,52.9,55.7,56.7,55.9,56.2,54.4,53.8,55.0,53.0,51.4,51.6,53.4,56.1,55.6,53.7,53.4,51.5,51.4,50.5,39.7,32.7,,,,,,,,,,,,,,,,,,,,,,
,Mineralöle,Mio. t SKE,178.4,189.3,192.0,196.0,194.2,194.1,198.2,196.3,197.1,191.0,187.6,190.3,183.6,180.4,177.9,176.3,174.7,157.8,167.3,158.2,159.8,154.4,154.4,157.9,153.3,153.3,155.8,159.4,151.9,153.9,139.4,,,,,,,,,,,,,,,,,,,,,,
,Gase,Mio. t SKE,78.6,82.6,81.8,86.5,88.0,95.9,107.3,102.5,103.4,103.1,102.2,107.8,107.7,109.0,109.5,111.3,113.5,109.2,110.2,104.0,108.5,99.7,100.1,104.9,91.2,94.9,104.7,108.0,105.7,109.9,107.4,,,,,,,,,,,,,,,,,,,,,,
,"Erdgas, Erdölgas",Mio. t SKE,78.2,82.2,81.3,86.0,87.6,95.5,106.9,102.1,103.0,102.7,101.9,107.4,107.2,108.6,109.1,110.9,113.0,108.9,109.9,103.7,108.2,99.3,99.6,104.4,90.8,94.5,104.3,107.8,105.5,109.7,107.0,,,,,,,,,,,,,,,,,,,,,,
,Erneuerbare Energien,Mio. t SKE,6.7,6.7,7.1,7.8,8.6,9.4,9.2,11.8,12.9,13.8,14.2,14.7,15.5,19.1,22.2,26.3,32.0,38.1,39.1,41.0,48.2,49.9,47.3,51.1,51.8,56.1,57.2,61.3,61.5,65.0,66.9,,,,,,,,,,,,,,,,,,,,,,
,Sonstige Energieträger,Mio. t SKE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.8,1.5,4.7,5.6,7.2,5.3,5.4,6.9,7.6,8.3,8.7,7.9,7.1,7.7,7.6,8.0,8.0,7.3,7.4,7.3,,,,,,,,,,,,,,,,,,,,,,
,Außenhandelssaldo Strom,Mio. t SKE,0.1,-0.1,-0.7,0.1,0.3,0.6,-0.6,-0.3,-0.1,0.1,0.4,0.3,0.1,-1.0,-0.9,-1.0,-2.4,-2.3,-2.8,-1.8,-2.2,-0.8,-2.8,-4.0,-4.2,-5.9,-6.2,-6.4,-6.0,-4.0,-2.3,,,,,,,,,,,,,,,,,,,,,,
,Kernenergie,Mio. t SKE,56.9,54.9,59.1,57.1,56.3,57.4,60.2,63.4,60.2,63.3,63.2,63.7,61.4,61.4,62.2,60.7,62.3,52.3,55.4,50.2,52.3,40.2,37.0,36.2,36.2,34.2,31.5,28.4,28.3,27.9,24.0,,,,,,,,,,,,,,,,,,,,,,
,Insgesamt,Mio. t SKE,508.6,498.5,488.6,488.2,484.0,486.9,503.1,498.6,495.4,488.7,491.4,500.8,492.3,498.2,497.9,496.7,506.2,484.4,490.6,461.7,485.1,464.0,458.8,471.6,449.7,452.5,460.3,461.4,448.0,436.9,406.0,,,,,,,,,,,,,,,,,,,,,,
