,AGS,Name,Bundesland,energy_Erneuerbare_Anteil,energy_Geheim_Anteil,energy_Anteil_Erneuerbar_Bundesland,energy_rank,energy_third
59,3361,Verden,Niedersachsen,0.0,3.632694483651592,22.5073068583383,4.0,besten Drittel
60,3401,Delmenhorst,Niedersachsen,0.0,5.288903770106758,22.5073068583383,4.0,besten Drittel
61,3402,Emden,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
62,3403,Oldenburg (Oldenburg),Niedersachsen,0.0,50.93899381074672,22.5073068583383,4.0,besten Drittel
63,3404,Osnabrück,Niedersachsen,0.2225951866724517,27.25734928187628,22.5073068583383,4.0,besten Drittel
64,3405,Wilhelmshaven,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
65,3451,Ammerland,Niedersachsen,0.0,0.5068996449273764,22.5073068583383,4.0,besten Drittel
66,3452,Aurich,Niedersachsen,0.0,2.809045787192578,22.5073068583383,4.0,besten Drittel
67,3453,Cloppenburg,Niedersachsen,0.0,2.6852162960149464,22.5073068583383,4.0,besten Drittel
68,3454,Emsland,Niedersachsen,0.2155157225499477,38.10618748129168,22.5073068583383,4.0,besten Drittel
69,3455,Friesland,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
70,3456,Grafschaft Bentheim,Niedersachsen,0.9966264194525905,18.447334711482213,22.5073068583383,4.0,besten Drittel
71,3457,Leer,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
72,3458,Oldenburg,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
73,3459,Osnabrück,Niedersachsen,1.8613642589914163,3.717601658390234,22.5073068583383,4.0,besten Drittel
74,3460,Vechta,Niedersachsen,0.0,6.213768082184378,22.5073068583383,4.0,besten Drittel
75,3461,Wesermarsch,Niedersachsen,0.0,9.222830367898508,22.5073068583383,4.0,besten Drittel
76,3462,Wittmund,Niedersachsen,0.0,100.0,22.5073068583383,4.0,besten Drittel
77,4011,Bremen,Bremen,0.0,77.46329417634942,7.684383539212137,13.0,schlechtesten Drittel
78,4012,Bremerhaven,Bremen,0.0,4.309684861414383,7.684383539212137,13.0,schlechtesten Drittel
79,5111,Düsseldorf,Nordrhein-Westfalen,0.0,32.39758336608477,5.823424514576431,15.0,schlechtesten Drittel
80,5112,Duisburg,Nordrhein-Westfalen,0.0,100.0,5.823424514576431,15.0,schlechtesten Drittel
81,5113,Essen,Nordrhein-Westfalen,0.0,73.3538668828093,5.823424514576431,15.0,schlechtesten Drittel
82,5114,Krefeld,Nordrhein-Westfalen,0.0,37.09895025692481,5.823424514576431,15.0,schlechtesten Drittel
