,AGS,Gerics_Name,Gerics_Bundesland
304,13073,Vorpommern-Rügen,Mecklenburg-Vorpommern
305,13074,Nordwestmecklenburg,Mecklenburg-Vorpommern
306,13075,Vorpommern-Greifswald,Mecklenburg-Vorpommern
307,13076,Ludwigslust-Parchim,Mecklenburg-Vorpommern
308,5515,Münster,Nordrhein-Westfalen
309,3354,Lüchow-Dannenberg,Niedersachsen
310,3355,Lüneburg,Niedersachsen
311,3356,Osterholz,Niedersachsen
312,3357,Rotenburg (Wümme),Niedersachsen
313,3351,Celle,Niedersachsen
314,3352,Cuxhaven,Niedersachsen
315,3353,Harburg,Niedersachsen
316,10041,Regionalverband Saarbrücken,Saarland
317,8416,Tübingen,Baden-Württemberg
318,3359,Stade,Niedersachsen
319,8415,Reutlingen,Baden-Württemberg
320,5314,Bonn,Nordrhein-Westfalen
321,12073,Uckermark,Brandenburg
322,12072,Teltow-Fläming,Brandenburg
323,12071,Spree-Neiße,Brandenburg
324,12070,Prignitz,Brandenburg
325,5978,Unna,Nordrhein-Westfalen
326,3154,Helmstedt,Niedersachsen
327,5970,Siegen-Wittgenstein,Nordrhein-Westfalen
328,15088,Saalekreis,Sachsen-Anhalt
329,5974,Soest,Nordrhein-Westfalen
330,15085,Harz,Sachsen-Anhalt
331,15084,Burgenlandkreis,Sachsen-Anhalt
332,5114,Krefeld,Nordrhein-Westfalen
333,16055,Weimar,Thüringen
334,8121,Heilbronn,Baden-Württemberg
335,5711,Bielefeld,Nordrhein-Westfalen
336,5554,Borken,Nordrhein-Westfalen
337,7235,Trier-Saarburg,Rheinland-Pfalz
338,7233,Vulkaneifel,Rheinland-Pfalz
339,7232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
340,7231,Bernkastel-Wittlich,Rheinland-Pfalz
341,5513,Gelsenkirchen,Nordrhein-Westfalen
342,6631,Fulda,Hessen
343,6632,Hersfeld-Rotenburg,Hessen
344,6633,Kassel,Hessen
345,10044,Saarlouis,Saarland
346,10045,Saarpfalz-Kreis,Saarland
347,6636,Werra-Meißner-Kreis,Hessen
348,6413,Offenbach am Main,Hessen
349,5158,Mettmann,Nordrhein-Westfalen
350,3404,Osnabrück,Niedersachsen
351,9272,Freyung-Grafenau,Bayern
352,5766,Lippe,Nordrhein-Westfalen
353,7320,Zweibrücken,Rheinland-Pfalz
354,5154,Kleve,Nordrhein-Westfalen
355,5334,Städteregion Aachen,Nordrhein-Westfalen
356,1001,Flensburg,Schleswig-Holstein
357,9371,Amberg-Sulzbach,Bayern
358,5120,Remscheid,Nordrhein-Westfalen
359,3403,Oldenburg (Oldenburg),Niedersachsen
360,9261,Landshut,Bayern
361,8128,Main-Tauber-Kreis,Baden-Württemberg
362,8126,Hohenlohekreis,Baden-Württemberg
363,8127,Schwäbisch Hall,Baden-Württemberg
364,8125,Heilbronn,Baden-Württemberg
365,16051,Erfurt,Thüringen
366,3103,Wolfsburg,Niedersachsen
367,9562,Erlangen,Bayern
368,1002,Kiel,Schleswig-Holstein
369,8236,Enzkreis,Baden-Württemberg
370,8237,Freudenstadt,Baden-Württemberg
371,8235,Calw,Baden-Württemberg
372,10042,Merzig-Wadern,Saarland
373,15090,Stendal,Sachsen-Anhalt
374,6634,Schwalm-Eder-Kreis,Hessen
375,9461,Bamberg,Bayern
376,6635,Waldeck-Frankenberg,Hessen
377,10046,Sankt Wendel,Saarland
378,3361,Verden,Niedersachsen
379,3360,Uelzen,Niedersachsen
380,7315,Mainz,Rheinland-Pfalz
381,9762,Kaufbeuren,Bayern
382,6414,Wiesbaden,Hessen
383,8119,Rems-Murr-Kreis,Baden-Württemberg
384,8118,Ludwigsburg,Baden-Württemberg
385,3462,Wittmund,Niedersachsen
386,3460,Vechta,Niedersachsen
387,3461,Wesermarsch,Niedersachsen
388,9573,Fürth,Bayern
389,3358,Heidekreis,Niedersachsen
390,6411,Darmstadt,Hessen
391,7340,Südwestpfalz,Rheinland-Pfalz
392,8117,Göppingen,Baden-Württemberg
393,5762,Höxter,Nordrhein-Westfalen
394,12053,Frankfurt (Oder),Brandenburg
395,5566,Steinfurt,Nordrhein-Westfalen
396,5116,Mönchengladbach,Nordrhein-Westfalen
397,5562,Recklinghausen,Nordrhein-Westfalen
398,7338,Rhein-Pfalz-Kreis,Rheinland-Pfalz
399,5162,Rhein-Kreis Neuss,Nordrhein-Westfalen
400,5166,Viersen,Nordrhein-Westfalen
