,Jahr,Steinkohle,Braunkohle,Mineralöle und Mineralöl produkte,Gase,Kernenergie,Andere Energieträger,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse 1),Sonstige erneuerbare Energien 2)
266,2008,168509.713136565,27133.8790456,389202.44858048495,407770.93245309097,351698.36061045,17096.42789301559,2352.162780135831,1044.0409104,38813.7078473781,1596.000608,113141.82263914816,1215.2
270,2012,169490.21522349,27539.13393332353,353754.4184372791,359418.121841115,252249.0295436,13055.83537,2003.848566849315,966.412206,46369.3978189846,11099.622888,144091.90662420547,1866.89094520737
274,2016,167132.841647,22490.693623102103,334931.0015040068,411978.4353559,218372.3485789,15394.85611,1865.009,962.0784,70940.8899059689,12879.792,146258.43645997957,2606.66838964395
278,2020,108414.96968,22490.693623102103,333818.21374299994,406303.1166,218372.3485789,15394.85611,1845.5974286,962.0784,134589.0816,15731.9492,141200.26426,3718.285685
