"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE975383122581";"PV Hausdach";"In Betrieb";"1/29/2016";"9/15/2020";"Solare Strahlungsenergie";"3,64";"3";"16341";"Panketal";"(natürliche Person)";"ABR920398492211";"9/23/2020"
"SEE966754357565";"Hausdach";"In Betrieb";"1/29/2016";"1/5/2021";"Solare Strahlungsenergie";"6,1";"6";"16341";"Panketal";"(natürliche Person)";"ABR999528287119";"1/5/2021"
"SEE922075776478";"Dach-Kraftwerk";"In Betrieb";"2/2/2016";"1/24/2021";"Solare Strahlungsenergie";"4,257";"4,257";"16341";"Panketal";"(natürliche Person)";"ABR995601782359";"1/24/2021"
"SEE965020895671";"Hausdach";"In Betrieb";"2/4/2016";"4/30/2019";"Solare Strahlungsenergie";"3,99";"3,68";"16341";"Panketal";"(natürliche Person)";"ABR975991300739";"8/29/2019"
"SEE901370397397";"Dach";"In Betrieb";"2/5/2016";"7/11/2020";"Solare Strahlungsenergie";"5,61";"4,2";"16341";"Panketal";"(natürliche Person)";"ABR950398521758";"7/11/2020"
"SEE915205791434";"Hausdach";"In Betrieb";"2/8/2016";"6/26/2020";"Solare Strahlungsenergie";"3,12";"3";"16321";"Bernau";"(natürliche Person)";"ABR931897311811";"1/15/2021"
"SEE989150397058";"Hausdach";"In Betrieb";"2/8/2016";"7/19/2020";"Solare Strahlungsenergie";"8,1";"8";"16341";"Panketal";"(natürliche Person)";"ABR985654494583";"9/24/2020"
"SEE968379901529";"Bernausolar";"In Betrieb";"2/10/2016";"10/10/2020";"Solare Strahlungsenergie";"3,12";"3";"16321";"Bernau";"(natürliche Person)";"ABR982131693958";"10/10/2020"
"SEE914589911148";"Hausdach";"In Betrieb";"2/15/2016";"11/26/2020";"Solare Strahlungsenergie";"3,38";"3";"16348";"Wandlitz";"(natürliche Person)";"ABR909267867466";"4/19/2021"
"SEE972315933789";"Hausdach";"In Betrieb";"2/16/2016";"4/19/2021";"Solare Strahlungsenergie";"3,38";"3,38";"16348";"Wandlitz";"(natürliche Person)";"ABR909267867466";"4/19/2021"
"SEE942927807303";"PV";"In Betrieb";"2/17/2016";"3/23/2021";"Solare Strahlungsenergie";"4,16";"4";"16321";"Bernau";"(natürliche Person)";"ABR957589659016";"4/28/2021"
"SEE944993184982";"L 63,84";"In Betrieb";"2/26/2016";"6/9/2020";"Solare Strahlungsenergie";"63,84";"60";"16321";"Bernau";"Hartmut Kuske";"ABR957667795629";"6/9/2020"
"SEE967103772251";"ilkaheim";"In Betrieb";"3/8/2016";"11/25/2020";"Solare Strahlungsenergie";"5,565";"5,565";"16225";"Eberswalde";"(natürliche Person)";"ABR954354399962";"5/19/2021"
"SEE927521125626";"PV C3PO";"In Betrieb";"3/10/2016";"1/3/2021";"Solare Strahlungsenergie";"5,2";"5,2";"16348";"Wandlitz";"(natürliche Person)";"ABR949828215879";"1/3/2021"
"SEE901661456215";"16341 Panketal, Braunlager Straße 3";"In Betrieb";"3/11/2016";"6/17/2020";"Solare Strahlungsenergie";"22,75";"21";"16341";"Panketal";"(natürliche Person)";"ABR957714347979";"6/17/2020"
"SEE989777760587";"Hausdach";"In Betrieb";"3/14/2016";"7/7/2020";"Solare Strahlungsenergie";"3,57";"3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR924330838631";"7/7/2020"
"SEE907001500211";"Solaranlage Büro";"In Betrieb";"3/16/2016";"7/21/2020";"Solare Strahlungsenergie";"2,34";"2,34";"16244";"Schorfheide";"HST Strenge GmbH";"ABR940310373923";"7/21/2020"
"SEE971911525596";"Hausdach";"In Betrieb";"3/16/2016";"11/25/2020";"Solare Strahlungsenergie";"6,6";"6,6";"16227";"Eberswalde";"(natürliche Person)";"ABR986975842688";"11/25/2020"
"SEE947216241318";"Hausdach";"In Betrieb";"3/16/2016";"5/17/2021";"Solare Strahlungsenergie";"4,24";"3,6";"16348";"Wandlitz";"(natürliche Person)";"ABR942710223815";"7/17/2021"
"SEE972664276971";"PV Anlage 1";"In Betrieb";"3/23/2016";"3/30/2021";"Solare Strahlungsenergie";"5,3";"5,3";"16247";"Joachimsthal";"(natürliche Person)";"ABR921095230663";"7/15/2021"
"SEE914816677359";"Solar";"In Betrieb";"3/30/2016";"9/24/2020";"Solare Strahlungsenergie";"9,975";"9,975";"16341";"Panketal";"(natürliche Person)";"ABR995982515522";"1/7/2022"
"SEE963380227071";"PV-Anlage Nr. 1";"In Betrieb";"4/5/2016";"11/24/2020";"Solare Strahlungsenergie";"6";"6";"16348";"Wandlitz";"(natürliche Person)";"ABR935939536040";"11/24/2020"
"SEE903565849049";"Garagendach";"In Betrieb";"4/8/2016";"7/13/2020";"Solare Strahlungsenergie";"5,4";"5";"16341";"Panketal";"(natürliche Person)";"ABR975459410253";"7/13/2020"
"SEE969576508306";"Solaranlage";"In Betrieb";"4/11/2016";"7/24/2019";"Solare Strahlungsenergie";"3,18";"3";"16225";"Eberswalde";"(natürliche Person)";"ABR947692771941";"7/24/2019"
"SEE992506044315";"Hausdach";"In Betrieb";"4/11/2016";"11/22/2020";"Solare Strahlungsenergie";"4,08";"4";"16227";"Eberswalde";"(natürliche Person)";"ABR994523030159";"11/22/2020"
"SEE931129018853";"Hausdach";"In Betrieb";"4/13/2016";"3/27/2019";"Solare Strahlungsenergie";"4,62";"2,5";"16348";"Wandlitz";"(natürliche Person)";"ABR970494857018";"5/28/2019"
"SEE956100815535";"PV";"In Betrieb";"4/15/2016";"1/31/2021";"Solare Strahlungsenergie";"6,2";"6";"16348";"Wandlitz";"Ingenieurbüro Fahrendholz";"ABR932896607646";"6/13/2021"
"SEE951757964582";"Garagendach";"In Betrieb";"4/16/2016";"6/16/2020";"Solare Strahlungsenergie";"7,08";"7,08";"16230";"Britz";"(natürliche Person)";"ABR947562906084";"6/16/2020"
"SEE940827954158";"1";"In Betrieb";"4/18/2016";"5/26/2020";"Solare Strahlungsenergie";"4,095";"4,095";"16321";"Bernau";"(natürliche Person)";"ABR917996788464";"5/26/2020"
"SEE944004583254";"PV2";"In Betrieb";"4/19/2016";"10/1/2019";"Solare Strahlungsenergie";"8,96";"8";"16348";"Wandlitz";"Potschien Energie GbR";"ABR999978186307";"10/1/2019"
"SEE947579384233";"Solar-Terrasse";"In Betrieb";"4/19/2016";"11/25/2019";"Solare Strahlungsenergie";"2,88";"2,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR914544378665";"11/25/2019"
