"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE906112316704";"Sonnen Energie";"In Planung";"";"4/16/2019";"Solare Strahlungsenergie";"4,16";"4,16";"16348";"Wandlitz";"(natürliche Person)";"ABR967321013754";"4/16/2019"
"SEE930590385280";"Südseite";"In Planung";"";"5/2/2019";"Solare Strahlungsenergie";"4,2";"4,2";"16321";"Bernau";"(natürliche Person)";"ABR962462173794";"5/2/2019"
"SEE950927917939";"PV Bernau";"In Planung";"";"3/2/2020";"Solare Strahlungsenergie";"6,8";"6,8";"16321";"Bernau";"Ingenieurbüro Kobert & Partner gmbH";"ABR910352175397";"3/16/2021"
"SEE909335684780";"PV-Anlage Mau Melchow Koppel";"In Planung";"";"5/8/2020";"Solare Strahlungsenergie";"79,2";"79,2";"16230";"Melchow";"(natürliche Person)";"ABR988117872386";"5/8/2020"
"SEE916323131683";"PV Anlage Brachlowstraße";"In Planung";"";"7/19/2020";"Solare Strahlungsenergie";"22,2";"22,2";"16227";"Eberswalde";"(natürliche Person)";"ABR928321116890";"8/26/2020"
"SEE911494513382";"PV-Anlage Stadt+Land Werbung";"In Planung";"";"10/28/2020";"Solare Strahlungsenergie";"33,3";"30";"16348";"Wandlitz";"Stadt+Land Werbung";"ABR918406222929";"10/28/2020"
"SEE949415731522";"PV-Anlage Kohls";"In Planung";"";"11/6/2020";"Solare Strahlungsenergie";"10,8";"10";"16227";"Eberswalde";"(natürliche Person)";"ABR969372933609";"11/6/2020"
"SEE970212154474";"PV- Anlage Lobedan";"In Planung";"";"11/6/2020";"Solare Strahlungsenergie";"11,1";"10";"16359";"Biesenthal";"(natürliche Person)";"ABR973375631240";"11/6/2020"
"SEE958657622550";"2.PV-Anlage Niederfinow Waldstraße 8";"In Planung";"";"11/12/2020";"Solare Strahlungsenergie";"22,2";"20";"16248";"Niederfinow";"Krechlok Elektrosysteme";"ABR921765011868";"11/12/2020"
"SEE938475208563";"2.PV-Anlage Stadt+Land Werbung";"In Planung";"";"11/12/2020";"Solare Strahlungsenergie";"79,92";"70";"16348";"Wandlitz";"Stadt+Land Werbung";"ABR918406222929";"11/12/2020"
"SEE976272901041";"3.Erweiterung PVA Dr.-Zinn-Weg";"In Planung";"";"2/22/2021";"Solare Strahlungsenergie";"167,2";"150";"16225";"Eberswalde";"Krechlok Elektrosysteme";"ABR921765011868";"2/22/2021"
"SEE969338515443";"Hausdach";"In Planung";"";"6/4/2021";"Solare Strahlungsenergie";"20";"10";"16321";"Bernau";"(natürliche Person)";"ABR936880974059";"9/18/2021"
"SEE911160263498";"Hausdach";"In Planung";"";"6/28/2021";"Solare Strahlungsenergie";"0,65";"0,6";"16321";"Bernau";"(natürliche Person)";"ABR985748004001";"6/28/2021"
"SEE967593398283";"Anbaudach-PV-Anlage";"In Planung";"";"10/6/2021";"Solare Strahlungsenergie";"16000";"16000";"16341";"Panketal";"(natürliche Person)";"ABR958767791924";"10/6/2021"
"SEE936181045991";"PV Anlage Bindfadenhaus";"In Planung";"";"11/18/2021";"Solare Strahlungsenergie";"99,4";"99,4";"16356";"Werneuchen";"Bindfadenhaus en gros Gustav Scharnau GmbH";"ABR975667870634";"11/18/2021"
"SEE928978232714";"Biesental";"In Planung";"";"12/7/2021";"Solare Strahlungsenergie";"30000";"25000";"16359";"Biesenthal";"(natürliche Person)";"ABR946620402117";"4/12/2022"
"SEE969992184382";"Eberswalde";"In Planung";"";"12/27/2021";"Solare Strahlungsenergie";"0,34";"0,3";"16225";"Eberswalde";"(natürliche Person)";"ABR941067483385";"5/15/2022"
"SEE915665653037";"Hausdach PV Anlage";"In Planung";"";"2/6/2022";"Solare Strahlungsenergie";"7,4";"6";"16356";"Ahrensfelde";"(natürliche Person)";"ABR927104689736";"3/24/2022"
"SEE986528257228";"Sunroof";"In Planung";"";"2/18/2022";"Solare Strahlungsenergie";"21,13";"10";"16356";"Ahrensfelde";"(natürliche Person)";"ABR922228462388";"3/9/2022"
"SEE935392088490";"PV Anlage  AO";"In Planung";"";"2/21/2022";"Solare Strahlungsenergie";"9,92";"8";"16348";"Wandlitz";"(natürliche Person)";"ABR964355123749";"2/21/2022"
"SEE996385237189";"Sonne";"In Planung";"";"2/27/2022";"Solare Strahlungsenergie";"10";"10";"16248";"Liepe";"(natürliche Person)";"ABR956709151706";"2/27/2022"
"SEE951859881930";"PV-Anlage Carport";"In Planung";"";"3/15/2022";"Solare Strahlungsenergie";"0,74";"0,6";"16359";"Biesenthal";"(natürliche Person)";"ABR989394876340";"5/12/2022"
"SEE939107968589";"Balkonkraftwerk 600W";"In Planung";"";"3/22/2022";"Solare Strahlungsenergie";"1,1";"0,6";"16348";"Wandlitz";"(natürliche Person)";"ABR929651455123";"3/22/2022"
"SEE918718410199";"Hausdach";"In Planung";"";"3/22/2022";"Solare Strahlungsenergie";"12";"9,2";"16356";"Werneuchen";"(natürliche Person)";"ABR960733858883";"3/24/2022"
"SEE975963662926";"Lehwald PV";"In Planung";"";"3/29/2022";"Solare Strahlungsenergie";"9";"5";"16341";"Panketal";"(natürliche Person)";"ABR983976568807";"5/15/2022"
"SEE900134625745";"Dachanlage";"In Planung";"";"4/4/2022";"Solare Strahlungsenergie";"9,88";"9,88";"16341";"Panketal";"(natürliche Person)";"ABR977094752040";"4/4/2022"
"SEE975616659891";"PV-Anlage";"In Planung";"";"4/6/2022";"Solare Strahlungsenergie";"9,99";"9,2";"16248";"Oderberg";"(natürliche Person)";"ABR948720129628";"4/6/2022"
"SEE978020037651";"SchillPhotov";"In Planung";"";"4/11/2022";"Solare Strahlungsenergie";"12";"10";"16341";"Panketal";"(natürliche Person)";"ABR933709871735";"4/11/2022"
"SEE992500737329";"Anlage Reinhard";"In Planung";"";"4/11/2022";"Solare Strahlungsenergie";"8";"7";"16247";"Joachimsthal";"(natürliche Person)";"ABR963178289298";"4/11/2022"
"SEE970780417162";"Moorhäuschen";"In Planung";"";"4/27/2022";"Solare Strahlungsenergie";"7,475";"6";"16348";"Wandlitz";"(natürliche Person)";"ABR993940577476";"4/27/2022"
"SEE912225953934";"Schönholzer Dorfstrasse 2";"In Planung";"";"4/28/2022";"Solare Strahlungsenergie";"26";"26";"16230";"Melchow";"Höhne-Elektrotechnik";"ABR957341704152";"4/28/2022"
"SEE977798220043";"Hexenhaus";"In Planung";"";"5/2/2022";"Solare Strahlungsenergie";"1,56";"1,56";"16230";"Melchow";"(natürliche Person)";"ABR962186257381";"5/2/2022"
"SEE984243782063";"PVsolar";"In Planung";"";"5/11/2022";"Solare Strahlungsenergie";"3,2";"3";"16321";"Bernau";"(natürliche Person)";"ABR911403007032";"5/11/2022"
"SEE965899067599";"Photovoltaikanlage";"In Planung";"";"5/13/2022";"Solare Strahlungsenergie";"8";"8";"16348";"Wandlitz";"(natürliche Person)";"ABR980654939072";"5/13/2022"
"SEE963306448177";"Haus Lindenberg Thälmannstraße 85 d";"In Planung";"";"5/13/2022";"Solare Strahlungsenergie";"9,75";"9,75";"16356";"Ahrensfelde";"(natürliche Person)";"ABR968680249341";"5/16/2022"
"SEE988307929623";"SolardachSei";"In Planung";"";"5/16/2022";"Solare Strahlungsenergie";"5,94";"5,94";"16341";"Panketal";"(natürliche Person)";"ABR900982185989";"5/16/2022"
"SEE998501330194";"Garagendach";"In Betrieb";"10/4/1921";"10/8/2021";"Solare Strahlungsenergie";"12,8";"12";"16321";"Bernau";"(natürliche Person)";"ABR927334066864";"10/8/2021"
"SEE982566454452";"Hausdach ABR981821337516";"In Betrieb";"1/1/1993";"6/14/2020";"Solare Strahlungsenergie";"3";"3";"16356";"Ahrensfelde";"(natürliche Person)";"ABR981821337516";"6/14/2020"
"SEE920660126967";"Solar2000";"In Betrieb";"1/13/1993";"11/25/2020";"Solare Strahlungsenergie";"2";"2";"16341";"Panketal";"(natürliche Person)";"ABR929258296464";"2/1/2021"
"SEE906397068282";"Hausdach Hinten";"Endgültig stillgelegt";"7/23/1993";"1/13/2021";"Solare Strahlungsenergie";"3";"3";"16341";"Panketal";"(natürliche Person)";"ABR965366307494";"1/13/2021"
"SEE947111734120";"Dachgarage";"In Betrieb";"7/23/1993";"1/6/2021";"Solare Strahlungsenergie";"5";"4";"16341";"Panketal";"(natürliche Person)";"ABR934901928586";"1/6/2021"
"SEE996985958965";"Wohnhausdach";"In Betrieb";"11/25/1993";"6/16/2020";"Solare Strahlungsenergie";"4,5";"4,5";"16230";"Britz";"(natürliche Person)";"ABR947562906084";"6/16/2020"
"SEE975324865454";"Sonnenstrom";"In Betrieb";"12/8/1993";"3/26/2019";"Solare Strahlungsenergie";"2,2";"1,7";"16230";"Chorin";"(natürliche Person)";"ABR933105405565";"5/28/2019"
"SEE913933710789";"Hausdach";"In Betrieb";"6/14/1994";"6/12/2020";"Solare Strahlungsenergie";"3,3";"3,3";"16225";"Eberswalde";"(natürliche Person)";"ABR993537145057";"6/12/2020"
"SEE998089204184";"Photovoltaik 1kW";"In Betrieb";"9/20/1995";"6/29/2020";"Solare Strahlungsenergie";"1";"1";"16341";"Panketal";"(natürliche Person)";"ABR954329824819";"4/14/2022"
"SEE933171142791";"Solare Stromerzeugung";"Endgültig stillgelegt";"7/24/1996";"8/6/2020";"Solare Strahlungsenergie";"0,7";"0,7";"16230";"Britz";"(natürliche Person)";"";"6/17/2021"
"SEE912741160250";"Wuschistrom";"In Betrieb";"4/1/2000";"8/13/2020";"Solare Strahlungsenergie";"10";"10";"16244";"Schorfheide";"(natürliche Person)";"ABR959147252158";"8/13/2020"
"SEE963252569063";"LuckyOne";"In Betrieb";"5/16/2000";"1/15/2021";"Solare Strahlungsenergie";"2,15";"0,7";"16230";"Chorin";"(natürliche Person)";"ABR909220404776";"1/15/2021"
"SEE931377017486";"PV Hausdach";"In Betrieb";"11/9/2000";"10/24/2021";"Solare Strahlungsenergie";"4,8";"4,5";"16341";"Panketal";"(natürliche Person)";"ABR986952527775";"10/24/2021"
"SEE968008111503";"PV-Sonnenscheinstraße 2";"In Betrieb";"7/31/2001";"12/21/2020";"Solare Strahlungsenergie";"2,46";"2,46";"16341";"Panketal";"(natürliche Person)";"ABR969981277675";"1/18/2021"
"SEE926176891962";"Mazda777";"In Betrieb";"9/29/2001";"9/13/2021";"Solare Strahlungsenergie";"2,64";"2,64";"16244";"Schorfheide";"(natürliche Person)";"ABR915565905854";"9/13/2021"
"SEE977213122853";"Hausdach";"In Betrieb";"10/18/2001";"12/22/2020";"Solare Strahlungsenergie";"2,5";"2,5";"16225";"Eberswalde";"(natürliche Person)";"ABR994183041533";"12/22/2020"
"SEE905349257453";"Anlage DBH";"In Betrieb";"11/16/2001";"12/29/2020";"Solare Strahlungsenergie";"1,2";"1,2";"16227";"Eberswalde";"Evangelische Kirchengemeinde Finow";"ABR995557024152";"12/29/2020"
"SEE993760763448";"PV Bernau 1 (1,4kW) 2001";"In Betrieb";"11/21/2001";"1/19/2021";"Solare Strahlungsenergie";"1,4";"1,4";"16321";"Bernau";"(natürliche Person)";"ABR910652504156";"2/3/2021"
"SEE967656233919";"Hausdach";"In Betrieb";"11/23/2001";"6/12/2020";"Solare Strahlungsenergie";"2,1";"2,1";"16244";"Schorfheide";"(natürliche Person)";"ABR943330634661";"6/23/2020"
"SEE950645398607";"Fotovoltaikanlage";"In Betrieb";"11/30/2001";"4/20/2020";"Solare Strahlungsenergie";"2";"2";"16321";"Bernau";"(natürliche Person)";"ABR933234611721";"12/12/2021"
"SEE973535130002";"Hausdach";"In Betrieb";"12/17/2001";"10/16/2019";"Solare Strahlungsenergie";"9,76";"7,3";"16248";"Lunow-Stolzenhagen";"(natürliche Person)";"ABR910017578235";"11/6/2019"
"SEE953961051867";"PV-Solaranlage 1 2001";"In Betrieb";"12/19/2001";"11/4/2019";"Solare Strahlungsenergie";"3,18";"3";"16321";"Bernau";"(natürliche Person)";"ABR964433720488";"12/8/2020"
"SEE916946379967";"Solaranlage""Stall""";"In Betrieb";"12/19/2001";"1/18/2021";"Solare Strahlungsenergie";"1,908";"1,908";"16356";"Werneuchen";"(natürliche Person)";"ABR928323864805";"1/18/2021"
"SEE972854676161";"Hausdach";"In Betrieb";"12/19/2001";"3/26/2021";"Solare Strahlungsenergie";"1,5";"1,5";"16341";"Panketal";"Rainer und Margitta Koch GbR";"ABR983899286970";"11/7/2021"
"SEE907628967848";"Solar baeseler";"Endgültig stillgelegt";"12/20/2001";"6/10/2020";"Solare Strahlungsenergie";"2,1";"2,1";"16341";"Panketal";"(natürliche Person)";"";"12/14/2021"
"SEE922880571695";"PV-Solar-Eiche";"In Betrieb";"12/20/2001";"10/19/2020";"Solare Strahlungsenergie";"3";"2,5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR982026803882";"5/5/2021"
"SEE956286561196";"DachTriftstraße";"In Betrieb";"12/21/2001";"1/29/2021";"Solare Strahlungsenergie";"3,1";"3,1";"16225";"Eberswalde";"(natürliche Person)";"ABR954589083537";"1/29/2021"
"SEE984777647517";"solar";"In Betrieb";"12/21/2001";"5/7/2021";"Solare Strahlungsenergie";"1";"1";"16348";"Wandlitz";"(natürliche Person)";"ABR943101819440";"7/17/2021"
"SEE918307009469";"Dachsolar 80";"In Betrieb";"1/15/2002";"12/19/2020";"Solare Strahlungsenergie";"3,78";"3,78";"16356";"Ahrensfelde";"(natürliche Person)";"ABR978642561565";"12/19/2020"
"SEE919669516350";"Cora2006";"In Betrieb";"3/19/2002";"5/14/2020";"Solare Strahlungsenergie";"2,64";"2";"16244";"Schorfheide";"(natürliche Person)";"ABR965448104720";"5/14/2020"
"SEE968583714137";"Solar Wandlitz";"In Betrieb";"5/3/2002";"10/26/2021";"Solare Strahlungsenergie";"2,1";"1,8";"16348";"Wandlitz";"Katholische Kirchengemeinde Pfarrei Heiliger Christophorus Barnim";"ABR913823491385";"10/26/2021"
"SEE923308991507";"Photovoltaikanlage";"In Betrieb";"5/17/2002";"1/10/2021";"Solare Strahlungsenergie";"3,4";"3,4";"16225";"Eberswalde";"(natürliche Person)";"ABR909349685650";"1/10/2021"
"SEE978169814359";"ABR987323963727";"In Betrieb";"8/8/2002";"3/22/2021";"Solare Strahlungsenergie";"1,1";"1,1";"16321";"Bernau";"(natürliche Person)";"ABR987323963727";"3/30/2021"
"SEE975030365552";"PV-Anlage Eberswalde Bergerstraße 105";"In Betrieb";"12/18/2002";"1/19/2021";"Solare Strahlungsenergie";"13,6";"13,6";"16225";"Eberswalde";"EWE VERTRIEB GmbH";"ABR948415910210";"2/19/2021"
"SEE997772589898";"Solaranlage Rüdnitz Hausdach";"In Betrieb";"12/19/2002";"6/4/2020";"Solare Strahlungsenergie";"1,9";"1,9";"16321";"Rüdnitz";"(natürliche Person)";"ABR900811964075";"1/2/2021"
"SEE980003528377";"Flämingstr. 9";"In Betrieb";"12/27/2002";"11/26/2020";"Solare Strahlungsenergie";"10,5";"10,5";"16227";"Eberswalde";"Wohnungsgenossenschaft Eberswalde 1893 eG";"ABR902553594763";"11/26/2020"
"SEE919131768737";"Lausitzer Str. 16";"In Betrieb";"12/27/2002";"11/26/2020";"Solare Strahlungsenergie";"12";"12";"16227";"Eberswalde";"Wohnungsgenossenschaft Eberswalde 1893 eG";"ABR902553594763";"11/26/2020"
"SEE902134421938";"Lausitzer Str. 18";"In Betrieb";"12/27/2002";"11/26/2020";"Solare Strahlungsenergie";"12";"12";"16227";"Eberswalde";"Wohnungsgenossenschaft Eberswalde 1893 eG";"ABR902553594763";"11/26/2020"
"SEE987319996531";"Südwest";"In Betrieb";"3/31/2003";"1/31/2021";"Solare Strahlungsenergie";"2,9";"2,9";"16247";"Joachimsthal";"(natürliche Person)";"ABR911235295669";"1/31/2021"
"SEE957003421076";"Wurzelzwerg";"In Betrieb";"4/16/2003";"6/13/2020";"Solare Strahlungsenergie";"3,85";"3";"16244";"Schorfheide";"(natürliche Person)";"ABR951130474639";"6/13/2020"
"SEE961414302206";"Hausdach 1";"In Betrieb";"4/16/2003";"12/15/2020";"Solare Strahlungsenergie";"1,06";"1,06";"16356";"Ahrensfelde";"(natürliche Person)";"ABR920390718845";"12/21/2020"
"SEE921557418714";"Brodowin, Dorfstr. 20";"In Betrieb";"8/14/2003";"11/2/2021";"Solare Strahlungsenergie";"4,8";"4,8";"16230";"Chorin";"(natürliche Person)";"ABR966955586580";"11/3/2021"
"SEE913135734019";"Haus Triftstraße";"In Betrieb";"12/12/2003";"6/8/2020";"Solare Strahlungsenergie";"1,5";"1,5";"16341";"Panketal";"(natürliche Person)";"ABR949633282851";"6/8/2020"
"SEE991101903102";"Solaris";"In Betrieb";"12/15/2003";"6/19/2019";"Solare Strahlungsenergie";"1,06";"1,06";"16341";"Panketal";"(natürliche Person)";"ABR917198172481";"6/19/2019"
"SEE952262369008";"PV-Anlage Union Klosterfelde I";"In Betrieb";"2/27/2004";"2/19/2021";"Solare Strahlungsenergie";"3,6";"3";"16348";"Wandlitz";"Union Klosterfelde";"ABR992856437294";"2/19/2021"
"SEE916428185130";"PV Pfefferberg";"In Betrieb";"4/2/2004";"4/14/2021";"Solare Strahlungsenergie";"1,1";"0,23";"16359";"Biesenthal";"Stadt Biesenthal, vertreten durch das Amt Biesenthal-Barnim";"ABR931042048647";"9/7/2021"
"SEE935934620126";"Garagendach";"In Betrieb";"4/6/2004";"8/2/2021";"Solare Strahlungsenergie";"5,6";"5";"16348";"Wandlitz";"(natürliche Person)";"ABR932360252730";"9/1/2021"
"SEE981999050675";"Hausdach,Halle";"In Betrieb";"5/12/2004";"12/31/2020";"Solare Strahlungsenergie";"6,3";"4,6";"16244";"Schorfheide";"(natürliche Person)";"ABR957270295349";"12/31/2020"
"SEE918821025440";"Hausdach-Ring-95";"In Betrieb";"5/27/2004";"7/1/2020";"Solare Strahlungsenergie";"44,1";"38";"16227";"Eberswalde";"SSGE Solarstrom GmbH Eberswalde";"ABR987017699840";"2/1/2021"
"SEE929536276805";"Hausdach-Ring-106";"In Betrieb";"5/27/2004";"7/1/2020";"Solare Strahlungsenergie";"44,1";"38";"16227";"Eberswalde";"SSGE Solarstrom GmbH Eberswalde";"ABR987017699840";"2/1/2021"
"SEE998471682187";"Hausdach";"In Betrieb";"5/28/2004";"11/25/2020";"Solare Strahlungsenergie";"4,8";"4,2";"16341";"Panketal";"(natürliche Person)";"ABR954378844523";"11/25/2020"
"SEE980904532282";"Hausdach-Ew";"In Betrieb";"7/1/2004";"7/1/2020";"Solare Strahlungsenergie";"122,64";"100";"16227";"Eberswalde";"SSGE Solarstrom GmbH Eberswalde";"ABR987017699840";"7/20/2021"
"SEE986984651820";"Pollux Enterprise 1";"In Betrieb";"7/27/2004";"10/31/2020";"Solare Strahlungsenergie";"16,22";"16,22";"16247";"Joachimsthal";"(natürliche Person)";"ABR926708940229";"7/23/2021"
"SEE959726137531";"Schiller 84";"In Betrieb";"8/5/2004";"12/10/2020";"Solare Strahlungsenergie";"9,48";"9,48";"16341";"Panketal";"(natürliche Person)";"ABR930722030576";"12/10/2020"
"SEE958736721150";"PV Anlage";"In Betrieb";"8/12/2004";"6/10/2019";"Solare Strahlungsenergie";"1,5";"1,5";"16225";"Eberswalde";"(natürliche Person)";"ABR987277316907";"7/31/2019"
"SEE918499006499";"Hausdach";"In Betrieb";"8/17/2004";"11/23/2020";"Solare Strahlungsenergie";"2,38";"1,9";"16230";"Chorin";"(natürliche Person)";"ABR983242184434";"11/23/2020"
"SEE956252842663";"Hausdach";"In Betrieb";"8/31/2004";"7/24/2021";"Solare Strahlungsenergie";"2,24";"2,17";"16321";"Bernau";"(natürliche Person)";"ABR913541610815";"9/30/2021"
"SEE984129803462";"24031114";"In Betrieb";"11/15/2004";"7/10/2020";"Solare Strahlungsenergie";"2,645";"2,5";"16356";"Werneuchen";"(natürliche Person)";"ABR959894620002";"10/15/2020"
"SEE987989270672";"Hausdach";"In Betrieb";"11/17/2004";"12/20/2020";"Solare Strahlungsenergie";"2,17";"2,1";"16321";"Bernau";"(natürliche Person)";"ABR969375024014";"12/20/2020"
"SEE922796857890";"2004_1201_Hausdach_Buette";"In Betrieb";"12/1/2004";"1/19/2020";"Solare Strahlungsenergie";"3,45";"3,45";"16321";"Bernau";"(natürliche Person)";"ABR904624326969";"1/19/2020"
"SEE957038779418";"LyciaGbR";"In Betrieb";"12/9/2004";"3/31/2021";"Solare Strahlungsenergie";"29,7";"29,7";"16230";"Melchow";"(natürliche Person)";"ABR930361531526";"7/15/2021"
"SEE978432744345";"PVA-Liepe 1";"In Betrieb";"12/15/2004";"3/26/2019";"Solare Strahlungsenergie";"65,7";"55,5";"16248";"Liepe";"WEIDEWIRTSCHAFT-Liepe GmbH";"ABR959657491313";"2/5/2020"
"SEE954869723115";"PVA TM19";"In Betrieb";"12/17/2004";"6/10/2020";"Solare Strahlungsenergie";"5,04";"5";"16356";"Ahrensfelde";"(natürliche Person)";"ABR915909482591";"6/23/2020"
"SEE928862969030";"Photovoltaikanlage 6,9 Heizhaus WFK";"In Betrieb";"12/20/2004";"1/15/2021";"Solare Strahlungsenergie";"6,9";"6,9";"16225";"Eberswalde";"Klinikum Barnim GmbH Werner Forßmann Krankenhaus";"ABR981451596277";"1/15/2021"
"SEE925226562784";"F1";"In Betrieb";"12/20/2004";"3/30/2021";"Solare Strahlungsenergie";"2,56";"2,56";"16230";"Melchow";"(natürliche Person)";"ABR958933070129";"3/30/2021"
"SEE968841375285";"B17";"In Betrieb";"12/21/2004";"1/25/2021";"Solare Strahlungsenergie";"4,96";"4,96";"16341";"Panketal";"(natürliche Person)";"ABR935951072519";"1/25/2021"
"SEE977428186879";"Fotovoltaikanlage";"In Betrieb";"12/28/2004";"10/5/2021";"Solare Strahlungsenergie";"3,12";"3,12";"16321";"Bernau";"(natürliche Person)";"ABR995676170396";"10/13/2021"
"SEE917837227176";"Scheune";"In Betrieb";"2/1/2005";"1/20/2021";"Solare Strahlungsenergie";"25,66";"25,66";"16356";"Werneuchen";"(natürliche Person)";"ABR910434979288";"1/20/2021"
"SEE976436582970";"PV Anlage Hausdach";"In Betrieb";"2/17/2005";"11/12/2020";"Solare Strahlungsenergie";"3,3";"2,8";"16356";"Ahrensfelde";"(natürliche Person)";"ABR919889263942";"11/12/2020"
"SEE976933253557";"PV-Anlage";"In Betrieb";"3/21/2005";"12/3/2020";"Solare Strahlungsenergie";"10,3";"10,3";"16225";"Eberswalde";"Förderkreis Waldschule Eberswalde e.V.";"ABR989507360254";"5/4/2021"
"SEE927655359485";"Dach";"In Betrieb";"4/6/2005";"3/27/2019";"Solare Strahlungsenergie";"8,6";"8,6";"16341";"Panketal";"Heike und Ingolf Hahn";"ABR954942604362";"8/2/2019"
"SEE983807539990";"PV Drosselgasse";"In Betrieb";"4/13/2005";"12/22/2020";"Solare Strahlungsenergie";"2,97";"2,5";"16321";"Bernau";"Energiebasis Verwaltungs GmbH & Co. KG";"ABR956383024341";"2/19/2021"
"SEE979420565041";"B Ahrensfelde";"In Betrieb";"4/15/2005";"5/8/2020";"Solare Strahlungsenergie";"2,16";"2,1";"16356";"Ahrensfelde";"(natürliche Person)";"ABR980569854910";"5/8/2020"
"SEE961878644065";"PV-2005";"In Betrieb";"4/19/2005";"3/7/2019";"Solare Strahlungsenergie";"14,85";"14,85";"16348";"Wandlitz";"Hiram Haus Neudorf e.V.";"ABR962774056297";"9/11/2020"
"SEE938591435720";"ABR938555914186";"In Betrieb";"4/21/2005";"12/7/2020";"Solare Strahlungsenergie";"10,79";"10,79";"16356";"Ahrensfelde";"Frau Corinna und Herr Frank Lorenz";"ABR938555914186";"12/7/2020"
"SEE967929190451";"Hausdach,Halle";"In Betrieb";"5/19/2005";"12/31/2020";"Solare Strahlungsenergie";"7,7";"6,4";"16244";"Schorfheide";"(natürliche Person)";"ABR957270295349";"12/31/2020"
"SEE955806013979";"GST Brandenburgisches Viertel";"In Betrieb";"5/26/2005";"2/2/2021";"Solare Strahlungsenergie";"16";"16";"16227";"Eberswalde";"Sparkasse Barnim";"ABR967130293583";"2/2/2021"
"SEE955804626409";"ABR952959845945";"In Betrieb";"6/15/2005";"3/20/2021";"Solare Strahlungsenergie";"5";"4,6";"16321";"Bernau";"(natürliche Person)";"ABR952959845945";"4/29/2021"
"SEE985511937482";"Stromerzeuger 1";"In Betrieb";"7/7/2005";"1/19/2021";"Solare Strahlungsenergie";"2,1";"2,1";"16248";"Niederfinow";"(natürliche Person)";"ABR981433896531";"4/28/2021"
"SEE978467711091";"Hausdach";"In Betrieb";"7/18/2005";"6/22/2020";"Solare Strahlungsenergie";"1,665";"1,665";"16230";"Melchow";"(natürliche Person)";"ABR954666060598";"1/8/2021"
"SEE989591410408";"Scheune 55";"In Betrieb";"7/22/2005";"10/8/2021";"Solare Strahlungsenergie";"10,5";"8,7";"16244";"Schorfheide";"(natürliche Person)";"ABR923911984545";"3/24/2022"
"SEE937363658114";"Dachanlage";"In Betrieb";"8/12/2005";"12/26/2020";"Solare Strahlungsenergie";"2,4";"2,1";"16321";"Bernau";"(natürliche Person)";"ABR952236298884";"12/26/2020"
"SEE951877754537";"Hausdach";"In Betrieb";"8/19/2005";"11/10/2020";"Solare Strahlungsenergie";"3,15";"2,5";"16341";"Panketal";"(natürliche Person)";"ABR974322913327";"11/13/2020"
"SEE926975461694";"PV-B46-3-Bernau";"In Betrieb";"8/23/2005";"1/16/2020";"Solare Strahlungsenergie";"9,79";"9,79";"16321";"Bernau";"Fa. Hübler Invest GbR";"ABR945840795726";"1/8/2021"
"SEE902263320515";"WheHiP99#";"In Betrieb";"9/8/2005";"1/12/2021";"Solare Strahlungsenergie";"5,04";"4,8";"16341";"Panketal";"(natürliche Person)";"ABR980607503459";"1/12/2021"
"SEE955495280836";"PV-Anlage Fr.7";"In Betrieb";"11/4/2005";"2/2/2021";"Solare Strahlungsenergie";"3,2";"2,6";"16321";"Bernau";"(natürliche Person)";"ABR991591529608";"2/5/2021"
"SEE966347403822";"PV Anlage Bernau";"In Betrieb";"11/10/2005";"3/18/2021";"Solare Strahlungsenergie";"5,6";"5";"16321";"Bernau";"(natürliche Person)";"ABR914450476691";"3/18/2021"
"SEE987971629402";"Anlage 1";"In Betrieb";"11/14/2005";"12/12/2020";"Solare Strahlungsenergie";"10,08";"10,08";"16247";"Friedrichswalde";"(natürliche Person)";"ABR941362712036";"12/12/2020"
"SEE912869138308";"ABR991627722553";"In Betrieb";"11/17/2005";"10/14/2020";"Solare Strahlungsenergie";"10,15";"10";"16230";"Britz";"(natürliche Person)";"ABR991627722553";"10/14/2020"
"SEE927003569870";"PV-Anlage";"In Betrieb";"11/17/2005";"11/27/2020";"Solare Strahlungsenergie";"5,04";"5,04";"16230";"Chorin";"(natürliche Person)";"ABR999649169325";"8/26/2021"
"SEE998452350999";"Hausdach";"In Betrieb";"11/23/2005";"3/20/2021";"Solare Strahlungsenergie";"2,04";"1,8";"16321";"Bernau";"(natürliche Person)";"ABR914587781552";"4/28/2021"
"SEE934606183297";"Solardach Altenhof";"In Betrieb";"12/12/2005";"1/8/2021";"Solare Strahlungsenergie";"5,76";"5,76";"16244";"Schorfheide";"(natürliche Person)";"ABR931391679509";"7/2/2021"
"SEE997946013198";"Löhme-Ströme";"In Betrieb";"12/13/2005";"2/17/2022";"Solare Strahlungsenergie";"12,1";"12,1";"16356";"Werneuchen";"(natürliche Person)";"ABR990321598914";"2/17/2022"
