,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
321,9565,Schwabach,1061.0,0.0,0.0,1194.8,559.7,151.0,1.0,2407.8,559.7,81.13900589721989
322,6634,Schwalm-Eder-Kreis,22705.5,50.0,0.0,23798.32,1429.8,1008.0,75100.6,122662.42000000001,1429.8,98.84779239181957
323,9376,Schwandorf,29436.55,60.0,0.0,41742.65,2317.9700000000003,88584.0,30001.55,189824.74999999997,2317.9700000000003,98.79362070027946
324,8326,Schwarzwald-Baar-Kreis,27524.6,556.2,0.0,16469.49,6575.75,1487.0,9845.0,55882.28999999999,6575.75,89.4717317418222
325,9662,Schweinfurt,5.5,0.0,0.0,852.51,22711.5,0.0,0.0,858.01,22711.5,3.640338725752042
326,13004,Schwerin,3202.0,440.0,0.0,3397.96,62487.25,0.0,30000.0,37039.96,62487.25,37.21591311561934
327,8127,Schwäbisch Hall,68144.0,240.0,0.0,42372.454,2086.523,2671.0,298254.6,411682.054,2086.523,99.49572705227445
328,1060,Segeberg,38075.5,200.0,0.0,8593.972,32280.0,0.0,157700.8,204570.272,32280.0,86.37113661410531
329,5970,Siegen-Wittgenstein,6436.0,0.0,0.0,15133.13,2771.55,21.0,75358.6,96948.73000000001,2771.55,97.22067567399529
330,8437,Sigmaringen,44496.9,230.0,0.0,16015.323,1194.95,203.5,23650.0,84595.723,1194.95,98.60713296887181
331,5974,Soest,43511.0,5.5,0.0,47556.781,4582.2,2925.0,213476.1,307474.381,4582.2,98.53161244498799
332,5122,Solingen,740.0,0.0,0.0,1550.379,2669.504,250.0,4600.0,7140.379,2669.504,72.78760613149005
333,16072,Sonneberg,1622.0,0.0,0.0,1788.71,2092.0,787.59,10.0,4208.3,2092.0,66.79523197308065
334,7318,Speyer,174.1,0.0,0.0,1858.571,887.0,0.0,0.0,2032.6709999999998,887.0,69.61986470393411
335,12071,Spree-Neiße,11560.0,0.0,0.0,29123.668999999998,4839448.63,3.3,166208.75,206895.71899999998,4839448.63,4.099912821862803
336,10046,St. Wendel,1275.3,0.0,0.0,19893.308,722.4,317.0,185900.6,207386.20799999998,722.4,99.6528735610975
337,3359,Stade,29616.4,0.0,0.0,9710.538,856.85,0.0,446554.5,485881.438,856.85,99.82396083868382
338,9188,Starnberg,1015.0,17.4,0.0,7116.255,1307.605,109.0,12040.0,20297.655000000002,1307.605,93.94774698383634
339,1061,Steinburg,20435.0,0.0,0.0,31983.083,478.75,0.0,604991.5,657409.583,478.75,99.92722929166156
340,5566,Steinfurt,68887.0,530.0,0.0,44424.302,26355.13,0.0,562710.5,676551.802,26355.13,96.25055198630477
341,15090,Stendal,188026.0,231.0,0.0,28062.871,20894.9,0.0,838458.0,1054777.871,20894.9,98.05750405110888
342,1062,Stormarn,16193.2,24.0,0.0,6435.711,13271.825,30.0,53307.5,75990.41100000001,13271.825,85.13164626528066
343,9263,Straubing,1355.0,0.0,0.0,9143.924,612.75,0.0,0.0,10498.924,612.75,94.48552936308246
344,9278,Straubing-Bogen,13684.0,10.0,0.0,37386.225,755.66,764.45,7207.2,59051.87499999999,755.66,98.73651371854734
345,8111,Stuttgart,815.3,1253.0,0.0,10552.716,56745.5,650280.5,0.6,662902.116,56745.5,92.11482137390976
346,5334,Städteregion Aachen,14271.0,810.0,0.0,12717.267,20270.98,55.0,229213.0,257066.267,20270.98,92.6908555488762
347,16054,Suhl,0.0,0.0,0.0,495.105,77.45,0.0,0.0,495.105,77.45,86.47291526578232
348,14628,Sächsische Schweiz-Osterzgebirge,9300.0,0.0,0.0,9653.714,6522.9,1698.1,41858.6,62510.414,6522.9,90.55108378543147
349,16068,Sömmerda,13141.5,0.0,0.0,5450.312,4233.75,7.5,236355.95,254955.26200000002,4233.75,98.36653955068127
350,7337,Südliche Weinstraße,0.0,4939.3,0.0,11551.314,426.78,59.5,46530.0,63080.114,426.78,99.32797847112472
351,7340,Südwestpfalz,4911.0,0.0,0.0,10526.749,523.75,40.0,118510.0,133987.749,523.75,99.61062808466657
352,12072,Teltow-Fläming,67898.0,5.28,0.0,15485.688,191973.4,0.0,788320.0,871708.968,191973.4,81.95199941492308
353,9377,Tirschenreuth,43213.3,0.0,0.0,21733.446,2056.65,358.4,30692.6,95997.746,2056.65,97.90254176875457
354,9189,Traunstein,50549.3,5500.0,0.0,24207.578,526.5,4892.1,4762.3,89911.278,526.5,99.41783178264288
355,7211,Trier,4137.0,0.0,0.0,1739.375,5873.55,19503.5,0.0,25379.875,5873.55,81.20669974570788
356,7235,Trier-Saarburg,9437.8,0.0,0.0,24011.515,3626.6,48035.0,163926.703,245411.01799999998,3626.6,98.54375414079009
357,8327,Tuttlingen,16308.0,5.5,0.0,17263.167,3510.6,2351.0,19800.0,55727.667,3510.6,94.07376316393591
358,8416,Tübingen,8545.4,1.0,0.0,13187.9,3999.88,3847.5,1.0,25582.800000000003,3999.88,86.47898026818395
359,12073,Uckermark,33939.0,0.0,0.0,15374.207,234660.57,11.0,1412152.4,1461476.6069999998,234660.57,86.16500049748039
360,3360,Uelzen,40269.0,0.0,0.0,5377.327,664.0,0.0,257619.0,303265.327,664.0,99.78152815769569
361,8421,Ulm,23248.0,0.0,0.0,5744.741,3204.2,48.5,31400.0,60441.241,3204.2,94.96554670742245
362,5978,Unna,54678.0,21570.0,0.0,16287.309,824849.68,0.0,44600.0,137135.309,824849.68,14.255452067142391
363,16064,Unstrut-Hainich-Kreis,10302.0,99.0,0.0,17551.546000000002,6207.93,192.5,222256.56,250401.606,6207.93,97.58078748873932
364,9778,Unterallgäu,41923.26,35.0,0.0,57495.337,6255.75,619.2,7207.4,107280.197,6255.75,94.49007106093016
365,3460,Vechta,37134.0,0.0,0.0,23321.596,3538.76,0.0,164660.0,225115.596,3538.76,98.45235399757702
366,3361,Verden,15444.2,0.0,0.0,5549.205,1210.2,20516.32,188753.5,230263.225,1210.2,99.47717540361273
367,5166,Viersen,23264.0,0.0,0.0,17339.021,15536.9,0.0,55282.5,95885.52100000001,15536.9,86.05585854215106
368,6535,Vogelsbergkreis,16034.0,0.0,0.0,7692.887,392.55,726.95,460759.8,485213.637,392.55,99.91916289155517
369,14523,Vogtlandkreis,14917.0,502.0,0.0,15269.969,8533.31,250.5,30807.799,61747.268,8533.31,87.85822450122707
370,13075,Vorpommern-Greifswald,76072.0,0.0,0.0,43402.273,60924.204999999994,0.0,691953.2,811427.473,60924.204999999994,93.01609585486463
371,13073,Vorpommern-Rügen,33122.35,699.0,0.0,50789.35,4645.41,0.0,461274.8,545885.5,4645.41,99.15619451776104
372,7233,Vulkaneifel,4418.0,6.3,0.0,8894.2,152.5,81.8,186950.0,200350.3,152.5,99.92394121179356
373,6635,Waldeck-Frankenberg,29006.0,99.5,0.0,16871.412,2127.875,4324.3,223511.18,273812.392,2127.875,99.22886390481024
374,8337,Waldshut,22057.0,0.0,0.0,20174.2,3431.85,204269.5,20.3,246521.0,3431.85,98.62700105239848
375,5570,Warendorf,34956.0,85.0,0.0,24837.427,2082.908,62.4,267155.0,327095.827,2082.908,99.36724102181145
376,16063,Wartburgkreis,5465.0,0.0,0.0,9416.444,23700.95,260.0,89620.0,104761.444,23700.95,81.55028155555003
377,9363,Weiden i.d. OPf.,1064.0,0.0,0.0,1993.4650000000001,780.3,0.0,0.0,3057.465,780.3,79.66785355538966
378,9190,Weilheim-Schongau,20485.3,0.0,0.0,16306.457,18339.2,21241.2,619.4,58652.357,18339.2,76.18024532222411
379,16055,Weimar,265.0,0.0,0.0,1283.465,4654.8,68.0,0.0,1616.465,4654.8,25.775740620114124
380,16071,Weimarer Land,6825.0,0.0,0.0,14662.801,1649.2,346.2,126210.0,148044.001,1649.2,98.89827995594803
381,9577,Weißenburg-Gunzenhausen,51001.8,0.0,0.0,34672.951,1517.95,392.0,111922.8,197989.55099999998,1517.95,99.23915141416161
382,6636,Werra-Meißner-Kreis,10049.15,0.0,0.0,7969.698,1095.45,702.4,109457.5,128178.74799999999,1095.45,99.15261512587377
383,5170,Wesel,29037.5,12127.0,0.0,16748.034,157975.44,0.0,110606.0,168518.53399999999,157975.44,51.614592433488525
384,3461,Wesermarsch,16634.0,0.0,0.0,6363.718,633.0,0.0,422310.0,445307.718,633.0,99.85805288136976
385,7143,Westerwaldkreis,22482.0,0.0,0.0,12860.744,2077.8,414.84000000000003,165450.0,201207.584,2077.8,98.97789011727475
386,6440,Wetteraukreis,10173.5,0.0,0.0,8287.655,3273.4,46.0,45800.0,64307.155,3273.4,95.1562990271388
387,6414,Wiesbaden,12952.0,1787.0,0.0,3564.07,4938.55,0.0,0.0,18303.07,4938.55,78.75126604771957
388,3405,Wilhelmshaven,2125.0,0.0,0.0,376.774,2796.45,0.0,101359.6,103861.37400000001,2796.45,97.37811077038286
389,15091,Wittenberg,39731.0,263.0,0.0,30121.694,8913.55,7.5,280631.5,350754.694,8913.55,97.5217300529874
390,3462,Wittmund,15729.0,0.0,0.0,3869.264,228.7,0.0,366414.8,386013.064,228.7,99.94078838144495
391,3158,Wolfenbüttel,9742.0,0.0,0.0,5224.578,2734.91,171.0,121690.0,136827.57799999998,2734.91,98.04036884180512
392,3103,Wolfsburg,4977.0,0.0,0.0,1318.948,453398.35,0.0,6666.0,12961.948,453398.35,2.7793849638547066
393,7319,Worms,760.0,0.0,0.0,4353.183,16697.05,0.0,27000.0,32113.183,16697.05,65.79190679134844
394,9479,Wunsiedel i. Fichtelgebirge,14769.0,0.0,0.0,12616.275,14552.55,1950.2,61295.3,90630.77500000001,14552.55,86.16458454797849
395,5124,Wuppertal,4843.0,2008.0,0.0,3179.863,207539.6,521.5,9401.0,19953.362999999998,207539.6,8.770980313795464
396,9663,Würzburg,0.0,1578.0,0.0,2735.4719999999998,44730.85,0.0,2000.0,6313.472,44730.85,12.368607814988707
397,8417,Zollernalbkreis,9518.0,0.0,0.0,14468.164999999999,2696.59,329.6,1815.4,26131.165,2696.59,90.64585501021499
398,7320,Zweibrücken,2695.0,0.0,0.0,1260.671,910.75,200.0,0.0,4155.671,910.75,82.02379944343355
399,14524,Zwickau,20443.3,80.0,0.0,17625.14,7411.0,2828.0,92475.2,133451.63999999998,7411.0,94.73884629735748
400,0,offshoreNordsee,0.0,0.0,0.0,0.0,0.0,0.0,6696818.0,6696818.0,0.0,100.0
401,0,offshoreOstsee,0.0,0.0,0.0,0.0,0.0,0.0,1093000.0,1093000.0,0.0,100.0
