,index,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
174,174,8215,Kreis Karlsruhe,5796.7,1343.0,0.0,296053.975,38023.2,2207.7,2000.0,307401.375,38023.2,88.9923292226675
175,175,6633,Kreis Kassel,18370.24,5.5,0.0,221987.339,88380.91,2982.2,198094.0,441439.279,88380.91,83.3186972042698
176,176,9274,Kreis Landshut,36609.0,0.0,1485000.0,460948.263,4785.3,53080.94,14497.4,565135.603,1489785.3,27.5015744973421
177,177,14729,Kreis Leipzig,30084.0,160.0,0.0,334112.852,1928590.49,3605.5,94867.5,462829.852,1928590.49,19.353764115468078
178,178,9184,Kreis München,13565.0,24112.0,0.0,119622.863,502610.66000000003,19908.0,9.0,177216.863,502610.66000000003,26.06791531739735
179,179,3458,Kreis Oldenburg,68617.0,2720.0,0.0,159324.23,49050.1,114.0,251503.45,482278.68000000005,49050.1,90.76840896892504
180,180,3459,Kreis Osnabrück,84908.3,1327.0,0.0,390627.05,35281.14,280.5,461873.899,939016.7490000001,35281.14,96.3788138721914
181,181,9275,Kreis Passau,28640.0,56.0,0.0,541183.606,11230.515,225632.475,623.54,796135.621,11230.515,98.60899355332882
182,182,9375,Kreis Regensburg,7571.9,0.0,0.0,347423.031,11168.845000000001,7522.2,23556.3,386073.43100000004,11168.845000000001,97.18840474068776
183,183,9187,Kreis Rosenheim,45561.1,80.0,0.0,243904.013,36894.26,171586.7,635.5,461767.31299999997,36894.26,92.60134287508053
184,184,13072,Kreis Rostock,49235.316,0.0,0.0,451041.199,16370.69,168.76,721018.3,1221463.5750000002,16370.69,98.67747319145347
185,185,9678,Kreis Schweinfurt,13710.1,30.0,0.0,183473.764,8729.341,7234.5,111813.25,316261.61399999994,8729.341,97.31397416891187
186,186,9679,Kreis Würzburg,26628.0,39.89,0.0,292090.112,40064.78,5225.0,126594.0,450577.00200000004,40064.78,91.83420950480733
187,187,9476,Kronach,2534.5,0.0,0.0,79391.262,3854.25,991.0,27402.0,110318.762,3854.25,96.62420222390209
188,188,9477,Kulmbach,4105.0,0.0,0.0,160749.511,7329.85,1734.5,81704.38,248293.391,7329.85,97.13255728574383
189,189,7336,Kusel,2169.0,0.0,0.0,56297.157,1402.68,499.5,157515.0,216480.657,1402.68,99.35622428988225
190,190,16065,Kyffhäuserkreis,5043.0,0.0,0.0,150396.863,3514.8,573.6,215800.0,371813.463,3514.8,99.06353974733845
191,191,5315,Köln,7316.0,0.0,0.0,82897.204,1654734.398,2.2,16550.0,106765.404,1654734.398,6.061051149638448
192,192,6532,Lahn-Dill-Kreis,2500.6,810.0,0.0,126349.666,12102.232,5029.6,136037.25,270727.116,12102.232,95.72101265813475
193,193,7313,Landau in der Pfalz,0.0,7050.0,0.0,33047.084,49174.76,0.0,0.0,40097.084,49174.76,44.91571161003463
194,194,9181,Landsberg am Lech,16407.5,372.0,0.0,223707.419,5194.04,123202.7,16007.3,379696.919,5194.04,98.65051649602401
195,195,9261,Landshut,7674.0,0.0,0.0,76817.2,29955.728,7655.0,2000.0,94146.2,29955.728,75.86199627776935
196,196,3457,Leer,5663.0,0.0,0.0,91433.311,37687.578,0.0,225104.0,322200.311,37687.578,89.52796713867745
197,197,14713,Leipzig,15904.0,0.0,0.0,96586.885,199241.77,95.0,27000.0,139585.885,199241.77,41.19672138332392
198,198,5316,Leverkusen,6.0,0.0,0.0,18841.452,165908.91,555.0,0.0,19402.452,165908.91,10.470190165673706
199,199,9478,Lichtenfels,8320.0,0.0,0.0,161209.411,3181.35,3597.55,12506.0,185632.96099999998,3181.35,98.31509063950136
200,200,6533,Limburg-Weilburg,5630.0,548.0,0.0,112782.875,5027.51,3245.0,99810.3,222016.175,5027.51,97.7856640232033
