,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
215,Mainz-Bingen,15289.0,0.0,0.0,115885.537,25156.06,276.0,122360.5,253811.037,25156.06,90.98242757998088
216,Mannheim,51751.0,1021.0,0.0,61692.865,2312307.49,6342.0,9.8,120816.665,2312307.49,4.965495276997075
217,Mansfeld-Südharz,36525.0,0.0,0.0,491276.452,42927.035,46.5,423096.0,950943.952,42927.035,95.68082421546731
218,Marburg-Biedenkopf,16694.0,16.5,0.0,170737.44700000001,44127.54,1316.8,199160.0,387924.747,44127.54,89.7865278514311
219,Mayen-Koblenz,9915.0,0.0,0.0,127569.453,75336.513,20045.44,58280.0,215809.89299999998,75336.513,74.1241823881556
220,Mecklenburgische Seenplatte,93381.0,2814.0,0.0,671115.282,95084.48,112.0,699362.7,1466784.9819999998,95084.48,93.91213655728676
221,Meißen,15510.6,0.0,0.0,289393.201,34216.35,484.5,162401.0,467789.301,34216.35,93.18407075062987
222,Memmingen,1365.0,0.0,0.0,36724.525,2856.1,150.9,0.0,38240.425,2856.1,93.05026398217368
223,Merzig-Wadern,4767.0,0.0,0.0,93054.166,5471.3,11062.1,170803.5,279686.766,5471.3,98.08130975330714
224,Mettmann,3454.0,0.0,0.0,81947.128,61164.552,422.0,2835.0,88658.128,61164.552,59.1753718462385
225,Miesbach,1134.1,5500.0,0.0,57801.81,103769.11,68131.5,7.5,132574.91,103769.11,56.09404037385841
226,Miltenberg,3386.0,0.0,0.0,104843.53600000001,131587.615,13380.8,16800.0,138410.336,131587.615,51.26347644023418
227,Minden-Lübbecke,36980.5,442.0,0.0,251117.341,943757.51,1135.0,46943.6,336618.441,943757.51,26.29059384761906
228,Mittelsachsen,38358.0,0.0,0.0,317419.993,78832.12,35504.64,248906.8,640189.433,78832.12,89.03619513614218
229,Märkisch-Oderland,33767.0,0.0,0.0,828945.458,55397.880000000005,0.0,532856.0,1395568.458,55397.880000000005,96.18200101896507
230,Märkischer Kreis,5639.0,4240.0,0.0,92370.991,59804.96,14665.4,34910.0,151825.391,59804.96,71.74083976262932
231,Mönchengladbach,0.0,0.0,0.0,50625.52,13085.59,0.0,28909.9,79535.42,13085.59,85.87189882727472
232,Mühldorf a. Inn,28762.0,0.0,0.0,217355.759,12465.017,35928.8,4.5,282051.059,12465.017,95.76762763877107
233,Mülheim an der Ruhr,6638.0,0.0,0.0,18591.693,17645.35,11550.0,0.0,36779.693,17645.35,67.57862001137968
234,München,4382.0,1685.0,0.0,95091.869,952908.66,18003.0,5001.0,124162.869,952908.66,11.527820173213398
235,Münster,15606.5,1.0,0.0,78925.326,144351.79,110.0,90653.2,185296.026,144351.79,56.21029990382221
236,Neckar-Odenwald-Kreis,25404.0,281.0,0.0,197877.474,9310.35,10716.5,105680.0,339958.974,9310.35,97.33433503596211
237,Neu-Ulm,22301.9,105.0,0.0,177809.052,40978.228,36643.0,10.0,236868.952,40978.228,85.25152279753208
238,Neuburg-Schrobenhausen,10875.0,0.0,0.0,300401.365,17893.9,66573.5,13080.0,390929.865,17893.9,95.62307734238492
239,Neumarkt i.d. OPf.,50848.4,30.0,0.0,399856.127,10755.97,1489.2,159969.5,612193.2270000001,10755.97,98.27337926562895
240,Neumünster,510.0,0.0,0.0,17598.064,79880.05,0.0,0.0,18108.064,79880.05,18.479857669267926
241,Neunkirchen,415.0,5200.0,0.0,76720.609,16997.89,0.0,77460.0,159795.609,16997.89,90.38545529324016
242,Neustadt a.d. Aisch-Bad Windsheim,41538.8,90.0,0.0,284315.685,6694.64,166.8,150501.2,476612.485,6694.64,98.61482695915149
243,Neustadt a.d. Waldnaab,27106.21,200.0,0.0,274005.486,2610.41,37110.7,10810.0,349232.396,2610.41,99.25807492565303
244,Neustadt an der Weinstraße,520.5,0.0,0.0,26544.265,5983.219,100.0,3000.0,30164.765,5983.219,83.44798703020341
245,Neuwied,9472.5,160.0,0.0,78762.646,6827.0599999999995,1600.0,6.0,90001.146,6827.0599999999995,92.94930652748022
246,Nienburg (Weser),59813.0,220.0,0.0,155766.721,81128.81999999999,5225.0,373049.5,594074.221,81128.81999999999,87.98452982678437
247,Nordfriesland,113481.0,223.0,0.0,392945.624,12466.054,0.0,2254508.1,2761157.724,12466.054,99.5505499304239
248,Nordhausen,14573.7,0.0,0.0,95522.806,17933.12,258.9,83670.0,194025.40600000002,17933.12,91.53932595285174
249,Nordsachsen,66566.0,135.0,0.0,356384.196,77514.42,207.0,136374.73,559666.926,77514.42,87.83479452331613
250,Nordwestmecklenburg,43775.0,0.0,0.0,193704.415,13460.24,15.0,262425.0,499919.41500000004,13460.24,97.37811191602441
251,Northeim,20713.14,123.0,0.0,95282.885,11576.335,222874.5,52550.0,391543.525,11576.335,97.12831439264738
252,Nürnberg,8957.0,0.0,0.0,69488.295,1173866.3,1269.9,10.0,79725.19499999999,1173866.3,6.359742812390409
253,Nürnberger Land,2917.5,13.0,0.0,88001.028,7848.99,1803.1,28063.0,120797.62800000001,7848.99,93.89879802359047
254,Oberallgäu,7805.3,0.0,0.0,175842.501,54548.005000000005,38559.5,29222.57,251429.87099999998,54548.005000000005,82.17256564000725
255,Oberbergischer Kreis,2518.0,0.0,0.0,89924.184,13239.295,8783.0,19900.0,121125.184,13239.295,90.14672992554826
256,Oberhausen,3145.0,14280.0,0.0,18226.643,164203.7,0.0,0.0,35651.643,164203.7,17.838723981474942
257,Oberhavel,17886.0,0.0,0.0,246763.592,12890.08,413.0,159258.6,424321.19200000004,12890.08,97.05175030345512
258,Oberspreewald-Lausitz,18847.0,0.0,0.0,528627.002,148440.71,14.0,492175.0,1039663.002,148440.71,87.50608145562295
259,Odenwaldkreis,3420.0,0.0,0.0,55589.142,12522.0,244.7,43475.0,102728.842,12522.0,89.13500345620035
260,Oder-Spree,65917.0,0.0,0.0,266855.487,195878.91,786.0,473370.0,806928.487,195878.91,80.46694603709629
261,Offenbach,2551.0,556.0,0.0,74438.806,31131.176,0.0,0.0,77545.806,31131.176,71.35439775094234
262,Offenbach am Main,784.0,0.0,0.0,13582.671,85042.1,0.0,0.0,14366.671,85042.1,14.452116101505771
263,Oldenburg (Oldb),2867.5,0.0,0.0,45915.862,14128.132,700.0,15800.0,65283.362,14128.132,82.20895831527864
264,Olpe,2228.0,0.0,0.0,49738.752,10233.33,159758.0,25600.0,237324.752,10233.33,95.86629128916907
265,Ortenaukreis,25435.0,391.0,0.0,365141.387,68218.769,11860.5,115283.7,518111.587,68218.769,88.36513097063663
266,Osnabrück,1065.0,10.0,0.0,59357.86,56974.44,4.0,6750.0,67186.86,56974.44,54.11256164360393
267,Ostalbkreis,30317.0,0.0,0.0,315058.672,38854.87,1113.58,191366.0,537855.2520000001,38854.87,93.2626689704607
268,Ostallgäu,32132.3,0.0,0.0,322376.462,33441.34,62748.355,55374.0,472631.11699999997,33441.34,93.39198576459971
269,Osterholz,8678.2,50.0,0.0,68128.663,3329.946,0.0,138575.0,215431.863,3329.946,98.47782114473189
270,Ostholstein,17265.0,230.0,0.0,113866.456,22934.945,18.0,553752.0,685131.456,22934.945,96.76090477282796
271,Ostprignitz-Ruppin,43623.0,160.0,0.0,313635.969,21081.52,24.0,449327.0,806769.969,21081.52,97.45346595613842
272,Paderborn,31421.99,435.08000000000004,0.0,330336.463,29313.945,2134.8,991276.4,1355604.733,29313.945,97.88334539307874
273,Passau,7306.5,0.0,0.0,33616.054000000004,9138.675,141919.5,0.0,182842.054,9138.675,95.2397956567818
274,Peine,17259.0,0.0,0.0,56123.337,775483.24,22.0,187980.0,261384.337,775483.24,25.20903756642397
275,Pfaffenhofen a.d. Ilm,15425.8,0.0,0.0,188338.926,1896848.8,31574.0,21153.8,256492.52599999998,1896848.8,11.911373403883672
276,Pforzheim,16561.0,0.0,0.0,29792.625,131794.5,2790.0,5.0,49148.625,131794.5,27.16247163300623
277,Pinneberg,14639.0,0.0,0.0,59623.957,449605.842,0.0,16518.0,90780.957,449605.842,16.799255120219915
278,Pirmasens,550.0,0.0,0.0,16861.045,28656.41,0.0,6600.0,24011.045,28656.41,45.58990936623005
279,Plön,28800.0,0.0,0.0,54535.847,2754.46,2260.0,43670.0,129265.84700000001,2754.46,97.91360885109896
280,Potsdam,5546.0,0.0,0.0,30976.979,94947.335,0.0,71750.0,108272.97899999999,94947.335,53.278620069448365
281,Potsdam-Mittelmark,28260.0,0.0,0.0,235876.804,10626.75,86.0,427980.0,692202.804,10626.75,98.48800467488594
282,Prignitz,38309.0,0.0,0.0,298011.012,6134.1,52.2,1016430.0,1352802.212,6134.1,99.54861019270488
283,Rastatt,9175.0,5.535,0.0,151128.118,62403.492,204184.5,0.0,364493.153,62403.492,85.38206080303114
284,Ravensburg,56266.8,39.0,0.0,397878.272,35379.2,19777.0,8.0,473969.072,35379.2,93.05402571386362
285,Recklinghausen,31967.0,20619.0,0.0,168765.612,1700594.56,33.0,138631.0,360015.61199999996,1700594.56,17.47131101709421
286,Regen,4360.0,147.0,0.0,130836.94,5270.2,18407.9,46.5,153798.34,5270.2,96.68683700749374
287,Regensburg,7108.8,0.0,0.0,46000.605,51820.63,10800.0,500.0,64409.405000000006,51820.63,55.41545694277732
288,Region Hannover,56564.849,3320.0,0.0,232360.476,706810.264,3799.0,402826.9,698871.2250000001,706810.264,49.71760889425784
289,Regionalverband Saarbrücken,1820.0,32901.0,0.0,129274.492,1439103.7,2200.0,18000.0,184195.492,1439103.7,11.346983532534155
290,Rems-Murr-Kreis,14630.0,253.0,0.0,164868.11,32974.6,1892.5,21711.0,203354.61,32974.6,86.04717546341394
291,Remscheid,0.0,0.0,0.0,12638.374,5144.05,0.0,1505.5,14143.874,5144.05,73.33020391411745
292,Rendsburg-Eckernförde,84890.0,1966.0,0.0,293784.185,99062.98,225.0,428606.4,809471.585,99062.98,89.09639943087912
293,Reutlingen,30143.8,0.0,0.0,207539.475,35911.665,96890.5,7550.0,342123.77499999997,35911.665,90.50045016943386
294,Rhein-Erft-Kreis,8205.0,0.0,0.0,151588.469,4937025.58,0.0,78352.0,238145.469,4937025.58,4.601692712089525
295,Rhein-Hunsrück-Kreis,7227.65,0.0,0.0,126050.093,3550.69,26.0,715355.0,848658.743,3550.69,99.58335476439159
296,Rhein-Kreis Neuss,11026.1,382.0,0.0,119297.906,4426496.24,217.2,197570.5,328493.706,4426496.24,6.908399591387905
297,Rhein-Lahn-Kreis,375.0,0.0,0.0,62353.381,3075.01,14487.5,10979.8,88195.681,3075.01,96.63088997540295
298,Rhein-Neckar-Kreis,12461.0,2216.5,0.0,282196.027,42060.35,15499.2,10.0,312382.727,42060.35,88.1333977923908
299,Rhein-Pfalz-Kreis,1873.0,0.0,0.0,76852.457,3102.3740000000003,0.0,40100.0,118825.457,3102.3740000000003,97.45556533356195
300,Rhein-Sieg-Kreis,5768.0,130.0,0.0,211114.676,14967.605,1158.5,3209.5,221380.676,14967.605,93.66714031653989
301,Rheingau-Taunus-Kreis,3045.0,220.0,0.0,50713.466,4857.39,79.0,62250.0,116307.466,4857.39,95.99109002366166
302,Rheinisch-Bergischer Kreis,3221.5,0.0,0.0,59694.409,86912.72,647.5,275.0,63838.409,86912.72,42.34688617157885
303,Rhön-Grabfeld,16835.3,9.375,0.0,118969.563,7768.99,535.3,47200.0,183549.538,7768.99,95.93923804389715
304,Rosenheim,8878.0,0.0,0.0,17766.034,34578.55,2055.0,20.0,28719.034,34578.55,45.37145367191266
305,Rostock,3715.0,0.0,0.0,39521.193999999996,688493.05,0.0,8801.12,52037.314,688493.05,7.027033127840792
306,Rotenburg (Wümme),158070.2,0.0,0.0,132029.503,13934.853,25.0,315906.8,606031.503,13934.853,97.75232109530795
307,Roth,5887.0,180.0,0.0,211368.786,5572.94,8448.18,21541.0,247424.966,5572.94,97.79723868544588
308,Rottal-Inn,56358.9,0.0,0.0,437984.427,5206.51,178506.52,2150.8,675000.6470000001,5206.51,99.23456994734326
309,Rottweil,25473.0,805.0,0.0,143182.708,14855.654,9568.0,41381.5,220410.208,14855.654,93.68558877445636
310,Saale-Holzland-Kreis,24093.75,0.0,0.0,127668.952,6170.37,3269.5,111643.0,266675.202,6170.37,97.73851195210162
311,Saale-Orla-Kreis,97423.5,0.0,0.0,108302.561,3754.5499999999997,7547.0,57329.0,270602.061,3754.5499999999997,98.63150737052952
312,Saalekreis,31387.0,0.0,0.0,329110.759,1616608.63,6810.0,306104.6,673412.3589999999,1616608.63,29.406383707166974
313,Saalfeld-Rudolstadt,8382.5,350.0,0.0,68297.759,39345.49,10351.8,5200.6,92582.65900000001,39345.49,70.17657694871473
314,Saarlouis,3450.0,19040.0,0.0,130152.871,148018.35,2395.5,51560.0,206598.37099999998,148018.35,58.2596247625898
315,Saarpfalz-Kreis,220.0,0.0,0.0,90387.226,807882.04,952.5,36000.0,127559.726,807882.04,13.636308601598188
316,Salzgitter,0.0,22222.0,0.0,18572.76,423725.65,334.0,128780.0,169908.76,423725.65,28.621784239225622
317,Salzlandkreis,26859.0,0.0,0.0,278629.265,446012.86,6387.0,692285.0,1004160.265,446012.86,69.2441645544907
318,Schaumburg,14246.8,1804.56,0.0,109833.909,23725.190000000002,191.2,43250.0,169326.46899999998,23725.190000000002,87.71044490221138
319,Schleswig-Flensburg,154453.4,600.0,0.0,456711.909,10932.52,80.0,1004477.2,1616322.5089999998,10932.52,99.32816185507698
320,Schmalkalden-Meiningen,9540.5,0.0,0.0,111760.663,25534.8,1503.0,601.0,123405.163,25534.8,82.85564231004946
321,Schwabach,1061.0,0.0,0.0,14794.406,1754.7,1161.0,1.0,17017.406000000003,1754.7,90.65262043587438
322,Schwalm-Eder-Kreis,22705.5,50.0,0.0,235526.649,27243.120000000003,3558.7,75100.6,336941.449,27243.120000000003,92.51941945953234
323,Schwandorf,29436.55,60.0,0.0,308298.012,77077.225,94107.41,30001.55,461903.522,77077.225,85.69944744241486
324,Schwarzwald-Baar-Kreis,27524.6,556.2,0.0,154374.548,20608.07,4686.2,9845.0,196986.54800000004,20608.07,90.52914534862254
325,Schweinfurt,5.5,0.0,0.0,25438.327,53076.64,4065.0,0.0,29508.827,53076.64,35.731258866647806
326,Schwerin,3202.0,440.0,0.0,49465.176,65800.55,0.0,30000.0,83107.176,65800.55,55.81119142199512
327,Schwäbisch Hall,68144.0,240.0,0.0,390564.761,29295.2,6304.5,298254.6,763507.861,29295.2,96.30485785927107
328,Segeberg,38075.5,200.0,0.0,91759.353,40411.145,0.0,157700.8,287735.653,40411.145,87.68504058357442
329,Siegen-Wittgenstein,6436.0,0.0,0.0,73053.823,15493.605,96.5,75358.6,154944.923,15493.605,90.90956418023042
330,Sigmaringen,44496.9,230.0,0.0,254396.84,5606.47,4671.8,23650.0,327445.54000000004,5606.47,98.31663829322034
331,Soest,43511.0,5.5,0.0,274384.251,26791.195,11828.1,213476.1,543204.951,26791.195,95.29975857064831
332,Solingen,740.0,0.0,0.0,23463.953,16959.284,593.0,4600.0,29396.953,16959.284,63.41531345609438
333,Sonneberg,1622.0,0.0,0.0,29493.401,6308.8,953.0899999999999,10.0,32078.491,6308.8,83.56539407795147
334,Speyer,174.1,0.0,0.0,17549.089,4293.71,0.0,0.0,17723.189,4293.71,80.49811646953552
335,Spree-Neiße,11560.0,0.0,0.0,442317.743,4842271.99,2240.8,166208.75,622327.2930000001,4842271.99,11.388342690305185
336,St. Wendel,1275.3,0.0,0.0,131645.094,22705.79,1193.65,185900.6,320014.64400000003,22705.79,93.37483623751481
337,Stade,29616.4,0.0,0.0,113543.546,219049.85,0.0,446554.5,589714.446,219049.85,72.91548958288831
338,Starnberg,1015.0,17.4,0.0,78276.635,9086.762999999999,620.1,12040.0,91969.135,9086.762999999999,91.00818143241872
339,Steinburg,20435.0,0.0,0.0,185652.591,127629.40999999999,0.0,604991.5,811079.091,127629.40999999999,86.40372278891293
340,Steinfurt,68887.0,530.0,0.0,461581.392,58267.272,277.5,562710.5,1093986.392,58267.272,94.94319056467762
341,Stendal,188026.0,231.0,0.0,286389.518,25270.55,0.0,838458.0,1313104.518,25270.55,98.11184841945965
342,Stormarn,16193.2,24.0,0.0,59888.309,37579.827,65.0,53307.5,129478.009,37579.827,77.50490015924784
343,Straubing,1355.0,0.0,0.0,65022.5,3747.55,21499.98,0.0,87877.48,3747.55,95.90990584123136
344,Straubing-Bogen,13684.0,10.0,0.0,441541.141,3047.31,26662.57,7207.2,489104.911,3047.31,99.38081961840827
345,Stuttgart,815.3,1253.0,0.0,61179.266,433433.21,653237.0,0.6,716485.1660000001,433433.21,62.30748033545643
346,Städteregion Aachen,14271.0,810.0,0.0,126168.098,2273712.61,1626.0,229213.0,372088.098,2273712.61,14.063345620663432
347,Suhl,0.0,0.0,0.0,10238.512999999999,1145.155,0.0,0.0,10238.512999999999,1145.155,89.94036895664912
348,Sächsische Schweiz-Osterzgebirge,9300.0,0.0,0.0,102649.664,17659.760000000002,7735.5,41858.6,161543.764,17659.760000000002,90.14541700642002
349,Sömmerda,13141.5,0.0,0.0,83496.859,4720.7,310.5,236355.95,333304.809,4720.7,98.60344859357937
350,Südliche Weinstraße,0.0,4939.3,0.0,96937.616,30240.829999999998,126.0,46530.0,148532.91599999997,30240.829999999998,83.08430030883842
351,Südwestpfalz,4911.0,0.0,0.0,92225.224,1504.15,203.5,118510.0,215849.724,1504.15,99.3079718468694
352,Teltow-Fläming,67898.0,5.28,0.0,223087.196,202288.01,7.5,788320.0,1079317.976,202288.01,84.21605296715585
353,Tirschenreuth,43213.3,0.0,0.0,164019.624,3934.55,1702.2,30692.6,239627.72400000005,3934.55,98.38458151363787
354,Traunstein,50549.3,5500.0,0.0,260470.103,20277.245,33734.5,4762.3,355016.203,20277.245,94.59696269464315
355,Trier,4137.0,0.0,0.0,43269.86,18662.48,20138.5,0.0,67545.36,18662.48,78.35176011833727
356,Trier-Saarburg,9437.8,0.0,0.0,201702.668,5148.25,51868.5,163926.703,426935.67100000003,5148.25,98.80850692428335
357,Tuttlingen,16308.0,5.5,0.0,134898.548,28981.86,2387.5,19800.0,173399.548,28981.86,85.67958376888059
358,Tübingen,8545.4,1.0,0.0,115841.306,44050.26,8128.5,1.0,132517.206,44050.26,75.05188186820328
359,Uckermark,33939.0,0.0,0.0,216000.756,411673.2,11.0,1412152.4,1662103.156,411673.2,80.14862119490768
360,Uelzen,40269.0,0.0,0.0,74380.041,48857.75,181.0,257619.0,372449.04099999997,48857.75,88.40328448444117
361,Ulm,23248.0,0.0,0.0,65337.853,89169.488,19054.0,31400.0,139039.853,89169.488,60.92645129718858
362,Unna,54678.0,21570.0,0.0,149377.934,3034926.68,5988.0,44600.0,276213.934,3034926.68,8.341957234679978
363,Unstrut-Hainich-Kreis,10302.0,99.0,0.0,149435.115,16947.51,356.0,222256.56,382448.675,16947.51,95.7567171053474
364,Unterallgäu,41929.26,35.0,0.0,402242.095,32298.0,32906.2,7207.4,484319.955,32298.0,93.74818476837493
365,Vechta,37134.0,0.0,0.0,245773.353,17376.23,0.0,164660.0,447567.353,17376.23,96.2627229119108
366,Verden,15444.2,0.0,0.0,75985.735,7760.77,20546.32,188753.5,300729.755,7760.77,97.48427605677678
367,Viersen,23264.0,0.0,0.0,166345.478,27556.25,7.5,55282.5,244899.478,27556.25,89.88597149258686
368,Vogelsbergkreis,16034.0,0.0,0.0,128808.865,2108.875,1285.85,460759.8,606888.515,2108.875,99.65371362264787
369,Vogtlandkreis,14917.0,502.0,0.0,120306.896,14862.76,1942.4,30807.799,168476.09499999997,14862.76,91.89328415954162
370,Vorpommern-Greifswald,76072.0,0.0,0.0,567003.654,106056.795,0.0,691953.2,1335028.8539999998,106056.795,92.64049329242887
371,Vorpommern-Rügen,33122.35,699.0,0.0,420566.648,17258.19,0.0,461274.8,915662.798,17258.19,98.15009092710004
372,Vulkaneifel,4418.0,6.3,0.0,67735.865,2226.25,236.8,186950.0,259346.965,2226.25,99.1488998596435
373,Waldeck-Frankenberg,29006.0,99.5,0.0,172850.659,18873.215,5016.3,223511.18,430483.63899999997,18873.215,95.79994945398117
374,Waldshut,22057.0,0.0,0.0,155926.279,14368.92,209290.0,20.3,387293.57899999997,14368.92,96.42263840020574
375,Warendorf,34956.0,85.0,0.0,260943.971,19641.347999999998,132.4,267155.0,563272.371,19641.347999999998,96.63048795048175
376,Wartburgkreis,5465.0,0.0,0.0,130533.369,66396.385,5112.2,89620.0,230730.56900000002,66396.385,77.65386677103687
377,Weiden i.d. OPf.,1064.0,0.0,0.0,37968.367,3622.65,125.0,0.0,39157.367,3622.65,91.53191079844592
378,Weilheim-Schongau,20485.3,0.0,0.0,165345.269,241221.53,64195.2,619.4,250645.16899999997,241221.53,50.95794643336893
379,Weimar,265.0,0.0,0.0,14809.013,6321.85,68.0,0.0,15142.013,6321.85,70.54654141241956
380,Weimarer Land,6825.0,0.0,0.0,130364.35800000001,10834.3,1010.2,126210.0,264409.558,10834.3,96.06374504458516
381,Weißenburg-Gunzenhausen,51001.8,0.0,0.0,268897.181,9321.13,1451.0,111922.8,433272.78099999996,9321.13,97.8939769010966
382,Werra-Meißner-Kreis,10049.15,0.0,0.0,80710.254,48805.5,31204.2,109457.5,231421.104,48805.5,82.5835594110829
383,Wesel,29037.5,12127.0,0.0,226296.3,219840.35,0.0,110606.0,378066.8,219840.35,63.231690739941804
384,Wesermarsch,16634.0,0.0,0.0,67395.793,350865.7,0.0,422310.0,506339.793,350865.7,59.06865939786973
385,Westerwaldkreis,22482.0,0.0,0.0,164647.016,9642.58,648.09,165450.0,353227.106,9642.58,97.34268792020285
386,Wetteraukreis,10173.5,0.0,0.0,120851.804,27255.85,2209.2,45800.0,179034.50400000002,27255.85,86.7876275009931
387,Wiesbaden,12952.0,1787.0,0.0,27582.195,119207.069,5000.0,0.0,47321.195,119207.069,28.416314362107325
388,Wilhelmshaven,2125.0,0.0,0.0,28770.072,855870.85,0.0,101359.6,132254.67200000002,855870.85,13.384399962902691
389,Wittenberg,39731.0,263.0,0.0,238923.478,12992.21,9.3,280631.5,559558.2779999999,12992.21,97.73081845665985
390,Wittmund,15729.0,0.0,0.0,49349.815,3658.045,0.0,366414.8,431493.615,3658.045,99.1593631976493
391,Wolfenbüttel,9742.0,0.0,0.0,52434.96,16434.51,471.0,121690.0,184337.96,16434.51,91.8143608035504
392,Wolfsburg,4977.0,0.0,0.0,22158.25,658680.95,0.0,6666.0,33801.25,658680.95,4.881172396922261
393,Worms,760.0,0.0,0.0,30342.113,40535.6,0.0,27000.0,58102.113,40535.6,58.9045621931644
394,Wunsiedel i. Fichtelgebirge,14769.0,0.0,0.0,71493.252,19159.14,4900.83,61295.3,152458.38199999998,19159.14,88.83613993680667
395,Wuppertal,4843.0,2008.0,0.0,32124.076,242251.75,1134.5,9401.0,49510.576,242251.75,16.969489062820266
396,Würzburg,0.0,1578.0,0.0,30733.062,203796.4,3111.0,2000.0,37422.062000000005,203796.4,15.513763618972085
397,Zollernalbkreis,9518.0,0.0,0.0,171707.583,27281.719999999998,1189.6,1815.4,184230.583,27281.719999999998,87.10159191070791
398,Zweibrücken,2695.0,0.0,0.0,17457.058,2691.0699999999997,215.0,0.0,20367.058,2691.0699999999997,88.32919133764892
399,Zwickau,20443.3,80.0,0.0,155749.905,25909.65,6209.0,92475.2,274957.40499999997,25909.65,91.3883392782902
