,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
50,Cochem-Zell,9375.0,0.0,0.0,88096.411,931.265,49200.0,140290.0,286961.41099999996,931.265,99.67652355282564
51,Coesfeld,29510.7,0.0,0.0,288768.694,6279.615,245.0,266230.0,584754.394,6279.615,98.9375205310732
52,Cottbus,635.0,0.0,0.0,119496.88100000001,84298.97,280.0,64000.0,184411.881,84298.97,68.62837146833344
53,Cuxhaven,52745.0,0.0,0.0,138513.272,7300.63,0.0,794078.9,985337.172,7300.63,99.26452226730731
54,Dachau,20860.0,0.0,0.0,178033.205,3418.01,6150.6,20528.0,225571.805,3418.01,98.50735282702419
55,Dahme-Spreewald,39848.2,4.68,0.0,306161.721,37589.67,266.5,627450.0,973731.101,37589.67,96.28311104865065
56,Darmstadt,1937.1,0.0,0.0,17815.216,154857.04,0.0,0.0,19752.316,154857.04,11.312289588880907
57,Darmstadt-Dieburg,5427.0,0.0,0.0,112168.812,10907.258,0.0,25360.0,142955.812,10907.258,92.91106176420372
58,Deggendorf,6920.0,0.0,0.0,389596.92,155364.63999999998,27160.2,6.5,423683.62,155364.63999999998,73.1689652258
59,Delmenhorst,252.0,0.0,0.0,10502.504,5343.0,0.0,17850.0,28604.504,5343.0,84.26099309097953
60,Dessau-Roßlau,2395.0,0.0,0.0,76488.209,46139.549999999996,400.0,17200.0,96483.209,46139.549999999996,67.64923752456647
61,Diepholz,115829.5,65.0,0.0,269839.797,9671.61,57.5,780886.0,1166677.797,9671.61,99.17782846300189
62,Dillingen a.d. Donau,53808.3,231.18,0.0,230956.047,9497.41,44637.2,24803.6,354436.32699999993,9497.41,97.39034636406902
63,Dingolfing-Landau,38958.0,80.0,0.0,411231.851,35949.55,68360.2,1520.0,520150.05100000004,35949.55,93.53541165371202
64,Dithmarschen,47552.0,190.0,0.0,315605.891,89932.22200000001,0.0,1868263.14,2231611.031,89932.22200000001,96.12618796209006
65,Donau-Ries,95491.4,9.0,0.0,345211.83,37647.76,41897.1,16147.7,498757.03,37647.76,92.98146461369221
66,Donnersbergkreis,2966.0,0.0,0.0,80670.066,1940.605,30.0,291145.0,374811.066,1940.605,99.48491137548267
67,Dortmund,5537.5599999999995,7005.45,0.0,71849.808,92952.515,2100.0,13800.0,100292.818,92952.515,51.89921869937216
68,Dresden,15350.0,582.0,0.0,47008.683,494551.52,444.0,600.0,63984.683,494551.52,11.455780781322066
69,Duisburg,9413.8,62153.0,0.0,44019.58,2537020.58,700.0,2300.0,118586.38,2537020.58,4.4655094592763085
70,Düren,13662.0,0.0,0.0,135123.441,57698.325,32024.5,411820.5,592630.441,57698.325,91.1278221083642
71,Düsseldorf,109611.4,0.0,0.0,40394.473,1166214.6500000001,0.0,0.0,150005.873,1166214.6500000001,11.39671281360198
72,Ebersberg,15246.0,50.0,0.0,109744.034,5279.778,533.7,2313.9,127887.63399999999,5279.778,96.03523270392911
73,Eichsfeld,25660.0,0.0,0.0,114796.071,5571.05,79.05,84000.0,224535.12099999998,5571.05,97.5789219490337
74,Eichstätt,25701.2,0.0,0.0,279661.212,872573.89,907.2,110303.47,416573.082,872573.89,32.313854901565094
75,Eifelkreis Bitburg-Prüm,29162.6,675.0,0.0,276396.469,48453.799999999996,1721.5,517968.1,825923.6689999999,48453.799999999996,94.45848026534635
76,Elbe-Elster,29203.0,0.0,0.0,416104.63899999997,1723.28,0.0,632321.0,1077628.639,1723.28,99.84034122980052
77,Emden,22075.0,0.0,0.0,17984.758,56536.95,0.0,195060.0,235119.758,56536.95,80.61524098393102
78,Emmendingen,6387.5,119.0,0.0,143974.958,8569.882,3859.6,32668.5,187009.55800000002,8569.882,95.61820915327296
79,Emsland,172111.3,50.0,1406000.0,615347.835,2845614.048,150.0,1197078.7,1984737.835,4251614.048,31.825302231747077
80,Ennepe-Ruhr-Kreis,4045.0,0.0,0.0,57046.651,450687.28,10781.0,5562.5,77435.151,450687.28,14.662348435641432
81,Enzkreis,3027.62,220.0,0.0,124057.60800000001,9526.28,5551.3,4.0,132860.52800000002,9526.28,93.30957682540367
82,Erding,55396.6,0.0,0.0,165833.487,95149.32999999999,82492.18,96.48,303818.747,95149.32999999999,76.15114203736155
83,Erfurt,2096.5,808.0,0.0,62396.094,140784.87,1033.77,47400.0,113734.364,140784.87,44.68596035457187
84,Erlangen,464.5,0.0,0.0,31132.365,60352.72,1053.0,0.0,32649.865,60352.72,35.10640591334101
