"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE934129194374";"BHKW";"In Planung";"";"4/5/2019";"Erdgas";"5,5";"5,35";"16348";"Wandlitz";"Maria und Benjamin Maaß";"ABR936976977681";"4/5/2019"
"SEE928007138819";"WEA 1";"In Planung";"";"2/10/2020";"Wind";"5600";"5600";"16356";"Werneuchen";"MLK Windfeld Blumberg Nr. 65 GmbH & Co. KG";"ABR980559184607";"4/26/2021"
"SEE977270958341";"WEA 2";"In Planung";"";"2/10/2020";"Wind";"5600";"5600";"16356";"Werneuchen";"MLK Windfeld Blumberg Nr. 65 GmbH & Co. KG";"ABR980559184607";"4/26/2021"
"SEE952577563313";"WKA 4";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE951426932003";"WKA 7";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE904284115071";"WKA 9";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE939978024063";"WKA 10";"In Planung";"";"5/11/2020";"Wind";"3300";"3300";"16321";"Bernau";"MBBF Windparkplanung GmbH & Co. KG";"ABR909682406875";"5/18/2021"
"SEE950682552819";"Blumberg WEA 2";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Ahrensfelde";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE966981096046";"Blumberg WEA 3";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Ahrensfelde";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE903615307437";"Blumberg WEA 4";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Ahrensfelde";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE942409927567";"Blumberg WEA 8";"In Planung";"";"6/4/2020";"Wind";"3600";"3600";"16356";"Werneuchen";"PROKON Windpark Blumberg GmbH & Co.KG";"ABR963913170188";"7/13/2021"
"SEE934223370551";"PowerWall E.Krechlok 16227";"In Planung";"";"8/26/2020";"Speicher";"4,6";"4,6";"16227";"Eberswalde";"(natürliche Person)";"ABR928321116890";"8/26/2020"
"SEE952160184253";"WEA 01";"In Planung";"";"9/1/2020";"Wind";"5700";"5700";"16230";"Breydin";"Denker & Wulf AG";"ABR933776283783";"1/14/2022"
"SEE996583341275";"WEA 02";"In Planung";"";"9/1/2020";"Wind";"5700";"5700";"16230";"Breydin";"Denker & Wulf AG";"ABR933776283783";"1/14/2022"
"SEE928136790766";"WEA 3";"In Planung";"";"9/9/2020";"Wind";"5700";"5700";"16230";"Breydin";"Windpark Klobbicke GmbH & Co. KG";"ABR955009338183";"4/20/2022"
"SEE911868784059";"Speicher Stadt+Land Werbung";"In Planung";"";"10/28/2020";"Speicher";"4,6";"4,6";"16348";"Wandlitz";"Stadt+Land Werbung";"ABR918406222929";"10/28/2020"
"SEE936422867061";"Klobbicke /  WEA 4";"In Planung";"";"11/4/2020";"Wind";"5700";"5700";"16230";"Breydin";"Windpark Klobbicke GmbH & Co. KG";"ABR955009338183";"3/26/2021"
"SEE959131924825";"Tesla Power Wall2 Kohls";"In Planung";"";"11/6/2020";"Speicher";"4,6";"4,6";"16227";"Eberswalde";"(natürliche Person)";"ABR969372933609";"11/6/2020"
"SEE971186471635";"PowerWall Lobedan";"In Planung";"";"11/6/2020";"Speicher";"4,6";"4,6";"16359";"Biesenthal";"(natürliche Person)";"ABR973375631240";"11/6/2020"
"SEE929571169377";"Jes-06208";"In Planung";"";"11/9/2020";"Speicher";"3";"3";"16225";"Eberswalde";"(natürliche Person)";"ABR979990252280";"11/9/2020"
"SEE942043130699";"DANrep";"In Planung";"";"4/7/2021";"Wind";"5700";"5700";"16359";"Biesenthal";"TEUT Windprojekte GmbH";"ABR971893778461";"4/7/2021"
"SEE978627975721";"JES-01379";"In Planung";"";"4/23/2021";"Speicher";"15";"12";"16341";"Panketal";"(natürliche Person)";"ABR956926087048";"4/23/2021"
"SEE966342513205";"WP Krummensee III WEA 1";"In Planung";"";"7/27/2021";"Wind";"4200";"4200";"16356";"Werneuchen";"Energiequelle GmbH";"ABR957301131660";"7/27/2021"
"SEE949240626437";"WP Krummensee III WEA 2";"In Planung";"";"7/27/2021";"Wind";"4200";"4200";"16356";"Werneuchen";"Energiequelle GmbH";"ABR957301131660";"7/27/2021"
"SEE945307575618";"LINrep7";"In Planung";"";"8/3/2021";"Wind";"5700";"5700";"16356";"Ahrensfelde";"Phase 5 GmbH & Co. Lindenberg KG";"ABR965079021397";"5/13/2022"
"SEE958928377547";"LINrep9";"In Planung";"";"8/3/2021";"Wind";"5700";"5700";"16356";"Ahrensfelde";"TEUT Windprojekte GmbH";"ABR971893778461";"8/3/2021"
"SEE978759883703";"Garage 6";"In Planung";"";"9/6/2021";"Speicher";"4";"4";"16321";"Bernau";"(natürliche Person)";"ABR927334066864";"9/6/2021"
"SEE972931514133";"Brennstoffzelle E3DC";"In Planung";"";"9/29/2021";"Erdgas";"1,5";"";"16348";"Wandlitz";"(natürliche Person)";"ABR950308400128";"10/19/2021"
"SEE943165970712";"WEA 3";"In Planung";"";"1/4/2022";"Wind";"4200";"4200";"16356";"Ahrensfelde";"VS Ventor WEA3 Energiegenossenschaft eG";"ABR943303529918";"4/8/2022"
"SEE995634146784";"TPF_BHKW 1 von 3";"In Planung";"";"1/16/2022";"Biomasse";"160";"160";"16356";"Ahrensfelde";"RETERRA Service GmbH";"ABR998012103300";"1/20/2022"
"SEE943210322916";"TPF_BHKW 2 von 3";"In Planung";"";"1/16/2022";"Biomasse";"800";"800";"16356";"Ahrensfelde";"RETERRA Service GmbH";"ABR998012103300";"1/20/2022"
"SEE953831072824";"TPF_BHKW 3 von 3";"In Planung";"";"1/16/2022";"Biomasse";"1200";"1200";"16356";"Ahrensfelde";"RETERRA Service GmbH";"ABR998012103300";"1/20/2022"
"SEE984858220455";"Batteriespeicher Keller";"In Planung";"";"2/6/2022";"Speicher";"2,7";"2,7";"16356";"Ahrensfelde";"(natürliche Person)";"ABR927104689736";"2/6/2022"
"SEE962527576201";"Speicher AO";"In Planung";"";"2/21/2022";"Speicher";"8";"8";"16348";"Wandlitz";"(natürliche Person)";"ABR964355123749";"2/21/2022"
"SEE971454363785";"Speicher";"In Planung";"";"3/25/2022";"Speicher";"3,75";"3,75";"16356";"Werneuchen";"(natürliche Person)";"ABR960733858883";"3/25/2022"
"SEE906106010670";"Batt001";"In Planung";"";"3/29/2022";"Speicher";"3,2";"3";"16348";"Wandlitz";"(natürliche Person)";"ABR999578444784";"3/29/2022"
"SEE990497642428";"WEA Seefeld";"In Planung";"";"4/4/2022";"Wind";"5600";"5600";"16356";"Ahrensfelde";"MLK Projektentwicklungs GmbH & Co. KG";"ABR935204142174";"4/4/2022"
"SEE984030198350";"Speicher";"In Planung";"";"4/4/2022";"Speicher";"13";"12";"16341";"Panketal";"(natürliche Person)";"ABR977094752040";"4/4/2022"
"SEE913685335780";"Speicher";"In Planung";"";"4/6/2022";"Speicher";"3,75";"3,75";"16248";"Oderberg";"(natürliche Person)";"ABR948720129628";"4/6/2022"
"SEE947398718394";"SchillSpei";"In Planung";"";"4/11/2022";"Speicher";"7,65";"7,65";"16341";"Panketal";"(natürliche Person)";"ABR933709871735";"4/11/2022"
"SEE984214928087";"KA20220308-110415";"In Planung";"";"4/18/2022";"Speicher";"2,66";"2,66";"16356";"Werneuchen";"(natürliche Person)";"ABR949095686921";"4/18/2022"
"SEE994826937223";"SolardachSei";"In Planung";"";"5/17/2022";"Speicher";"4,6";"4,6";"16341";"Panketal";"(natürliche Person)";"ABR900982185989";"5/17/2022"
"SEE929797382345";"Gasturbinenkraftwerk Ahrensfelde GT B";"In Betrieb";"12/10/1990";"11/6/2020";"Erdgas";"38240";"37104";"16356";"Ahrensfelde";"Lausitz Energie Kraftwerke AG";"ABR967895852209";"3/10/2021"
"SEE930596800480";"Gasturbinenkraftwerk Ahrensfelde GT A";"In Betrieb";"12/22/1990";"11/6/2020";"Erdgas";"38340";"37104";"16356";"Ahrensfelde";"Lausitz Energie Kraftwerke AG";"ABR967895852209";"3/3/2021"
"SEE988046628214";"Gasturbinenkraftwerk Ahrensfelde GT C";"In Betrieb";"3/26/1991";"11/6/2020";"Erdgas";"38340";"37104";"16356";"Ahrensfelde";"Lausitz Energie Kraftwerke AG";"ABR967895852209";"3/10/2021"
"SEE923527691592";"Gasturbinenkraftwerk Ahrensfelde GT D";"In Betrieb";"2/20/1992";"11/6/2020";"Erdgas";"38340";"37104";"16356";"Ahrensfelde";"Lausitz Energie Kraftwerke AG";"ABR967895852209";"3/10/2021"
"SEE985674148701";"Parstein I";"In Betrieb";"4/14/1994";"1/22/2020";"Wind";"500";"500";"16248";"Parsteinsee";"AEROGIE Ingenieurbüro für Windenergienutzung";"ABR922488433036";"1/22/2020"
"SEE962963785786";"Lunow";"In Betrieb";"12/8/1994";"11/12/2020";"Wind";"600";"600";"16248";"Lunow-Stolzenhagen";"(natürliche Person)";"ABR959173186205";"6/28/2021"
"SEE948062782239";"WKA Bischofswerder";"In Betrieb";"12/18/1996";"1/21/2020";"Wasser";"270";"270";"16559";"Liebenwalde";"Wasserkraftwerk Bischofswerder GmbH";"ABR943263654750";"8/27/2021"
"SEE908057029640";"Netzersatzanlage Haus 14 WFK";"In Betrieb";"3/14/1997";"1/15/2021";"Mineralölprodukte";"630";"630";"16225";"Eberswalde";"Klinikum Barnim GmbH Werner Forßmann Krankenhaus";"ABR981451596277";"3/9/2022"
"SEE920206021596";"Windkraft Trappenhof";"In Betrieb";"4/7/1998";"4/2/2020";"Wind";"600";"600";"16356";"Werneuchen";"Windkraft Trappenhof GbR";"ABR990528532780";"4/14/2022"
"SEE978256471779";"BHKW Schwanebeck BSR Motor 2";"In Betrieb";"3/23/1999";"3/28/2019";"Grubengas";"1878";"1878";"16341";"Panketal";"Berliner Stadtreinigungsbetriebe";"ABR924366240750";"9/14/2021"
"SEE929604687618";"BHKW Schwanebeck Motor 2";"Endgültig stillgelegt";"3/23/1999";"8/17/2021";"Biomasse";"626";"626";"16341";"Panketal";"Berliner Stadtreinigungsbetriebe";"ABR924366240750";"3/22/2022"
"SEE925169564227";"BHKW Schwanebeck Motor 3";"Endgültig stillgelegt";"3/23/1999";"8/17/2021";"Biomasse";"626";"626";"16341";"Panketal";"Berliner Stadtreinigungsbetriebe";"ABR924366240750";"3/22/2022"
"SEE929889716126";"BHKW Schwanebeck Motor 5";"In Betrieb";"3/23/1999";"8/17/2021";"Biomasse";"1261";"1261";"16341";"Panketal";"Berliner Stadtreinigungsbetriebe";"ABR924366240750";"3/22/2022"
"SEE954558813301";"BHKW Schwanebeck Motor 6";"In Betrieb";"3/23/1999";"8/17/2021";"Biomasse";"626";"626";"16341";"Panketal";"Berliner Stadtreinigungsbetriebe";"ABR924366240750";"8/17/2021"
"SEE956400974383";"WKAWILL";"In Betrieb";"7/1/1999";"1/29/2021";"Wind";"1000";"1000";"16356";"Werneuchen";"(natürliche Person)";"ABR979671509443";"9/14/2021"
"SEE977952985030";"Weesow E 40 Werneuchen WEA 2";"In Betrieb";"12/22/1999";"8/3/2020";"Wind";"500";"500";"16356";"Werneuchen";"(natürliche Person)";"ABR985718618139";"8/2/2021"
"SEE912168100778";"Weesow E 40 Werneuchen WEA I";"In Betrieb";"12/23/1999";"8/3/2020";"Wind";"500";"500";"16356";"Werneuchen";"(natürliche Person)";"ABR985718618139";"6/23/2021"
"SEE906404949856";"WEA 1 / 70002";"In Betrieb";"8/11/2000";"11/11/2020";"Wind";"1500";"1500";"16244";"Schorfheide";"Sibast Holding ApS";"ABR920855566523";"11/17/2020"
"SEE998485291061";"Krummensee I";"In Betrieb";"11/16/2000";"1/22/2020";"Wind";"750";"750";"16356";"Werneuchen";"AEROGIE Ingenieurbüro für Windenergienutzung";"ABR922488433036";"1/22/2020"
"SEE978823867394";"WEA Lichterfelde";"In Betrieb";"1/30/2001";"7/21/2020";"Wind";"1000";"1000";"16230";"Britz";"GFW Energy e.K. Inh. Jürgen Fuhrländer";"ABR984473933532";"10/9/2020"
"SEE986793826945";"NX-9913";"In Betrieb";"3/1/2001";"11/25/2020";"Wind";"1000";"1000";"16348";"Wandlitz";"Kloss & Porm Mühle Wandlitz GbR";"ABR988147823242";"5/12/2022"
"SEE975786696801";"WP Thaerfelde 1356";"In Betrieb";"12/5/2001";"9/28/2020";"Wind";"1300";"1300";"16356";"Werneuchen";"e.disnatur Erneuerbare Energien GmbH";"ABR905749214889";"10/13/2020"
"SEE929289227581";"WP Thaerfelde 1357";"In Betrieb";"12/5/2001";"9/28/2020";"Wind";"1300";"1300";"16356";"Werneuchen";"e.disnatur Erneuerbare Energien GmbH";"ABR905749214889";"10/15/2020"
"SEE981087144576";"WP Thaerfelde 1358";"In Betrieb";"12/5/2001";"9/28/2020";"Wind";"1300";"1300";"16356";"Werneuchen";"e.disnatur Erneuerbare Energien GmbH";"ABR905749214889";"10/15/2020"
"SEE904743011135";"WP Klosterfelde WEA 70706";"In Betrieb";"6/25/2002";"11/14/2019";"Wind";"1800";"1800";"16348";"Wandlitz";"Windpark Klosterfelde";"ABR935047856672";"11/14/2019"
"SEE906374419496";"WP Klosterfelde WEA 70708";"In Betrieb";"6/25/2002";"11/14/2019";"Wind";"1800";"1800";"16348";"Wandlitz";"Windpark Klosterfelde";"ABR935047856672";"11/14/2019"
"SEE988775473789";"WP Klosterfelde WEA 70709";"In Betrieb";"6/25/2002";"11/14/2019";"Wind";"1800";"1800";"16348";"Wandlitz";"Windpark Klosterfelde";"ABR935047856672";"11/14/2019"
"SEE987906980134";"WP Klosterfelde WEA 70707";"In Betrieb";"6/26/2002";"11/14/2019";"Wind";"1800";"1800";"16348";"Wandlitz";"Windpark Klosterfelde";"ABR935047856672";"3/8/2021"
"SEE955715510934";"Senertec Dachs";"In Betrieb";"10/1/2002";"9/21/2020";"Erdgas";"5,5";"5,5";"16341";"Panketal";"(natürliche Person)";"ABR958468533366";"5/5/2022"
"SEE904940869867";"WP Krummensee";"In Betrieb";"10/30/2002";"12/15/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR903565920090";"2/8/2021"
"SEE919965884085";"WP Krummensee";"In Betrieb";"10/30/2002";"12/15/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR903565920090";"1/5/2021"
"SEE996621335006";"WP Krummensee";"In Betrieb";"11/5/2002";"12/16/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR903565920090";"2/8/2021"
"SEE975702181398";"WP Krummensee";"In Betrieb";"11/6/2002";"12/15/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR903565920090";"2/8/2021"
"SEE984193325846";"WP Krummensee";"In Betrieb";"11/7/2002";"12/16/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR903565920090";"2/18/2021"
"SEE976535038392";"Spreewind Ladeburg";"In Betrieb";"12/12/2002";"2/19/2020";"Wind";"600";"600";"16321";"Bernau";"Spreewind Ladeburg";"ABR904396650699";"6/24/2021"
"SEE904324120720";"WEA SLD 70178";"In Betrieb";"12/18/2002";"6/9/2020";"Wind";"1500";"1500";"16348";"Wandlitz";"Infrastruktur Schönerlinde Kiepsch & Bosse GbR";"ABR965182642984";"11/10/2021"
"SEE909215753681";"WP Schönerlinde 70182";"In Betrieb";"12/18/2002";"8/26/2020";"Wind";"1500";"1500";"16348";"Wandlitz";"Infrastruktur Schönerlinde Kiepsch & Bosse GbR";"ABR948172883284";"8/10/2021"
"SEE923719245732";"Windkraftanlage Danewitz, WEA 1, 70211";"In Betrieb";"1/1/2003";"10/12/2020";"Wind";"1500";"1500";"16321";"Bernau";"Dr. Finzel & Essig Beteiligungs-GbR";"ABR912952976558";"11/6/2020"
"SEE957981596162";"14506";"In Betrieb";"2/1/2003";"8/18/2020";"Wind";"660";"660";"16348";"Wandlitz";"Windkraft Zehlendorf Aps & Co. KG";"ABR942375051921";"5/2/2022"
"SEE919600759082";"14507";"In Betrieb";"2/3/2003";"8/18/2020";"Wind";"660";"660";"16348";"Wandlitz";"Windkraft Zehlendorf Aps & Co. KG";"ABR942375051921";"5/2/2022"
"SEE966034947905";"14508";"In Betrieb";"2/3/2003";"8/18/2020";"Wind";"660";"660";"16348";"Wandlitz";"Windkraft Zehlendorf Aps & Co. KG";"ABR942375051921";"3/11/2022"
"SEE939119856461";"WEA 2 / 70258";"In Betrieb";"7/9/2003";"3/30/2020";"Wind";"1500";"1500";"16244";"Schorfheide";"KuP green GmbH & Co. KG";"ABR936661332733";"4/16/2021"
"SEE981292975446";"NEG Micon 900/ 52 Lichterfelde";"In Betrieb";"7/30/2003";"1/18/2021";"Wind";"900";"900";"16244";"Schorfheide";"Erste Fritz Ader Wind & Umwelt- technologie Beratung und Vertriebs GmbH ＆ Co. KG";"ABR951823274904";"4/30/2021"
"SEE934457272966";"BHKW";"In Betrieb";"9/12/2003";"10/29/2020";"Erdgas";"5,5";"5,5";"16341";"Panketal";"(natürliche Person)";"ABR982436014984";"10/10/2021"
"SEE999888230404";"Lucy";"In Betrieb";"10/1/2003";"11/17/2020";"Wind";"1500";"1500";"16244";"Schorfheide";"air power GmbH Becker +  Schnabel";"ABR954132902391";"7/14/2021"
"SEE969610521353";"Windpark Stolzenhagen WEA 701551";"In Betrieb";"11/1/2003";"11/15/2019";"Wind";"1800";"1800";"16348";"Wandlitz";"Windkraft Stolzenhagen";"ABR939559986674";"7/14/2021"
"SEE906914605433";"Windpark Stolzenhagen WEA 701552";"In Betrieb";"11/1/2003";"11/15/2019";"Wind";"1800";"1800";"16348";"Wandlitz";"Windkraft Stolzenhagen";"ABR939559986674";"6/16/2021"
"SEE920822303793";"BHKW 1 - Deponie Eberswalde Ostend";"In Betrieb";"11/18/2003";"11/9/2020";"Biomasse";"469";"469";"16225";"Eberswalde";"Landkreis Barnim";"ABR934058229543";"7/21/2021"
"SEE938841214822";"BHKW 2 - Deponie Eberswalde Ostend";"In Betrieb";"11/18/2003";"12/17/2020";"Biomasse";"469";"469";"16225";"Eberswalde";"Landkreis Barnim";"ABR934058229543";"7/21/2021"
"SEE949670488957";"WEA 15561345";"In Betrieb";"12/1/2003";"12/7/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/13/2021"
"SEE981568281318";"WEA 15561333";"In Betrieb";"12/1/2003";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/13/2021"
"SEE995329507104";"WEA 15561332";"In Betrieb";"12/1/2003";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/13/2021"
"SEE924823114945";"WEA 15561331";"In Betrieb";"12/1/2003";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/13/2021"
"SEE941504296356";"WEA 15561335";"In Betrieb";"12/1/2003";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/13/2021"
"SEE975914632633";"WEA 15561336";"In Betrieb";"12/1/2003";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/13/2021"
"SEE982323035160";"WEA 15561344";"In Betrieb";"12/1/2003";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/13/2021"
"SEE930207028500";"Lichterfelde 18388";"In Betrieb";"12/15/2003";"4/28/2020";"Wind";"2000";"2000";"16244";"Schorfheide";"Hanse Windkraft GmbH";"ABR939893126392";"5/4/2020"
"SEE931049450733";"WP Ladeburg WEA 02";"In Betrieb";"12/17/2003";"4/27/2020";"Wind";"1500";"1500";"16321";"Bernau";"BGB-Gesellschaft Ladeburg Abt Schäfer";"ABR978167663287";"10/1/2021"
"SEE977164973993";"WEA B (15561356)";"In Betrieb";"12/17/2003";"1/4/2021";"Wind";"1500";"1500";"16356";"Ahrensfelde";"MBBF Windpark Birkholz GmbH & Co. Betriebs KG";"ABR945392764232";"2/25/2022"
"SEE979810459639";"WKA Ladeburg I 1";"In Betrieb";"12/18/2003";"10/1/2020";"Wind";"1500";"1500";"16321";"Rüdnitz";"Theolia Naturenergie GmbH";"ABR981994325624";"8/30/2021"
"SEE911701399211";"V18397";"In Betrieb";"12/19/2003";"2/13/2019";"Wind";"2000";"2000";"16356";"Werneuchen";"Windkraft Willmersdorf GbR";"ABR918904005147";"8/16/2019"
"SEE945672950522";"V18398";"In Betrieb";"12/19/2003";"2/13/2019";"Wind";"2000";"2000";"16356";"Werneuchen";"Windkraft Willmersdorf GbR";"ABR918904005147";"8/16/2019"
"SEE908996876886";"V18438";"In Betrieb";"12/19/2003";"2/13/2019";"Wind";"2000";"2000";"16356";"Werneuchen";"Windkraft Willmersdorf GbR";"ABR918904005147";"8/16/2019"
"SEE981503413989";"WEA C (15561357)";"In Betrieb";"12/19/2003";"1/4/2021";"Wind";"1500";"1500";"16356";"Ahrensfelde";"MBBF Windpark Birkholz GmbH & Co. Betriebs KG";"ABR945392764232";"5/5/2022"
"SEE933970607255";"WEA D (15561358)";"In Betrieb";"12/22/2003";"1/4/2021";"Wind";"1500";"1500";"16356";"Ahrensfelde";"MBBF Windpark Birkholz GmbH & Co. Betriebs KG";"ABR945392764232";"5/27/2021"
"SEE984724835509";"WEA 15561338";"In Betrieb";"3/1/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/26/2021"
"SEE923101186544";"WEA 15561334";"In Betrieb";"3/2/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"6/14/2021"
"SEE941843511455";"WEA 15561337";"In Betrieb";"4/1/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"6/14/2021"
"SEE921886524339";"WEA 15561340";"In Betrieb";"4/27/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"6/15/2021"
"SEE926734850509";"WEA 15561339";"In Betrieb";"4/28/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"6/14/2021"
"SEE940438992952";"WEA 15561343";"In Betrieb";"10/28/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/3/2021"
"SEE969177434905";"WEA 15561342";"In Betrieb";"10/28/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/3/2021"
"SEE941706780264";"WEA 15561341";"In Betrieb";"11/2/2004";"12/8/2020";"Wind";"1500";"1500";"16248";"Parsteinsee";"HelveticWind Lüdersdorf Parstein GmbH";"ABR995855144040";"5/3/2021"
"SEE909776522146";"V20512";"In Betrieb";"12/1/2004";"2/14/2019";"Wind";"2000";"2000";"16230";"Sydower Fließ";"Windkraft Willmersdorf GbR";"ABR918904005147";"8/16/2019"
"SEE996675164775";"WP Krummsee-Süd";"In Betrieb";"12/1/2004";"12/17/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR973710109588";"6/11/2021"
"SEE966250324177";"WP Krummsee-Süd";"In Betrieb";"12/1/2004";"12/17/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR973710109588";"8/3/2021"
"SEE982657449121";"WP Krummsee-Süd";"In Betrieb";"12/1/2004";"12/17/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR973710109588";"8/3/2021"
"SEE946013226559";"BHKW 3 - Deponie Eberswalde Ostend";"In Betrieb";"12/9/2004";"12/17/2020";"Biomasse";"311";"311";"16225";"Eberswalde";"Landkreis Barnim";"ABR934058229543";"7/21/2021"
"SEE929330015327";"WP Krummsee-Süd";"In Betrieb";"12/19/2004";"12/17/2020";"Wind";"1500";"1500";"16356";"Ahrensfelde";"Windkraft Beteiligungsgesellschaft mbH & Co. Windpark Krummensee KG";"ABR973710109588";"8/3/2021"
"SEE927783640646";"Windkraftanlage Ladeburg WEA 2, 442388";"In Betrieb";"12/20/2004";"10/12/2020";"Wind";"600";"600";"16321";"Bernau";"BGB-Gesellschaft Dr. Finzel und Mitarbeiter";"ABR935044582239";"9/13/2021"
"SEE910108088902";"WEA Breydin 02";"In Betrieb";"12/21/2004";"12/7/2020";"Wind";"1500";"1500";"16230";"Breydin";"Windpark Heckelberg-Breydin GmbH & Co. KG";"ABR928507208616";"3/16/2021"
"SEE958486902298";"WEA Breydin 06";"In Betrieb";"12/23/2004";"12/9/2020";"Wind";"1500";"1500";"16230";"Breydin";"Windpark Heckelberg-Breydin GmbH & Co. KG";"ABR928507208616";"1/29/2021"
"SEE985456585069";"WEA Breydin 07";"In Betrieb";"12/23/2004";"12/9/2020";"Wind";"1500";"1500";"16230";"Breydin";"Windpark Heckelberg-Breydin GmbH & Co. KG";"ABR928507208616";"1/29/2021"
"SEE923156913072";"WEA Breydin 08";"In Betrieb";"12/27/2004";"12/9/2020";"Wind";"1500";"1500";"16230";"Breydin";"Windpark Heckelberg-Breydin GmbH & Co. KG";"ABR928507208616";"1/29/2021"
"SEE936060398453";"WEA Breydin 03";"In Betrieb";"12/28/2004";"12/9/2020";"Wind";"1500";"1500";"16230";"Breydin";"Windpark Heckelberg-Breydin GmbH & Co. KG";"ABR928507208616";"3/16/2021"
"SEE932808795942";"WEA Breydin 09";"In Betrieb";"12/29/2004";"12/9/2020";"Wind";"1500";"1500";"16230";"Breydin";"Windpark Heckelberg-Breydin GmbH & Co. KG";"ABR928507208616";"1/29/2021"
"SEE901604808248";"WEA Breydin 01";"In Betrieb";"12/30/2004";"12/7/2020";"Wind";"1500";"1500";"16230";"Breydin";"Windpark Heckelberg-Breydin GmbH & Co. KG";"ABR928507208616";"1/29/2021"
