"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE967546017322";"Speicher R.Thürling";"In Betrieb";"1/6/2022";"1/6/2022";"Speicher";"4,6";"4,6";"16244";"Schorfheide";"(natürliche Person)";"ABR952774650809";"1/6/2022"
"SEE924717117410";"Dachboden";"In Betrieb";"1/6/2022";"1/6/2022";"Speicher";"3,75";"3,75";"16230";"Sydower Fließ";"(natürliche Person)";"ABR931929353666";"1/6/2022"
"SEE905111077166";"Stromspeicher 1";"In Betrieb";"1/6/2022";"1/7/2022";"Speicher";"3,84";"3,84";"16348";"Wandlitz";"(natürliche Person)";"ABR995364863753";"3/15/2022"
"SEE940616727772";"Batterie";"In Betrieb";"1/6/2022";"1/12/2022";"Speicher";"1,6";"1,6";"16348";"Wandlitz";"(natürliche Person)";"ABR914990551315";"1/12/2022"
"SEE941438399888";"Stromspeicher";"In Betrieb";"1/7/2022";"1/11/2022";"Speicher";"3,7";"3,68";"16321";"Bernau";"(natürliche Person)";"ABR939205120780";"2/25/2022"
"SEE973975386137";"C000031596_SK_Speicher";"In Betrieb";"1/10/2022";"1/12/2022";"Speicher";"5";"5";"16341";"Panketal";"(natürliche Person)";"ABR993509593626";"2/24/2022"
"SEE926557573883";"PVA MG 02";"In Betrieb";"1/10/2022";"3/25/2022";"Speicher";"8";"8";"16227";"Eberswalde";"Eismanufaktur Marlen Gründel";"ABR907864926074";"3/25/2022"
"SEE944532340138";"Marco Teschner";"In Betrieb";"1/11/2022";"3/15/2022";"Speicher";"3,4";"3,4";"16341";"Panketal";"(natürliche Person)";"ABR961929304351";"5/5/2022"
"SEE921600394095";"Speicher";"In Betrieb";"1/12/2022";"1/12/2022";"Speicher";"4,5";"4,5";"16341";"Panketal";"(natürliche Person)";"ABR986519658492";"1/14/2022"
"SEE978161426567";"PVA GT 02";"In Betrieb";"1/12/2022";"1/12/2022";"Speicher";"5,1";"5,1";"16321";"Bernau";"(natürliche Person)";"ABR943215241939";"1/12/2022"
"SEE952880552141";"16348_Akku";"In Betrieb";"1/12/2022";"1/13/2022";"Speicher";"3,75";"3,75";"16348";"Wandlitz";"(natürliche Person)";"ABR915449221735";"3/18/2022"
"SEE972639674672";"FN-Biesenthal";"In Betrieb";"1/12/2022";"1/13/2022";"Speicher";"5";"5";"16359";"Biesenthal";"(natürliche Person)";"ABR913808339619";"5/17/2022"
"SEE906680613472";"C000000410_CS_Speicher";"In Betrieb";"1/12/2022";"1/18/2022";"Speicher";"5";"5";"16341";"Panketal";"(natürliche Person)";"ABR918449399442";"1/18/2022"
"SEE921489262188";"Batterie";"In Betrieb";"1/12/2022";"2/14/2022";"Speicher";"5";"5";"16341";"Panketal";"Grundstücksgemeinschaft Schieferdecker GbR";"ABR951674462888";"2/24/2022"
"SEE940550632354";"Speicher";"In Betrieb";"1/14/2022";"2/24/2022";"Speicher";"2,5";"2,5";"16356";"Werneuchen";"(natürliche Person)";"ABR981132648967";"2/24/2022"
"SEE955604388828";"Stromspeicher";"In Betrieb";"1/17/2022";"11/30/2021";"Speicher";"2,66";"2,66";"16227";"Eberswalde";"(natürliche Person)";"ABR916866243966";"3/10/2022"
