"Jahr","barlabel.gesamt"
"2002",152.23
"2003",152.86
"2004",142.21
"2005",140.5
"2006",140.33
"2007",134.83
"2008",134.76
"2009",134.46
"2010",124.98
"2011",140.03
"2012",133.01
"2013",128.47
"2014",126.99
"2015",125.51
"2016",120.4
"2017",122.48
"2018",123.52
"2019",124.52
"2020",125.42
