"Jahr","barlabel.gesamt"
"2002",145.56
"2003",142.85
"2004",141.79
"2005",139.46
"2006",136.2
"2007",133.83
"2008",134.3
"2009",129.37
"2010",123.18
"2011",135.34
"2012",128.12
"2013",125.71
"2014",130.97
"2015",122.45
"2016",124.81
"2017",124.41
"2018",128.6
"2019",127.88
"2020",144.32
