"Jahr","barlabel.gesamt"
"2002",136.75
"2003",140.35
"2004",137.1
"2005",131.87
"2006",131.82
"2007",133.44
"2008",133.23
"2009",123.8
"2010",114.18
"2011",126.02
"2012",121.79
"2013",117.01
"2014",123.27
"2015",122.79
"2016",119.16
"2017",121.96
"2018",124.8
"2019",124.69
"2020",124.52
