"Jahr","barlabel.gesamt"
"2002",152.01
"2003",139.6
"2004",135.89
"2005",134.72
"2006",135.09
"2007",136.7
"2008",135.88
"2009",126.27
"2010",119.29
"2011",129.63
"2012",121.1
"2013",121.71
"2014",122.75
"2015",125.13
"2016",122.5
"2017",122.89
"2018",126.02
"2019",130.94
"2020",125.07
