"Jahr","barlabel.gesamt"
"2002",171.08
"2003",172.84
"2004",167.16
"2005",166.8
"2006",160.5
"2007",154.84
"2008",147.19
"2009",146.12
"2010",134.56
"2011",149.35
"2012",144.41
"2013",137.16
"2014",144.55
"2015",141.68
"2016",133.57
"2017",132.67
"2018",138.91
"2019",138.14
"2020",141.22
