"Jahr","barlabel.gesamt"
"2002",149.45
"2003",142.22
"2004",142.87
"2005",138.66
"2006",134.6
"2007",135.45
"2008",129.77
"2009",128.68
"2010",117.88
"2011",129.67
"2012",123.18
"2013",117.01
"2014",127.35
"2015",123.57
"2016",120.85
"2017",118.41
"2018",126.25
"2019",121.6
"2020",126.83
