"Jahr","barlabel.gesamt"
"2002",150.84
"2003",147.75
"2004",144.36
"2005",141.83
"2006",138.5
"2007",137.12
"2008",133.07
"2009",130.25
"2010",120.29
"2011",131.91
"2012",126.31
"2013",120.58
"2014",128.4
"2015",124.33
"2016",122.86
"2017",121.85
"2018",126.64
"2019",124.51
"2020",128.34
