,year,2016.0,2017.0,2018.0,2019.0,2020.0
1,Fernwärme/Fernkälte,0.0,2.1961932650073206,5.865102639296188,0.3430531732418524,2.472952086553323
2,Gas,63.81818181818182,57.83308931185944,49.120234604105576,42.88164665523156,35.239567233384854
3,Geothermie,5.636363636363637,7.320644216691069,4.98533724340176,14.408233276157803,6.33693972179289
4,Strom,3.4545454545454546,4.24597364568082,3.6656891495601176,2.401372212692967,6.0278207109737245
5,Umweltthermie (Luft/Wasser),22.181818181818183,23.133235724743777,30.205278592375368,36.87821612349914,48.37712519319938
6,andere fossile Energien,0.9090909090909091,0.5856515373352855,0.43988269794721413,0.3430531732418524,0.0
7,andere erneuerbare Energie,4.0,4.685212298682284,5.718475073313783,2.7444253859348198,1.545595054095827
