AGS,Name,mobility_mid_percentage_wegkm_Fahrrad_2002,mobility_mid_percentage_wegkm_Fahrrad_2008,mobility_mid_percentage_wegkm_Fahrrad_2017,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2002,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2008,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2017,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2002,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2008,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2017,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2002,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2008,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2017,mobility_mid_percentage_wegkm_anderes_2002,mobility_mid_percentage_wegkm_anderes_2008,mobility_mid_percentage_wegkm_anderes_2017,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2002,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2008,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2017,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2002,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2008,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2017,mobility_mid_percentage_wegkm_nur_ÖV_2002,mobility_mid_percentage_wegkm_nur_ÖV_2008,mobility_mid_percentage_wegkm_nur_ÖV_2017,mobility_mid_percentage_wegkm_zu_Fuß_2002,mobility_mid_percentage_wegkm_zu_Fuß_2008,mobility_mid_percentage_wegkm_zu_Fuß_2017,mobility_mid_percentage_sum_2002,mobility_mid_percentage_wegkm_Fahrrad_2002,mobility_mid_percentage_wegkm_Fahrrad_2008,mobility_mid_percentage_wegkm_Fahrrad_2017,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2002,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2008,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2017,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2002,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2008,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2017,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2002,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2008,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2017,mobility_mid_percentage_wegkm_anderes_2002,mobility_mid_percentage_wegkm_anderes_2008,mobility_mid_percentage_wegkm_anderes_2017,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2002,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2008,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2017,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2002,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2008,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2017,mobility_mid_percentage_wegkm_nur_ÖV_2002,mobility_mid_percentage_wegkm_nur_ÖV_2008,mobility_mid_percentage_wegkm_nur_ÖV_2017,mobility_mid_percentage_wegkm_zu_Fuß_2002,mobility_mid_percentage_wegkm_zu_Fuß_2008,mobility_mid_percentage_wegkm_zu_Fuß_2017,mobility_mid_percentage_sum_2002,mobility_mid_percentage_sum_2008,mobility_mid_percentage_wegkm_Fahrrad_2002,mobility_mid_percentage_wegkm_Fahrrad_2008,mobility_mid_percentage_wegkm_Fahrrad_2017,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2002,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2008,mobility_mid_percentage_wegkm_Fahrrad_und_ÖV_2017,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2002,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2008,mobility_mid_percentage_wegkm_MIV_(Fahrer)_und_ÖV_2017,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2002,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2008,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_und_ÖV_2017,mobility_mid_percentage_wegkm_anderes_2002,mobility_mid_percentage_wegkm_anderes_2008,mobility_mid_percentage_wegkm_anderes_2017,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2002,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2008,mobility_mid_percentage_wegkm_nur_MIV_(Fahrer)_2017,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2002,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2008,mobility_mid_percentage_wegkm_nur_MIV_(Mitfahrer)_2017,mobility_mid_percentage_wegkm_nur_ÖV_2002,mobility_mid_percentage_wegkm_nur_ÖV_2008,mobility_mid_percentage_wegkm_nur_ÖV_2017,mobility_mid_percentage_wegkm_zu_Fuß_2002,mobility_mid_percentage_wegkm_zu_Fuß_2008,mobility_mid_percentage_wegkm_zu_Fuß_2017,mobility_mid_percentage_sum_2002,mobility_mid_percentage_sum_2008,mobility_mid_percentage_sum_2017,mobility_mid_wegkm_Fahrrad_2002,mobility_mid_wegkm_Fahrrad_2008,mobility_mid_wegkm_Fahrrad_2017,mobility_mid_wegkm_Fahrrad_und_ÖV_2002,mobility_mid_wegkm_Fahrrad_und_ÖV_2008,mobility_mid_wegkm_Fahrrad_und_ÖV_2017,mobility_mid_wegkm_MIV_(Fahrer)_und_ÖV_2002,mobility_mid_wegkm_MIV_(Fahrer)_und_ÖV_2008,mobility_mid_wegkm_MIV_(Fahrer)_und_ÖV_2017,mobility_mid_wegkm_MIV_(Mitfahrer)_und_ÖV_2002,mobility_mid_wegkm_MIV_(Mitfahrer)_und_ÖV_2008,mobility_mid_wegkm_MIV_(Mitfahrer)_und_ÖV_2017,mobility_mid_wegkm_anderes_2002,mobility_mid_wegkm_anderes_2008,mobility_mid_wegkm_anderes_2017,mobility_mid_wegkm_nur_MIV_(Fahrer)_2002,mobility_mid_wegkm_nur_MIV_(Fahrer)_2008,mobility_mid_wegkm_nur_MIV_(Fahrer)_2017,mobility_mid_wegkm_nur_MIV_(Mitfahrer)_2002,mobility_mid_wegkm_nur_MIV_(Mitfahrer)_2008,mobility_mid_wegkm_nur_MIV_(Mitfahrer)_2017,mobility_mid_wegkm_nur_ÖV_2002,mobility_mid_wegkm_nur_ÖV_2008,mobility_mid_wegkm_nur_ÖV_2017,mobility_mid_wegkm_zu_Fuß_2002,mobility_mid_wegkm_zu_Fuß_2008,mobility_mid_wegkm_zu_Fuß_2017,mobility_mid_sum_2002,mobility_mid_sum_2008,mobility_mid_sum_2017
0,Deutschland,0.33515795417869676,0.40581078517032876,2.684063786912987,0.05900740100983452,0.11135714543020056,0.8187021667791833,0.14808728370090452,0.26896786780125387,1.2260880382839319,0.12863205064427594,0.27972366568675877,1.197080198291702,0.03747392903973549,0.041134546353988694,0.21793798739260062,6.634402189836697,7.570528501260141,42.43797404811918,3.0614719735992195,3.4371081881592302,15.049877004716656,1.07741009720762,1.3438111576490785,8.751857836207646,0.330884803289947,0.4209272387409401,1.9245221545372622,100.0,0.16757897708934838,0.20290539258516438,1.3420318934564934,0.02950370050491726,0.05567857271510028,0.40935108338959164,0.07404364185045226,0.13448393390062693,0.6130440191419659,0.06431602532213797,0.13986183284337939,0.598540099145851,0.018736964519867744,0.020567273176994347,0.10896899369630031,3.3172010949183486,3.7852642506300707,21.21898702405959,1.5307359867996098,1.7185540940796151,7.524938502358328,0.53870504860381,0.6719055788245393,4.375928918103823,0.1654424016449735,0.21046361937047006,0.9622610772686311,50.0,100.0,0.08378948854467419,0.10145269629258219,0.6710159467282467,0.01475185025245863,0.02783928635755014,0.20467554169479582,0.03702182092522613,0.06724196695031347,0.30652200957098297,0.032158012661068984,0.06993091642168969,0.2992700495729255,0.009368482259933872,0.010283636588497173,0.054484496848150155,1.6586005474591743,1.8926321253150353,10.609493512029795,0.7653679933998049,0.8592770470398076,3.762469251179164,0.269352524301905,0.33595278941226964,2.1879644590519116,0.08272120082248675,0.10523180968523503,0.48113053863431554,25.0,50.0,100.0,45962.0,55651.0,368080.0,8092.0,15271.0,112273.0,20308.0,36885.0,168140.0,17640.0,38360.0,164162.0,5139.0,5641.0,29887.0,909811.0,1038187.0,5819746.0,419836.0,471349.0,2063870.0,147751.0,184284.0,1200189.0,45376.0,57724.0,263920.0,13713534.0,27427068.0,54854136.0
1,Schleswig-Holstein,0.35004431622045434,0.587234775494386,2.3683162348077897,0.006100208483595822,0.16075843533240752,0.9564768066485096,0.04521330993723962,0.35022373411703067,1.268843364587931,0.11177734956706462,0.5308975559694128,1.0499535307647867,0.09383555990942985,0.05633721952497318,0.1334869150528027,7.8104198737615675,8.792194603827342,39.36374825516096,4.145450500396514,4.055920970004916,13.404849306908664,1.3434812095636917,1.5022660480337593,8.843687540144755,0.3624241510842223,0.47922520175542466,1.8268330229403722,100.0,0.17502215811022717,0.293617387747193,1.1841581174038949,0.003050104241797911,0.08037921766620376,0.4782384033242548,0.02260665496861981,0.17511186705851534,0.6344216822939654,0.05588867478353231,0.2654487779847064,0.5249767653823934,0.046917779954714925,0.02816860976248659,0.06674345752640135,3.9052099368807838,4.396097301913671,19.68187412758048,2.072725250198257,2.027960485002458,6.702424653454332,0.6717406047818458,0.7511330240168796,4.421843770072377,0.18121207554211116,0.23961260087771233,0.9134165114701861,50.0,100.0,0.08751107905511359,0.1468086938735965,0.5920790587019474,0.0015250521208989554,0.04018960883310188,0.2391192016621274,0.011303327484309905,0.08755593352925767,0.3172108411469827,0.027944337391766154,0.1327243889923532,0.2624883826911967,0.023458889977357462,0.014084304881243294,0.03337172876320067,1.9526049684403919,2.1980486509568355,9.84093706379024,1.0363626250991285,1.013980242501229,3.351212326727166,0.3358703023909229,0.3755665120084398,2.2109218850361887,0.09060603777105558,0.11980630043885616,0.45670825573509305,25.0,50.0,100.0,1951.0,3273.0,13200.0,34.0,896.0,5331.0,252.0,1952.0,7072.0,623.0,2959.0,5852.0,523.0,314.0,744.0,43532.0,49004.0,219397.0,23105.0,22606.0,74713.0,7488.0,8373.0,49291.0,2020.0,2671.0,10182.0,557358.0,1114716.0,2229432.0
2,Hamburg,0.24872614215389932,0.3368166508334053,4.290525952154764,0.09119958545642974,0.11434493479575093,1.8303825891700494,0.1585629156231108,0.03419984454616115,1.0767769237412557,0.4958977459193367,0.2566715605838156,1.807237239830728,0.020554452025218065,0.02072717851282494,0.18049917954918387,3.717246739787546,3.1000949995681837,36.140772087399604,1.7143103894982297,1.5721564901977718,16.41108904050436,1.3508938595733655,1.0866223335348475,20.770187408239053,0.2616806287244149,0.3285257794282753,2.5832973486484154,100.0,0.12436307107694966,0.16840832541670264,2.145262976077382,0.04559979272821487,0.057172467397875466,0.9151912945850247,0.0792814578115554,0.017099922273080576,0.5383884618706278,0.24794887295966836,0.1283357802919078,0.903618619915364,0.010277226012609032,0.01036358925641247,0.09024958977459194,1.858623369893773,1.5500474997840918,18.070386043699802,0.8571551947491148,0.7860782450988859,8.20554452025218,0.6754469297866827,0.5433111667674237,10.385093704119527,0.13084031436220744,0.16426288971413766,1.2916486743242077,50.0,100.0,0.06218153553847483,0.08420416270835132,1.072631488038691,0.022799896364107435,0.028586233698937733,0.45759564729251234,0.0396407289057777,0.008549961136540288,0.2691942309353139,0.12397443647983418,0.0641678901459539,0.451809309957682,0.005138613006304516,0.005181794628206235,0.04512479488729597,0.9293116849468865,0.7750237498920459,9.035193021849901,0.4285775973745574,0.39303912254944295,4.10277226012609,0.3377234648933414,0.2716555833837119,5.192546852059763,0.06542015718110372,0.08213144485706883,0.6458243371621039,25.0,50.0,100.0,1440.0,1950.0,24840.0,528.0,662.0,10597.0,918.0,198.0,6234.0,2871.0,1486.0,10463.0,119.0,120.0,1045.0,21521.0,17948.0,209237.0,9925.0,9102.0,95012.0,7821.0,6291.0,120249.0,1515.0,1902.0,14956.0,578950.0,1157900.0,2315800.0
3,Niedersachsen,0.6264974655502288,0.6771940502852442,2.709914597504787,0.1162682152904846,0.2412641360368476,1.0383692699767693,0.154821905478191,0.3409117644157029,1.3257764052933911,0.16590229675261053,0.4501978153414848,1.122382921625964,0.030584915641034785,0.08932616801364254,0.1839648523917328,8.247150404168655,10.06638368662832,39.155370612525545,3.8263778580389376,4.531045207237469,13.366898317677853,1.1791509536346338,1.2087492590937,6.8876774665064815,0.33817961314255834,0.4363852727939207,1.4832545689538061,100.0,0.3132487327751144,0.3385970251426221,1.3549572987523935,0.0581341076452423,0.1206320680184238,0.5191846349883846,0.0774109527390955,0.17045588220785146,0.6628882026466956,0.08295114837630527,0.2250989076707424,0.561191460812982,0.015292457820517392,0.04466308400682127,0.0919824261958664,4.123575202084328,5.03319184331416,19.577685306262772,1.9131889290194688,2.2655226036187344,6.683449158838926,0.5895754768173169,0.60437462954685,3.4438387332532407,0.16908980657127917,0.21819263639696035,0.7416272844769031,50.0,100.0,0.1566243663875572,0.16929851257131104,0.6774786493761967,0.02906705382262115,0.0603160340092119,0.2595923174941923,0.03870547636954775,0.08522794110392573,0.3314441013233478,0.041475574188152634,0.1125494538353712,0.280595730406491,0.007646228910258696,0.022331542003410636,0.0459912130979332,2.061787601042164,2.51659592165708,9.788842653131386,0.9565944645097344,1.1327613018093672,3.341724579419463,0.29478773840865846,0.302187314773425,1.7219193666266204,0.08454490328563959,0.10909631819848017,0.37081364223845154,25.0,50.0,100.0,8255.0,8923.0,35707.0,1532.0,3179.0,13682.0,2040.0,4492.0,17469.0,2186.0,5932.0,14789.0,403.0,1177.0,2424.0,108668.0,132639.0,515928.0,50418.0,59703.0,176128.0,15537.0,15927.0,90755.0,4456.0,5750.0,19544.0,1317643.0,2635286.0,5270572.0
4,Bremen,0.9960132860899605,1.4257269433567332,4.103344138998399,0.057206462112914025,0.3388041632113668,0.4638601501558765,0.051884930753573186,0.8572100098004869,0.9197380032727418,0.014190750291575573,0.6319318489217247,1.3024448001986706,0.050111086967126246,0.06474529820531355,0.29844921706969874,8.401811094505963,10.811134417447528,29.28172630477297,3.7862695621710074,5.640379779954678,11.286968013161921,2.290032328303008,4.521084350706655,9.169885454037491,0.5955680512995623,0.7663005157450808,1.8731790384879754,100.0,0.49800664304498027,0.7128634716783666,2.0516720694991997,0.028603231056457012,0.1694020816056834,0.23193007507793825,0.025942465376786593,0.42860500490024345,0.4598690016363709,0.0070953751457877865,0.31596592446086236,0.6512224000993353,0.025055543483563123,0.032372649102656775,0.14922460853484937,4.200905547252981,5.405567208723764,14.640863152386485,1.8931347810855037,2.820189889977339,5.643484006580961,1.145016164151504,2.2605421753533275,4.5849427270187455,0.2977840256497811,0.3831502578725404,0.9365895192439877,50.0,100.0,0.24900332152249013,0.3564317358391833,1.0258360347495998,0.014301615528228506,0.0847010408028417,0.11596503753896913,0.012971232688393296,0.21430250245012172,0.22993450081818545,0.0035476875728938932,0.15798296223043118,0.32561120004966765,0.012527771741781562,0.016186324551328388,0.07461230426742468,2.1004527736264906,2.702783604361882,7.320431576193243,0.9465673905427519,1.4100949449886695,2.8217420032904803,0.572508082075752,1.1302710876766637,2.2924713635093728,0.14889201282489056,0.1915751289362702,0.46829475962199385,25.0,50.0,100.0,2246.0,3215.0,9253.0,129.0,764.0,1046.0,117.0,1933.0,2074.0,32.0,1425.0,2937.0,113.0,146.0,673.0,18946.0,24379.0,66030.0,8538.0,12719.0,25452.0,5164.0,10195.0,20678.0,1343.0,1728.0,4224.0,225499.0,450998.0,901996.0
5,Nordrhein-Westfalen,0.39217924537276055,0.4543139284599333,2.731072270808633,0.06031863807001113,0.12223712532180751,0.7449243703728686,0.1822530892222917,0.31015454543096044,1.1908931395872735,0.1494345614121566,0.28667567770908514,0.9611202057492526,0.031002482792973463,0.05711893970644065,0.19972171272070352,7.060610070056099,8.612507015554858,41.968973303273465,3.318562833860419,3.6607576020941592,14.672043889484149,0.870274715724096,1.4986695308290938,7.614374082789169,0.3703002268326705,0.4993691405523717,1.9801376562123008,100.0,0.19608962268638028,0.22715696422996665,1.3655361354043165,0.030159319035005565,0.06111856266090376,0.3724621851864343,0.09112654461114585,0.15507727271548022,0.5954465697936367,0.0747172807060783,0.14333783885454257,0.4805601028746263,0.015501241396486731,0.028559469853220325,0.09986085636035176,3.5303050350280496,4.306253507777429,20.984486651636733,1.6592814169302095,1.8303788010470796,7.3360219447420745,0.435137357862048,0.7493347654145469,3.8071870413945845,0.18515011341633525,0.24968457027618585,0.9900688281061504,50.0,100.0,0.09804481134319014,0.11357848211498332,0.6827680677021583,0.015079659517502782,0.03055928133045188,0.18623109259321716,0.04556327230557292,0.07753863635774011,0.2977232848968184,0.03735864035303915,0.07166891942727129,0.24028005143731315,0.007750620698243366,0.014279734926610162,0.04993042818017588,1.7651525175140248,2.1531267538887144,10.492243325818366,0.8296407084651047,0.9151894005235398,3.6680109723710372,0.217568678931024,0.37466738270727346,1.9035935206972923,0.09257505670816762,0.12484228513809292,0.4950344140530752,25.0,50.0,100.0,9070.0,10507.0,63162.0,1395.0,2827.0,17228.0,4215.0,7173.0,27542.0,3456.0,6630.0,22228.0,717.0,1321.0,4619.0,163292.0,199183.0,970624.0,76749.0,84663.0,339323.0,20127.0,34660.0,176099.0,8564.0,11549.0,45795.0,2312718.0,4625436.0,9250872.0
6,Hessen,0.2047420399092231,0.26806922899742464,2.2410920845179905,0.01987902364234899,0.0536257494064564,0.5514345929531838,0.23122756542073597,0.2917574068706429,1.63960282424979,0.07237393038651607,0.2529516481436623,1.2757690771669177,0.014998544784047737,0.022140708966927613,0.16498399262452512,5.510001112987252,6.2886160449908735,46.22361044731969,2.060692920865416,2.658789653146748,15.924942996602114,1.0325188687050006,1.202204786083255,8.939073173257594,0.26545043546370206,0.36097688140972034,2.2284742611282358,100.0,0.10237101995461155,0.13403461449871232,1.1205460422589952,0.009939511821174495,0.0268128747032282,0.2757172964765919,0.11561378271036798,0.14587870343532144,0.819801412124895,0.036186965193258036,0.12647582407183114,0.6378845385834588,0.007499272392023869,0.011070354483463806,0.08249199631226256,2.755000556493626,3.1443080224954367,23.111805223659847,1.030346460432708,1.329394826573374,7.962471498301057,0.5162594343525003,0.6011023930416275,4.469536586628797,0.13272521773185103,0.18048844070486017,1.1142371305641179,50.0,100.0,0.051185509977305775,0.06701730724935616,0.5602730211294976,0.004969755910587247,0.0134064373516141,0.13785864823829594,0.05780689135518399,0.07293935171766072,0.4099007060624475,0.018093482596629018,0.06323791203591557,0.3189422692917294,0.0037496361960119343,0.005535177241731903,0.04124599815613128,1.377500278246813,1.5721540112477184,11.555902611829923,0.515173230216354,0.664697413286687,3.9812357491505286,0.25812971717625016,0.30055119652081375,2.2347682933143984,0.06636260886592552,0.09024422035243009,0.5571185652820589,25.0,50.0,100.0,3440.0,4504.0,37654.0,334.0,901.0,9265.0,3885.0,4902.0,27548.0,1216.0,4250.0,21435.0,252.0,372.0,2772.0,92577.0,105659.0,776632.0,34623.0,44672.0,267565.0,17348.0,20199.0,150191.0,4460.0,6065.0,37442.0,1680163.0,3360326.0,6720652.0
7,Rheinland-Pfalz,0.2872404922250078,0.39505808713890117,1.559258713070835,0.03719543168002097,0.01556637008635239,0.3652361991839945,0.25414147372560586,0.37146274721853545,0.9172688394042178,0.081928263612381,0.10159104687935244,0.7283422635140671,0.08684395942912386,0.041455701387864786,0.1125694342034115,10.218584607317831,11.363941732618919,38.985072670369824,4.332038866768258,4.845237510036212,12.59515967818578,1.3292041488472695,1.726720083894542,6.504284848186928,0.4556850022120631,0.5808713890117813,1.7080404397909192,100.0,0.1436202461125039,0.19752904356945059,0.7796293565354175,0.018597715840010486,0.007783185043176195,0.18261809959199726,0.12707073686280293,0.18573137360926772,0.4586344197021089,0.0409641318061905,0.05079552343967622,0.36417113175703353,0.04342197971456193,0.020727850693932393,0.05628471710170575,5.109292303658916,5.6819708663094595,19.492536335184912,2.166019433384129,2.422618755018106,6.29757983909289,0.6646020744236347,0.863360041947271,3.252142424093464,0.22784250110603155,0.29043569450589063,0.8540202198954596,50.0,100.0,0.07181012305625195,0.09876452178472529,0.38981467826770877,0.009298857920005243,0.0038915925215880975,0.09130904979599863,0.06353536843140146,0.09286568680463386,0.22931720985105444,0.02048206590309525,0.02539776171983811,0.18208556587851676,0.021710989857280965,0.010363925346966197,0.028142358550852876,2.554646151829458,2.8409854331547297,9.746268167592456,1.0830097166920645,1.211309377509053,3.148789919546445,0.33230103721181736,0.4316800209736355,1.626071212046732,0.11392125055301577,0.14521784725294531,0.4270101099477298,25.0,50.0,100.0,1753.0,2411.0,9516.0,227.0,95.0,2229.0,1551.0,2267.0,5598.0,500.0,620.0,4445.0,530.0,253.0,687.0,62363.0,69353.0,237922.0,26438.0,29570.0,76867.0,8112.0,10538.0,39695.0,2781.0,3545.0,10424.0,610290.0,1220580.0,2441160.0
8,Baden-Württemberg,0.3084678221145838,0.35515297456466094,2.752637278843499,0.03752102993209904,0.09100722928231088,0.7933017757072369,0.2545781708296182,0.3586111340054074,1.319518370607489,0.09008505343144516,0.2300252388003184,1.2352545522346337,0.03642594610919599,0.031181070957397205,0.21163935777368303,6.031030064661818,7.456829202081582,41.19497852194807,2.541286101023212,3.6342373922711286,15.736527443088782,1.1565237889669728,1.6579569078752088,9.71154915744827,0.3244329915326966,0.411463337458149,2.037778086450528,100.0,0.1542339110572919,0.17757648728233047,1.3763186394217495,0.01876051496604952,0.04550361464115544,0.39665088785361846,0.1272890854148091,0.1793055670027037,0.6597591853037446,0.04504252671572258,0.1150126194001592,0.6176272761173168,0.018212973054597997,0.015590535478698602,0.10581967888684152,3.015515032330909,3.728414601040791,20.597489260974037,1.270643050511606,1.8171186961355643,7.868263721544391,0.5782618944834864,0.8289784539376044,4.855774578724135,0.1622164957663483,0.2057316687290745,1.018889043225264,50.0,100.0,0.07711695552864595,0.08878824364116523,0.6881593197108747,0.00938025748302476,0.02275180732057772,0.19832544392680923,0.06364454270740455,0.08965278350135185,0.3298795926518723,0.02252126335786129,0.0575063097000796,0.3088136380586584,0.009106486527298998,0.007795267739349301,0.05290983944342076,1.5077575161654544,1.8642073005203954,10.298744630487018,0.635321525255803,0.9085593480677822,3.9341318607721956,0.2891309472417432,0.4144892269688022,2.4278872893620673,0.08110824788317415,0.10286583436453725,0.509444521612632,25.0,50.0,100.0,5352.0,6162.0,47759.0,651.0,1579.0,13764.0,4417.0,6222.0,22894.0,1563.0,3991.0,21432.0,632.0,541.0,3672.0,104640.0,129378.0,714744.0,44092.0,63055.0,273033.0,20066.0,28766.0,168498.0,5629.0,7139.0,35356.0,1735027.0,3470054.0,6940108.0
9,Bayern,0.1299676388827355,0.16658952661143375,3.3739269127041656,0.04128799697598415,0.04701458559765318,1.0270389247776057,0.08040790278656273,0.07986587999521134,1.4983866573784386,0.08599309415831402,0.13991257879361751,1.5211751808235163,0.027030440942610628,0.01720333207332673,0.2842791709596443,2.707026783467079,2.9839768636393202,51.05468208713653,1.2224027917473024,1.416187722759584,18.416803272120895,0.3583241974999081,0.46170915339810586,10.421048017563423,0.1335732687556382,0.14189214029246608,2.1622938781589323,100.0,0.06498381944136775,0.08329476330571688,1.6869634563520828,0.020643998487992074,0.02350729279882659,0.5135194623888029,0.04020395139328137,0.03993293999760567,0.7491933286892193,0.04299654707915701,0.06995628939680876,0.7605875904117582,0.013515220471305314,0.008601666036663364,0.14213958547982214,1.3535133917335396,1.4919884318196601,25.527341043568264,0.6112013958736512,0.708093861379792,9.208401636060447,0.17916209874995406,0.23085457669905293,5.210524008781712,0.0667866343778191,0.07094607014623304,1.0811469390794661,50.0,100.0,0.03249190972068387,0.04164738165285844,0.8434817281760414,0.010321999243996037,0.011753646399413295,0.25675973119440143,0.020101975696640684,0.019966469998802836,0.37459666434460964,0.021498273539578505,0.03497814469840438,0.3802937952058791,0.006757610235652657,0.004300833018331682,0.07106979273991107,0.6767566958667698,0.7459942159098301,12.763670521784132,0.3056006979368256,0.354046930689896,4.604200818030224,0.08958104937497703,0.11542728834952647,2.605262004390856,0.03339331718890955,0.03547303507311652,0.5405734695397331,25.0,50.0,100.0,5515.0,7069.0,143168.0,1752.0,1995.0,43581.0,3412.0,3389.0,63582.0,3649.0,5937.0,64549.0,1147.0,730.0,12063.0,114869.0,126621.0,2166436.0,51871.0,60094.0,781492.0,15205.0,19592.0,442203.0,5668.0,6021.0,91754.0,4243364.0,8486728.0,16973456.0
