"Jahr","barlabel.gesamt"
"2002",146.97
"2003",148.05
"2004",141.18
"2005",141.17
"2006",138.48
"2007",136.65
"2008",132.24
"2009",130.44
"2010",119.12
"2011",132.43
"2012",124.9
"2013",117.64
"2014",128.87
"2015",122.35
"2016",121.66
"2017",121.75
"2018",126.72
"2019",123.13
"2020",129.72
