"Jahr","barlabel.gesamt"
"2002",154.04
"2003",150.37
"2004",148.17
"2005",146.22
"2006",143.02
"2007",141.59
"2008",136.65
"2009",133.59
"2010",121.92
"2011",133.7
"2012",128.33
"2013",123.13
"2014",129.51
"2015",128.05
"2016",126.16
"2017",122.36
"2018",127.95
"2019",124.72
"2020",128.03
