"Jahr","barlabel.gesamt"
"2002",145.76
"2003",142.64
"2004",139.65
"2005",134.47
"2006",129.84
"2007",130.52
"2008",126.67
"2009",124.48
"2010",114.63
"2011",125.3
"2012",120.67
"2013",115
"2014",122.46
"2015",120.84
"2016",117.92
"2017",115.94
"2018",124.46
"2019",119.96
"2020",122.61
