"Jahr","barlabel.gesamt"
"2002",142.97
"2003",143.14
"2004",143.53
"2005",140.52
"2006",139.07
"2007",140.56
"2008",136.04
"2009",131.26
"2010",123.09
"2011",134.09
"2012",130.65
"2013",125.44
"2014",134.36
"2015",128.91
"2016",125.76
"2017",123.39
"2018",126.91
"2019",128.01
"2020",131.93
