"Jahr","barlabel.gesamt"
"2002",165.51
"2003",156.88
"2004",149.41
"2005",147.44
"2006",145.95
"2007",141.06
"2008",136.96
"2009",132.27
"2010",124.63
"2011",135.78
"2012",129.1
"2013",125.67
"2014",132.16
"2015",127.02
"2016",126.54
"2017",125.3
"2018",127.29
"2019",126
"2020",129.76
