"Jahr","barlabel.gesamt"
"2002",158.81
"2003",156.72
"2004",149.17
"2005",149.64
"2006",148.6
"2007",146.2
"2008",139.44
"2009",138.14
"2010",127.84
"2011",141.44
"2012",133.3
"2013",124.19
"2014",139.91
"2015",128.96
"2016",126.58
"2017",129
"2018",137.71
"2019",135.62
"2020",142.87
