"Jahr","barlabel.gesamt"
"2002",141.72
"2003",138.53
"2004",136.6
"2005",135.55
"2006",132.34
"2007",129.59
"2008",130.9
"2009",125.6
"2010",115.61
"2011",128.5
"2012",122.55
"2013",119
"2014",126.1
"2015",122.48
"2016",122.91
"2017",119.8
"2018",125.93
"2019",123.83
"2020",122.1
