"Jahr","barlabel.gesamt"
"2002",154.65
"2003",154.18
"2004",148.5
"2005",148.56
"2006",143.87
"2007",141.19
"2008",135.65
"2009",133.63
"2010",124.28
"2011",135.54
"2012",130.28
"2013",121.87
"2014",130.11
"2015",123.72
"2016",123.79
"2017",124.33
"2018",126.78
"2019",125.72
"2020",130.29
