"Jahr","barlabel.gesamt"
"2002",154.03
"2003",158.62
"2004",143.47
"2005",142.46
"2006",147.58
"2007",142.61
"2008",136.08
"2009",129.94
"2010",123.98
"2011",130.84
"2012",125.87
"2013",125.52
"2014",138.66
"2015",126.98
"2016",125.4
"2017",127.31
"2018",127.9
"2019",125.78
"2020",124.85
