agency_id,agency_name,route_id,route_short_name,trip_id
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1748658836
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1748658837
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1748658838
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1748658839
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1748658840
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1748658841
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1748658842
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1756890563
8601,Verkehrsmanagement Elbe-Elster GmbH,20483_3,521,1756890567
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658853
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658854
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658856
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658857
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658858
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658861
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658862
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658863
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658864
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658865
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658866
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658867
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658868
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658870
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658871
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658872
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658873
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658874
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658875
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658876
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658877
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658878
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658879
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658880
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1748658881
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1756890592
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1756890596
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1756890597
8601,Verkehrsmanagement Elbe-Elster GmbH,20484_3,522,1756890606
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658889
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658890
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658891
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658892
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658893
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658895
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658896
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658897
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1748658898
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1756890631
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1756890636
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1756890637
8601,Verkehrsmanagement Elbe-Elster GmbH,20486_3,524,1756890638
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658902
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658903
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658905
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658906
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658907
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658908
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658910
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658911
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658912
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658913
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658914
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658915
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658916
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658917
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658918
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658919
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658920
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658922
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658923
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658924
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658925
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1748658926
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1756890641
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1756890646
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1756890658
8601,Verkehrsmanagement Elbe-Elster GmbH,20487_3,525,1756890664
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659431
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659432
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659433
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659434
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659435
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659436
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659437
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659438
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659439
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659440
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659441
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659442
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659443
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659447
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659448
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659449
8601,Verkehrsmanagement Elbe-Elster GmbH,20491_3,534,1748659450
