AGS,Name,newbuilding_renewables_2016,newbuilding_renewables_2017,newbuilding_renewables_2018,newbuilding_renewables_2019
5962,Märkischer Kreis,56.38,61.02,53.08,63.53
5966,Olpe,59.85,57.04,60.74,66.43
5970,Siegen-Wittgenstein,55.13,62.21,65.68,69.43
5974,Soest,37.72,43.61,51.08,49.78
5978,Unna,29.36,44.17,51.68,52.69
6411,"Darmstadt, Stadt",42.03,49.33,62.67,40.26
6412,"Frankfurt am Main, Stadt",21.93,14.9,26.69,20.73
6413,"Offenbach am Main, Stadt",10.78,9.68,11.54,7.5
6414,"Wiesbaden, Stadt",26.09,21.95,22.5,28.57
6431,Bergstraße,56.12,45.82,59.59,58.03
6432,Darmstadt-Dieburg,51.85,49.29,66.52,64.86
6433,Groß-Gerau,38.13,49.63,47.64,54.85
6434,Hochtaunuskreis,45.68,46.34,60.08,64.74
6435,Main-Kinzig-Kreis,47.95,61.12,11.88,64.32
6436,Main-Taunus-Kreis,49.67,42.28,51.34,56.03
6437,Odenwaldkreis,61.11,64.29,63.11,76.74
6438,Offenbach,29.5,49.32,37.53,48.87
6439,Rheingau-Taunus-Kreis,47.88,55.51,60.69,45.22
6440,Wetteraukreis,49.04,54.43,59.29,49.3
6531,Gießen,30.32,35.1,47.34,47.69
6532,Lahn-Dill-Kreis,47.4,49.29,61.51,60.75
6533,Limburg-Weilburg,50.78,44.93,55.78,63.35
6534,Marburg-Biedenkopf,56.78,61.92,62.11,66.67
6535,Vogelsbergkreis,65.06,72.63,73.28,77.36
6611,"Kassel, Stadt",6.19,13.68,25.66,31.58
6631,Fulda,68.17,64.38,73.29,80.26
6632,Hersfeld-Rotenburg,71.25,61.97,67.86,73.27
6633,Kassel,37.25,49.57,54.72,50.46
6634,Schwalm-Eder-Kreis,38.78,52.1,56.2,50.24
6635,Waldeck-Frankenberg,46.21,59.66,63.06,61.27
6636,Werra-Meißner-Kreis,63.83,54.05,64.71,59.15
7111,"Koblenz, Stadt",31.94,39.19,37.63,47.92
7131,Ahrweiler,52.99,45.77,52.92,47.6
7132,Altenkirchen (Westerwald),63.01,59.46,63.44,68.7
7133,Bad Kreuznach,55.43,62.5,60.51,65.42
7134,Birkenfeld,67.65,75.29,77.03,65.71
7135,Cochem-Zell,64.46,77.67,80.0,73.17
7137,Mayen-Koblenz,33.33,39.35,50.42,58.41
7138,Neuwied,32.27,38.04,43.33,59.14
7140,Rhein-Hunsrück-Kreis,50.0,58.47,57.38,63.51
7141,Rhein-Lahn-Kreis,44.44,65.08,53.18,57.29
7143,Westerwaldkreis,47.73,46.78,56.27,57.14
7211,"Trier, Stadt",76.62,75.36,81.25,83.91
7231,Bernkastel-Wittlich,76.6,79.82,90.68,79.14
7232,Eifelkreis Bitburg-Prüm,79.17,80.78,78.85,81.95
7233,Vulkaneifel,59.12,80.0,72.15,82.46
7235,Trier-Saarburg,77.22,79.72,79.95,84.25
7311,"Frankenthal (Pfalz), Stadt",10.77,23.08,62.5,75.0
7312,"Kaiserslautern, Stadt",35.19,43.75,39.13,44.93
7313,"Landau in der Pfalz, Stadt",30.19,35.48,56.86,41.46
7314,"Ludwigshafen am Rhein, Stadt",10.95,26.51,24.38,25.84
7315,"Mainz, Stadt",16.41,25.42,55.32,28.57
7316,"Neustadt an der Weinstraße, Stadt",27.59,19.23,18.92,17.46
7317,"Pirmasens, Stadt",50.0,57.14,58.82,55.56
7318,"Speyer, Stadt",6.67,26.67,0.0,23.68
7319,"Worms, Stadt",50.0,37.74,51.22,61.19
7320,"Zweibrücken, Stadt",47.5,46.15,50.0,37.04
7331,Alzey-Worms,30.38,54.2,54.11,57.61
7332,Bad Dürkheim,35.68,38.08,46.38,46.46
7333,Donnersbergkreis,44.44,51.16,51.49,51.47
7334,Germersheim,41.75,52.02,50.23,50.0
7335,Kaiserslautern,33.12,41.1,42.65,45.07
7336,Kusel,47.01,60.87,49.51,61.25
7337,Südliche Weinstraße,40.15,37.69,55.75,56.02
7338,Rhein-Pfalz-Kreis,25.94,37.36,44.93,45.71
7339,Mainz-Bingen,39.93,37.56,46.18,47.69
7340,Südwestpfalz,54.13,60.81,58.52,61.48
8111,"Stuttgart, Stadt",42.11,34.1,53.13,42.76
8115,Böblingen,51.96,55.5,66.37,78.61
8116,Esslingen,53.93,59.75,63.26,67.63
8117,Göppingen,62.23,65.27,64.48,70.3
8118,Ludwigsburg,48.74,49.5,62.66,67.29
8119,Rems-Murr-Kreis,46.93,62.09,68.91,63.17
8121,"Heilbronn, Stadt",48.75,55.0,64.1,60.2
8125,Heilbronn,62.23,66.17,73.38,76.48
8126,Hohenlohekreis,74.59,81.11,73.86,81.09
8127,Schwäbisch Hall,52.2,51.72,60.45,59.13
8128,Main-Tauber-Kreis,70.26,76.14,70.83,74.67
8135,Heidenheim,42.34,50.61,58.49,61.84
8136,Ostalbkreis,59.01,70.78,71.02,72.14
8211,"Baden-Baden, Stadt",44.64,49.25,50.88,61.82
8212,"Karlsruhe, Stadt",33.63,31.61,13.68,48.31
8215,Karlsruhe,56.01,53.2,64.91,66.56
8216,Rastatt,41.74,62.5,69.0,72.35
8221,"Heidelberg, Stadt",22.99,31.15,37.25,18.33
8222,"Mannheim, Stadt",28.98,18.63,37.04,33.33
8225,Neckar-Odenwald-Kreis,76.42,85.02,90.0,86.42
8226,Rhein-Neckar-Kreis,50.55,64.25,65.89,66.33
8231,"Pforzheim, Stadt",37.5,54.17,47.17,78.76
8235,Calw,65.86,80.47,79.57,82.71
8236,Enzkreis,58.89,69.93,66.67,75.0
8237,Freudenstadt,63.74,67.24,73.68,70.98
8311,"Freiburg im Breisgau, Stadt",41.25,53.76,33.33,42.11
8315,Breisgau-Hochschwarzwald,35.46,52.89,56.21,61.95
8316,Emmendingen,59.51,63.04,73.15,69.67
8317,Ortenaukreis,66.37,70.56,73.42,71.48
8325,Rottweil,64.95,69.42,72.12,74.24
8326,Schwarzwald-Baar-Kreis,45.65,55.33,55.89,59.34
8327,Tuttlingen,50.41,66.67,67.43,66.94
8335,Konstanz,59.71,63.33,66.75,67.2
8336,Lörrach,54.04,62.72,71.76,58.19
8337,Waldshut,66.57,65.43,74.29,73.01
8415,Reutlingen,63.29,72.09,78.35,80.19
8416,Tübingen,70.15,76.62,75.14,69.48
8417,Zollernalbkreis,75.3,77.97,85.14,76.83
8421,"Ulm, Stadt",16.31,19.47,22.13,32.67
8425,Alb-Donau-Kreis,57.32,66.37,67.08,70.6
8426,Biberach,69.11,73.71,72.62,76.18
8435,Bodenseekreis,50.0,48.99,46.54,56.67
8436,Ravensburg,58.97,64.71,68.7,69.98
8437,Sigmaringen,69.01,76.83,73.2,73.61
9161,"Ingolstadt, Stadt",27.37,33.21,45.21,50.0
9162,"München, Stadt",29.68,30.05,29.87,27.68
9163,"Rosenheim, Stadt",25.0,21.69,34.62,60.0
9171,Altötting,58.37,59.31,54.41,60.47
9172,Berchtesgadener Land,61.63,60.15,59.84,63.28
9173,Bad Tölz-Wolfratshausen,44.25,56.25,66.11,59.83
9174,Dachau,44.23,62.04,60.12,56.19
9175,Ebersberg,60.0,64.71,51.98,41.73
9176,Eichstätt,58.27,61.98,73.85,66.6
9177,Erding,46.83,39.96,42.4,48.93
9178,Freising,55.84,57.73,65.64,63.08
9179,Fürstenfeldbruck,45.18,42.31,51.76,56.73
9180,Garmisch-Partenkirchen,48.65,49.49,54.1,49.32
9181,Landsberg am Lech,65.71,68.85,61.74,64.34
9182,Miesbach,39.67,44.94,37.95,43.59
9183,Mühldorf a.Inn,37.1,51.12,45.88,46.88
9184,München,48.89,54.21,42.23,48.79
9185,Neuburg-Schrobenhausen,59.24,62.38,60.99,61.5
9186,Pfaffenhofen a.d.Ilm,52.88,57.92,59.9,61.58
9187,Rosenheim,62.57,68.85,74.73,70.83
9188,Starnberg,46.27,50.38,52.07,61.46
9189,Traunstein,62.9,70.14,70.84,70.78
9190,Weilheim-Schongau,53.53,67.65,68.14,62.88
9261,"Landshut, Stadt",29.2,33.33,42.34,32.79
9262,"Passau, Stadt",25.83,38.71,46.97,45.45
9263,"Straubing, Stadt",21.82,42.86,53.25,60.98
9271,Deggendorf,45.61,60.16,69.94,73.49
