stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,timepoint
de:09771:2179:0:a,,"Taiting, Kirche",,48.402615,11.054848,0,,0
de:09771:2179:0:e,,"Taiting, Kirche",,48.402061,11.054039,0,,0
de:09771:2182:0:a,,"Dasing, Grüntenstraße",,48.389386,11.051784,0,,0
de:09771:2182:0:e,,"Dasing, Grüntenstraße",,48.389452,11.051685,0,,0
de:09771:2201:0:a,,"Obergriesbach, Maibaum",,48.421368,11.066085,0,,0
de:09771:2201:0:e,,"Obergriesbach, Maibaum",,48.421434,11.066238,0,,0
de:09771:2203:0:a,,"Obergriesbach, Am Weiher",,48.420504,11.061818,0,,0
de:09771:2203:0:e,,"Obergriesbach, Am Weiher",,48.420558,11.061729,0,,0
de:09771:2204:0:a,,"Obergriesbach, Am Kreuz",,48.420629,11.071233,0,,0
de:09771:2204:0:e,,"Obergriesbach, Am Kreuz",,48.420719,11.071233,0,,0
de:09771:2200:31:a,,Obergriesbach,,48.422346,11.079084,0,,0
de:09771:2200:31:e,,Obergriesbach,,48.42234,11.078824,0,,0
de:09771:2256:0:A_G_G,,"Friedberg, Grundschule Süd",,48.346572,10.986144,0,,0
de:09771:2262:0:a_G,,"Eurasburg, Fa. Losinger",,48.335938,11.075823,0,,0
de:09771:2262:0:Nord_G,,"Eurasburg, Fa. Losinger",,48.33598,11.076416,0,,0
de:09771:2263:0:a_G,,"Eurasburg, Fa. Hartmann",,48.335466,11.081752,0,,0
de:09771:2263:0:Nord_G,,"Eurasburg, Fa. Hartmann",,48.335615,11.081465,0,,0
de:09771:2264:0:a_G,,"Eurasburg, Post",,48.335275,11.086073,0,,0
de:09771:2264:0:e_G,,"Eurasburg, Post",,48.335251,11.085462,0,,0
de:09771:2265:0:a_G,,Hergertswiesen,,48.330784,11.116777,0,,0
de:09771:2265:0:e_G,,Hergertswiesen,,48.330927,11.117047,0,,0
de:09771:2279:0:a,,"Rinnenthal, Abzweigung Gagers",,48.342046,11.035678,0,,0
de:09771:2279:0:e,,"Rinnenthal, Abzweigung Gagers",,48.342154,11.035264,0,,0
de:09771:2284:0:a,,"Rinnenthal, Schule",,48.345259,11.055225,0,,0
de:09771:2284:0:e,,"Rinnenthal, Schule",,48.345486,11.054991,0,,0
de:09771:2285:0:a_G,,"Ottmaring, Schule/BZ",,48.33417,11.010938,0,,0
de:09771:2285:0:e_G,,"Ottmaring, Schule/BZ",,48.334063,11.010183,0,,0
de:09771:2343:0:E,,"Edenried, Abzweigung",,48.45404,11.028473,0,,0
