,AGS,Name,Bundesland,mobility_car_density,mobility_ev_hybrid,mobility_rank,mobility_third,mobility_pc_km_umweltfreundlich_2002,mobility_pc_km_umweltfreundlich_2017
48,3257,Schaumburg,Niedersachsen,65.13206162876008,1.4926505932653629,271,schlechtesten Drittel,17.783738249171822,21.924873678261154
49,3351,Celle,Niedersachsen,61.941472361948705,1.3334074424033573,182,mittleren Drittel,17.783738249171822,21.924873678261154
50,3352,Cuxhaven,Niedersachsen,63.904851129492044,1.2960727043180713,237,mittleren Drittel,17.783738249171822,21.924873678261154
51,3353,Harburg,Niedersachsen,65.86539208225261,2.0520446674018045,298,schlechtesten Drittel,17.783738249171822,21.924873678261154
52,3354,Lüchow-Dannenberg,Niedersachsen,64.8333058260439,1.1841888100346591,265,mittleren Drittel,17.783738249171822,21.924873678261154
53,3355,Lüneburg,Niedersachsen,57.41888088846157,1.65830312916939,101,besten Drittel,17.783738249171822,21.924873678261154
54,3356,Osterholz,Niedersachsen,64.27938185547656,1.4202026874337266,247,mittleren Drittel,17.783738249171822,21.924873678261154
55,3357,Rotenburg (Wümme),Niedersachsen,69.38321585929782,1.5678692856406928,379,schlechtesten Drittel,17.783738249171822,21.924873678261154
56,3358,Heidekreis,Niedersachsen,62.714117778772945,1.2063367666815943,203,mittleren Drittel,17.783738249171822,21.924873678261154
57,3359,Stade,Niedersachsen,61.74599023709901,1.6382883929955057,174,mittleren Drittel,17.783738249171822,21.924873678261154
58,3360,Uelzen,Niedersachsen,62.16440243718647,1.482334704071307,189,mittleren Drittel,17.783738249171822,21.924873678261154
59,3361,Verden,Niedersachsen,63.3744142895305,1.4432483556787745,220,mittleren Drittel,17.783738249171822,21.924873678261154
60,3401,Delmenhorst,Niedersachsen,55.29398106344005,1.6692035809189647,75,besten Drittel,17.783738249171822,21.924873678261154
61,3402,Emden,Niedersachsen,50.9904488823375,1.0439593724128182,48,besten Drittel,17.783738249171822,21.924873678261154
62,3403,Oldenburg (Oldenburg),Niedersachsen,53.161295623543765,1.9009443097852556,57,besten Drittel,17.783738249171822,21.924873678261154
63,3404,Osnabrück,Niedersachsen,52.684901293066886,2.158949065041143,55,besten Drittel,17.783738249171822,21.924873678261154
64,3405,Wilhelmshaven,Niedersachsen,54.09919095792181,0.9876444479987203,66,besten Drittel,17.783738249171822,21.924873678261154
65,3451,Ammerland,Niedersachsen,64.4625420043487,1.3536271990511959,253,mittleren Drittel,17.783738249171822,21.924873678261154
66,3452,Aurich,Niedersachsen,62.42510174609426,1.1238020217933569,197,mittleren Drittel,17.783738249171822,21.924873678261154
67,3453,Cloppenburg,Niedersachsen,59.40108058397517,0.9822968157259456,127,besten Drittel,17.783738249171822,21.924873678261154
68,3454,Emsland,Niedersachsen,61.99452620271156,1.2694743766539829,183,mittleren Drittel,17.783738249171822,21.924873678261154
69,3455,Friesland,Niedersachsen,67.9875923250245,1.5297410352527507,345,schlechtesten Drittel,17.783738249171822,21.924873678261154
70,3456,Grafschaft Bentheim,Niedersachsen,62.27635126367843,1.7214284684476866,193,mittleren Drittel,17.783738249171822,21.924873678261154
71,3457,Leer,Niedersachsen,60.998950243879804,1.0607756595774298,156,mittleren Drittel,17.783738249171822,21.924873678261154
72,3458,Oldenburg,Niedersachsen,64.46919169360515,1.4754979521693379,254,mittleren Drittel,17.783738249171822,21.924873678261154
73,3459,Osnabrück,Niedersachsen,64.91550269672243,1.5115475038030701,266,mittleren Drittel,17.783738249171822,21.924873678261154
74,3460,Vechta,Niedersachsen,61.93018196885466,1.5683160111874588,181,mittleren Drittel,17.783738249171822,21.924873678261154
75,3461,Wesermarsch,Niedersachsen,61.35135135135133,1.016623317878548,167,mittleren Drittel,17.783738249171822,21.924873678261154
76,3462,Wittmund,Niedersachsen,64.02401879731964,1.0112261770080933,239,mittleren Drittel,17.783738249171822,21.924873678261154
77,4011,Bremen,Bremen,43.99829572689024,1.5931403007331926,9,besten Drittel,24.97065327181895,30.888652176869208
78,4012,Bremerhaven,Bremen,45.954423758316906,1.330706087140926,14,besten Drittel,24.97065327181895,30.888652176869208
79,5111,Düsseldorf,Nordrhein-Westfalen,51.998702130991134,3.147816625960286,52,besten Drittel,16.5324459466038,21.401120709362583
80,5112,Duisburg,Nordrhein-Westfalen,47.60114065983779,1.1776181859307848,24,besten Drittel,16.5324459466038,21.401120709362583
81,5113,Essen,Nordrhein-Westfalen,51.49612033853843,2.070993662759392,50,besten Drittel,16.5324459466038,21.401120709362583
82,5114,Krefeld,Nordrhein-Westfalen,53.514644351464426,1.729574983483814,62,besten Drittel,16.5324459466038,21.401120709362583
