,AGS,Name,Bundesland,buildings_anteil_erneuerbare_2016,buildings_anteil_erneuerbare_2020,buildings_rank,buildings_third,buildings_heating_2002,buildings_heating_2020
55,3357,Rotenburg (Wümme),Niedersachsen,9.745127436281862,26.44978783592645,316,schlechtesten Drittel,155.9,130.12
56,3358,Heidekreis,Niedersachsen,22.090261282660332,23.994452149791954,329,schlechtesten Drittel,155.9,130.12
57,3359,Stade,Niedersachsen,17.753623188405793,21.940559440559444,340,schlechtesten Drittel,155.9,130.12
58,3360,Uelzen,Niedersachsen,19.607843137254896,45.5958549222798,202,mittleren Drittel,155.9,130.12
59,3361,Verden,Niedersachsen,17.117117117117115,23.054755043227665,336,schlechtesten Drittel,155.9,130.12
60,3401,Delmenhorst,Niedersachsen,13.48314606741573,20.253164556962027,343,schlechtesten Drittel,155.9,130.12
61,3402,Emden,Niedersachsen,0.0,26.02739726027397,322,schlechtesten Drittel,155.9,130.12
62,3403,Oldenburg (Oldenburg),Niedersachsen,13.910969793322735,11.82053494391717,374,schlechtesten Drittel,155.9,130.12
63,3404,Osnabrück,Niedersachsen,5.5743243243243255,20.0,344,schlechtesten Drittel,155.9,130.12
64,3405,Wilhelmshaven,Niedersachsen,8.860759493670887,45.97701149425288,197,mittleren Drittel,155.9,130.12
65,3451,Ammerland,Niedersachsen,4.472843450479234,8.904109589041097,385,schlechtesten Drittel,155.9,130.12
66,3452,Aurich,Niedersachsen,4.862023653088042,9.30537352555701,380,schlechtesten Drittel,155.9,130.12
67,3453,Cloppenburg,Niedersachsen,7.007419620774939,10.603588907014684,377,schlechtesten Drittel,155.9,130.12
68,3454,Emsland,Niedersachsen,7.056229327453142,12.222746578574801,371,schlechtesten Drittel,155.9,130.12
69,3455,Friesland,Niedersachsen,4.743083003952568,11.265432098765432,376,schlechtesten Drittel,155.9,130.12
70,3456,Grafschaft Bentheim,Niedersachsen,5.7251908396946565,19.106699751861044,347,schlechtesten Drittel,155.9,130.12
71,3457,Leer,Niedersachsen,3.8557213930348264,11.804613297150608,375,schlechtesten Drittel,155.9,130.12
72,3458,Oldenburg,Niedersachsen,7.476635514018693,13.805970149253731,365,schlechtesten Drittel,155.9,130.12
73,3459,Osnabrück,Niedersachsen,14.397224631396357,31.86510667584308,288,schlechtesten Drittel,155.9,130.12
74,3460,Vechta,Niedersachsen,6.382978723404253,12.164948453608247,372,schlechtesten Drittel,155.9,130.12
75,3461,Wesermarsch,Niedersachsen,6.976744186046512,18.213058419243985,351,schlechtesten Drittel,155.9,130.12
76,3462,Wittmund,Niedersachsen,8.227848101265822,6.53409090909091,391,schlechtesten Drittel,155.9,130.12
77,4011,Bremen,Bremen,5.13888888888889,6.764466177669112,390,schlechtesten Drittel,154.03,124.85
78,4012,Bremerhaven,Bremen,2.7972027972027975,1.5075376884422107,398,schlechtesten Drittel,154.03,124.85
79,5111,Düsseldorf,Nordrhein-Westfalen,17.031802120141343,9.608745684695052,379,schlechtesten Drittel,154.65,130.29
80,5112,Duisburg,Nordrhein-Westfalen,15.488215488215484,50.125313283208015,175,mittleren Drittel,154.65,130.29
81,5113,Essen,Nordrhein-Westfalen,28.40646651270207,12.26215644820296,370,schlechtesten Drittel,154.65,130.29
82,5114,Krefeld,Nordrhein-Westfalen,26.041666666666664,27.66798418972332,313,schlechtesten Drittel,154.65,130.29
83,5116,Mönchengladbach,Nordrhein-Westfalen,32.593856655290104,36.61538461538461,263,mittleren Drittel,154.65,130.29
84,5117,Mülheim an der Ruhr,Nordrhein-Westfalen,23.14814814814815,37.730061349693244,253,mittleren Drittel,154.65,130.29
85,5119,Oberhausen,Nordrhein-Westfalen,19.069767441860467,39.3103448275862,244,mittleren Drittel,154.65,130.29
86,5120,Remscheid,Nordrhein-Westfalen,24.375,46.15384615384616,195,mittleren Drittel,154.65,130.29
87,5122,Solingen,Nordrhein-Westfalen,50.625,40.13840830449827,236,mittleren Drittel,154.65,130.29
88,5124,Wuppertal,Nordrhein-Westfalen,68.32844574780059,17.941176470588236,352,schlechtesten Drittel,154.65,130.29
89,5154,Kleve,Nordrhein-Westfalen,55.15463917525773,74.72745292368681,18,besten Drittel,154.65,130.29
90,5158,Mettmann,Nordrhein-Westfalen,25.3315649867374,35.48387096774194,273,schlechtesten Drittel,154.65,130.29
91,5162,Rhein-Kreis Neuss,Nordrhein-Westfalen,31.20376597175521,37.211367673179396,257,mittleren Drittel,154.65,130.29
92,5166,Viersen,Nordrhein-Westfalen,47.23247232472324,50.53763440860216,168,mittleren Drittel,154.65,130.29
93,5170,Wesel,Nordrhein-Westfalen,31.1701081612586,51.72101449275362,160,mittleren Drittel,154.65,130.29
94,5314,Bonn,Nordrhein-Westfalen,12.63782866836302,23.304157549234137,334,schlechtesten Drittel,154.65,130.29
95,5315,Köln,Nordrhein-Westfalen,10.99407504937459,41.31038312048861,231,mittleren Drittel,154.65,130.29
96,5316,Leverkusen,Nordrhein-Westfalen,36.885245901639344,22.61904761904762,338,schlechtesten Drittel,154.65,130.29
97,5334,Städteregion Aachen,Nordrhein-Westfalen,25.679475164011247,28.354430379746837,309,schlechtesten Drittel,154.65,130.29
98,5358,Düren,Nordrhein-Westfalen,27.246376811594203,47.66990291262137,186,mittleren Drittel,154.65,130.29
99,5362,Rhein-Erft-Kreis,Nordrhein-Westfalen,28.861429832303614,37.383798140770246,255,mittleren Drittel,154.65,130.29
100,5366,Euskirchen,Nordrhein-Westfalen,33.71868978805395,56.59229208924948,118,besten Drittel,154.65,130.29
101,5370,Heinsberg,Nordrhein-Westfalen,44.97991967871487,60.56210335448776,92,besten Drittel,154.65,130.29
102,5374,Oberbergischer Kreis,Nordrhein-Westfalen,34.37500000000001,51.68539325842696,162,mittleren Drittel,154.65,130.29
103,5378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,30.27027027027027,52.708058124174364,156,mittleren Drittel,154.65,130.29
104,5382,Rhein-Sieg-Kreis,Nordrhein-Westfalen,39.611178614823814,62.59711431742508,75,besten Drittel,154.65,130.29
105,5512,Bottrop,Nordrhein-Westfalen,40.15151515151515,48.927038626609445,178,mittleren Drittel,154.65,130.29
