Kennziffer;Raumeinheit;Aggregat;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie
"08337";"Waldshut";"Landkreis";"66,57";"65,43";"74,29";"73,01";"57,83";"65,73";"57,69"
"08415";"Reutlingen";"Landkreis";"63,29";"72,09";"78,35";"80,19";"57,18";"68,74";"73,76"
"08416";"Tübingen";"Landkreis";"70,15";"76,62";"75,14";"69,48";"63,61";"56,06";"40,11"
"08417";"Zollernalbkreis";"Landkreis";"75,30";"77,97";"85,14";"76,83";"80,34";"83,87";"66,15"
"08421";"Ulm, Stadt";"kreisfreie Stadt";"16,31";"19,47";"22,13";"32,67";"21,05";"16,44";"15,28"
"08425";"Alb-Donau-Kreis";"Landkreis";"57,32";"66,37";"67,08";"70,60";"64,46";"70,64";"68,44"
"08426";"Biberach";"Landkreis";"69,11";"73,71";"72,62";"76,18";"71,38";"67,12";"71,57"
"08435";"Bodenseekreis";"Landkreis";"50,00";"48,99";"46,54";"56,67";"28,99";"36,83";"39,19"
"08436";"Ravensburg";"Landkreis";"58,97";"64,71";"68,70";"69,98";"46,14";"68,13";"69,35"
"08437";"Sigmaringen";"Landkreis";"69,01";"76,83";"73,20";"73,61";"74,59";"66,17";"72,18"
"09161";"Ingolstadt, Stadt";"kreisfreie Stadt";"27,37";"33,21";"45,21";"50,00";"24,94";"41,76";"48,07"
"09162";"München, Stadt";"kreisfreie Stadt";"29,68";"30,05";"29,87";"27,68";"15,53";"18,87";"12,76"
"09163";"Rosenheim, Stadt";"kreisfreie Stadt";"25,00";"21,69";"34,62";"60,00";"15,19";"31,89";"25,00"
"09171";"Altötting";"Landkreis";"58,37";"59,31";"54,41";"60,47";"53,75";"52,57";"56,59"
"09172";"Berchtesgadener Land";"Landkreis";"61,63";"60,15";"59,84";"63,28";"54,14";"47,63";"55,59"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"44,25";"56,25";"66,11";"59,83";"63,93";"58,79";"61,58"
"09174";"Dachau";"Landkreis";"44,23";"62,04";"60,12";"56,19";"47,24";"54,93";"48,02"
"09175";"Ebersberg";"Landkreis";"60,00";"64,71";"51,98";"41,73";"50,87";"28,15";"26,13"
"09176";"Eichstätt";"Landkreis";"58,27";"61,98";"73,85";"66,60";"53,29";"68,67";"61,02"
"09177";"Erding";"Landkreis";"46,83";"39,96";"42,40";"48,93";"32,34";"34,26";"39,22"
"09178";"Freising";"Landkreis";"55,84";"57,73";"65,64";"63,08";"46,80";"45,40";"52,21"
"09179";"Fürstenfeldbruck";"Landkreis";"45,18";"42,31";"51,76";"56,73";"35,14";"53,09";"60,19"
"09180";"Garmisch-Partenkirchen";"Landkreis";"48,65";"49,49";"54,10";"49,32";"43,75";"52,50";"31,11"
"09181";"Landsberg am Lech";"Landkreis";"65,71";"68,85";"61,74";"64,34";"60,75";"54,45";"65,01"
"09182";"Miesbach";"Landkreis";"39,67";"44,94";"37,95";"43,59";"36,45";"32,81";"47,44"
"09183";"Mühldorf a.Inn";"Landkreis";"37,10";"51,12";"45,88";"46,88";"40,68";"37,56";"34,70"
"09184";"München";"Landkreis";"48,89";"54,21";"42,23";"48,79";"49,41";"29,81";"36,22"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"59,24";"62,38";"60,99";"61,50";"53,13";"56,31";"60,18"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"52,88";"57,92";"59,90";"61,58";"51,86";"60,00";"45,69"
"09187";"Rosenheim";"Landkreis";"62,57";"68,85";"74,73";"70,83";"59,30";"62,16";"57,42"
"09188";"Starnberg";"Landkreis";"46,27";"50,38";"52,07";"61,46";"51,12";"55,06";"65,09"
"09189";"Traunstein";"Landkreis";"62,90";"70,14";"70,84";"70,78";"66,18";"63,84";"72,15"
"09190";"Weilheim-Schongau";"Landkreis";"53,53";"67,65";"68,14";"62,88";"73,76";"60,38";"60,00"
"09261";"Landshut, Stadt";"kreisfreie Stadt";"29,20";"33,33";"42,34";"32,79";"13,97";"35,61";"29,58"
"09262";"Passau, Stadt";"kreisfreie Stadt";"25,83";"38,71";"46,97";"45,45";"43,01";"43,13";"36,27"
"09263";"Straubing, Stadt";"kreisfreie Stadt";"21,82";"42,86";"53,25";"60,98";"37,78";"74,07";"67,74"
"09271";"Deggendorf";"Landkreis";"45,61";"60,16";"69,94";"73,49";"63,56";"70,98";"70,67"
"09272";"Freyung-Grafenau";"Landkreis";"59,26";"56,44";"53,16";"56,15";"47,58";"45,63";"45,17"
"09273";"Kelheim";"Landkreis";"36,33";"46,68";"56,45";"60,00";"43,34";"52,56";"62,28"
"09274";"Landshut";"Landkreis";"44,61";"48,06";"51,80";"58,94";"49,84";"51,87";"61,81"
"09275";"Passau";"Landkreis";"41,12";"44,88";"44,63";"52,31";"40,67";"40,51";"45,64"
"09276";"Regen";"Landkreis";"70,25";"62,50";"75,37";"77,14";"46,99";"70,56";"74,09"
"09277";"Rottal-Inn";"Landkreis";"40,28";"50,00";"53,53";"52,40";"38,92";"53,73";"45,16"
"09278";"Straubing-Bogen";"Landkreis";"55,53";"62,67";"63,84";"62,24";"61,81";"60,75";"61,02"
"09279";"Dingolfing-Landau";"Landkreis";"51,80";"51,50";"54,01";"57,11";"47,95";"56,54";"62,09"
"09361";"Amberg, Stadt";"kreisfreie Stadt";"36,36";"52,78";"22,73";"37,04";"23,86";"9,09";"46,34"
"09362";"Regensburg, Stadt";"kreisfreie Stadt";"33,06";"65,55";"33,73";"35,32";"49,57";"22,84";"17,75"
"09363";"Weiden i.d.OPf., Stadt";"kreisfreie Stadt";"51,61";"43,48";"32,43";"46,67";"20,00";"23,58";"28,05"
"09371";"Amberg-Sulzbach";"Landkreis";"83,33";"76,07";"82,44";"82,09";"74,62";"74,82";"79,52"
"09372";"Cham";"Landkreis";"58,31";"59,38";"59,65";"55,66";"55,14";"45,11";"47,54"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"53,38";"56,99";"68,46";"62,50";"40,00";"53,82";"47,21"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"69,44";"67,05";"72,40";"70,56";"61,57";"69,72";"71,39"
"09375";"Regensburg";"Landkreis";"61,27";"63,23";"65,51";"70,08";"56,19";"63,35";"57,61"
"09376";"Schwandorf";"Landkreis";"57,65";"59,46";"58,53";"48,15";"52,45";"54,40";"32,87"
"09377";"Tirschenreuth";"Landkreis";"57,47";"69,51";"66,20";"58,02";"68,52";"52,58";"58,89"
"09461";"Bamberg, Stadt";"kreisfreie Stadt";"16,28";"25,30";"7,14";"23,81";"8,12";"2,00";"4,61"
"09462";"Bayreuth, Stadt";"kreisfreie Stadt";"71,79";"79,07";"67,19";"75,68";"41,06";"32,86";"65,12"
"09463";"Coburg, Stadt";"kreisfreie Stadt";"30,00";"42,86";"44,44";"35,29";"31,36";"33,33";"13,01"
"09464";"Hof, Stadt";"kreisfreie Stadt";"37,50";"52,94";"62,50";"83,33";"6,77";"30,56";"93,33"
"09471";"Bamberg";"Landkreis";"57,04";"69,78";"71,98";"65,92";"66,82";"74,09";"67,08"
"09472";"Bayreuth";"Landkreis";"87,50";"81,77";"80,31";"82,20";"79,80";"76,07";"74,71"
"09473";"Coburg";"Landkreis";"39,13";"62,94";"69,77";"60,48";"53,04";"63,55";"57,07"
"09474";"Forchheim";"Landkreis";"76,02";"63,45";"70,05";"72,92";"53,30";"71,85";"51,05"
"09475";"Hof";"Landkreis";"72,73";"61,43";"65,08";"68,75";"48,00";"55,26";"68,37"
"09476";"Kronach";"Landkreis";"60,00";"61,76";"64,29";"59,32";"30,56";"61,29";"43,53"
"09477";"Kulmbach";"Landkreis";"71,83";"75,31";"68,57";"66,67";"79,17";"62,59";"53,08"
"09478";"Lichtenfels";"Landkreis";"58,23";"57,45";"60,76";"59,41";"46,91";"52,04";"46,41"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"54,76";"48,28";"54,55";"51,61";"33,71";"54,55";"53,13"
"09561";"Ansbach, Stadt";"kreisfreie Stadt";"33,33";"34,88";"36,11";"45,45";"25,81";"25,49";"16,28"
"09562";"Erlangen, Stadt";"kreisfreie Stadt";"30,52";"45,86";"58,59";"45,45";"11,59";"49,79";"13,04"
"09563";"Fürth, Stadt";"kreisfreie Stadt";"36,67";"36,07";"34,69";"27,27";"13,19";"42,26";"27,68"
"09564";"Nürnberg, Stadt";"kreisfreie Stadt";"33,44";"29,45";"24,42";"28,47";"8,49";"9,20";"11,43"
"09565";"Schwabach, Stadt";"kreisfreie Stadt";"32,61";"47,17";"53,85";"39,62";"18,24";"66,15";"19,81"
"09571";"Ansbach";"Landkreis";"52,06";"52,05";"53,42";"53,58";"35,78";"50,24";"51,04"
"09572";"Erlangen-Höchstadt";"Landkreis";"59,35";"45,00";"51,25";"49,49";"40,25";"52,75";"47,53"
"09573";"Fürth";"Landkreis";"55,31";"62,91";"62,61";"71,26";"52,82";"48,67";"62,16"
"09574";"Nürnberger Land";"Landkreis";"46,22";"63,98";"64,12";"67,84";"49,20";"49,44";"52,29"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"68,92";"75,93";"76,00";"68,31";"72,38";"70,00";"61,93"
"09576";"Roth";"Landkreis";"56,80";"63,12";"63,76";"57,25";"50,14";"59,89";"54,64"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"59,49";"58,33";"71,11";"61,97";"43,70";"66,78";"54,87"
"09661";"Aschaffenburg, Stadt";"kreisfreie Stadt";"34,09";"48,10";"52,46";"59,18";"45,89";"64,08";"51,28"
"09662";"Schweinfurt, Stadt";"kreisfreie Stadt";"30,61";"26,19";"52,17";"58,62";"10,28";"60,71";"33,33"
"09663";"Würzburg, Stadt";"kreisfreie Stadt";"25,68";"32,50";"26,03";"21,82";"5,67";"4,91";"12,67"
"09671";"Aschaffenburg";"Landkreis";"49,08";"54,91";"59,11";"60,08";"48,46";"65,88";"57,07"
"09672";"Bad Kissingen";"Landkreis";"40,00";"48,74";"53,97";"49,56";"47,77";"46,64";"28,84"
"09673";"Rhön-Grabfeld";"Landkreis";"44,34";"47,42";"46,62";"48,10";"48,04";"44,62";"41,55"
"09674";"Haßberge";"Landkreis";"54,55";"56,83";"61,98";"61,39";"51,11";"59,49";"54,47"
"09675";"Kitzingen";"Landkreis";"49,25";"60,65";"70,39";"64,42";"56,50";"72,02";"54,73"
"09676";"Miltenberg";"Landkreis";"57,86";"61,21";"70,07";"65,99";"50,72";"54,38";"58,05"
"09677";"Main-Spessart";"Landkreis";"69,50";"71,79";"75,86";"71,35";"69,75";"74,54";"70,26"
"09678";"Schweinfurt";"Landkreis";"67,32";"69,05";"73,98";"72,27";"67,11";"70,37";"73,79"
"09679";"Würzburg";"Landkreis";"54,37";"53,03";"63,32";"66,20";"45,08";"61,17";"62,67"
"09761";"Augsburg, Stadt";"kreisfreie Stadt";"22,22";"17,11";"27,39";"32,23";"4,80";"14,65";"26,20"
"09762";"Kaufbeuren, Stadt";"kreisfreie Stadt";"23,33";"20,00";"59,38";"23,19";"28,65";"58,38";"56,77"
"09763";"Kempten (Allgäu), Stadt";"kreisfreie Stadt";"21,67";"16,67";"53,33";"55,26";"3,28";"21,37";"34,91"
"09764";"Memmingen, Stadt";"kreisfreie Stadt";"29,87";"55,88";"36,99";"51,95";"68,50";"66,30";"63,70"
"09771";"Aichach-Friedberg";"Landkreis";"57,99";"66,58";"60,66";"59,64";"66,09";"62,16";"58,93"
"09772";"Augsburg";"Landkreis";"45,60";"45,27";"44,33";"50,00";"41,71";"46,10";"47,07"
"09773";"Dillingen a.d.Donau";"Landkreis";"56,28";"54,19";"52,82";"55,93";"51,50";"55,76";"52,04"
"09774";"Günzburg";"Landkreis";"57,30";"55,88";"57,18";"55,43";"46,96";"52,28";"46,92"
"09775";"Neu-Ulm";"Landkreis";"51,05";"55,45";"64,50";"65,70";"41,34";"47,89";"60,90"
"09776";"Lindau (Bodensee)";"Landkreis";"59,06";"60,58";"73,15";"63,31";"61,64";"61,49";"53,24"
"09777";"Ostallgäu";"Landkreis";"55,20";"61,29";"64,24";"59,18";"60,03";"57,32";"65,36"
"09778";"Unterallgäu";"Landkreis";"57,48";"61,64";"59,23";"55,20";"55,12";"51,16";"61,58"
"09779";"Donau-Ries";"Landkreis";"50,18";"45,08";"46,89";"43,64";"38,24";"48,79";"34,06"
"09780";"Oberallgäu";"Landkreis";"63,03";"62,18";"60,40";"61,49";"43,63";"54,26";"58,39"
"10041";"Regionalverband Saarbrücken";"Landkreis";"37,24";"54,78";"40,74";"53,98";"49,29";"27,37";"30,64"
"10042";"Merzig-Wadern";"Landkreis";"67,55";"66,05";"73,55";"77,91";"45,33";"75,94";"69,58"
"10043";"Neunkirchen";"Landkreis";"45,63";"45,98";"60,22";"61,86";"28,76";"58,67";"53,80"
"10044";"Saarlouis";"Landkreis";"48,05";"55,29";"58,97";"64,15";"46,13";"50,89";"58,01"
"10045";"Saarpfalz-Kreis";"Landkreis";"37,69";"38,10";"55,73";"57,93";"36,24";"40,66";"46,28"
"10046";"St. Wendel";"Landkreis";"55,70";"61,54";"73,33";"69,92";"56,35";"74,34";"58,52"
"11000";"Berlin, Stadt";"kreisfreie Stadt";"18,40";"21,77";"23,47";"21,27";"6,98";"5,56";"7,07"
"12051";"Brandenburg an der Havel, Stadt";"kreisfreie Stadt";"30,38";"44,44";"39,04";"36,67";"45,54";"38,16";"35,87"
"12052";"Cottbus, Stadt";"kreisfreie Stadt";"44,23";"45,56";"55,97";"38,18";"32,99";"20,00";"15,57"
"12053";"Frankfurt (Oder), Stadt";"kreisfreie Stadt";"26,83";"21,28";"26,67";"15,38";"14,86";"12,16";"15,38"
"12054";"Potsdam, Stadt";"kreisfreie Stadt";"14,82";"21,22";"29,41";"35,59";"7,51";"8,59";"9,55"
"12060";"Barnim";"Landkreis";"25,42";"28,75";"35,70";"32,56";"22,84";"28,92";"35,56"
"12061";"Dahme-Spreewald";"Landkreis";"24,20";"31,06";"35,62";"32,18";"24,08";"25,57";"23,22"
"12062";"Elbe-Elster";"Landkreis";"55,88";"55,56";"62,04";"59,55";"49,38";"44,37";"59,22"
"12063";"Havelland";"Landkreis";"30,71";"36,94";"40,28";"38,93";"32,33";"37,05";"41,46"
"12064";"Märkisch-Oderland";"Landkreis";"26,56";"37,70";"46,34";"39,12";"33,69";"39,50";"31,24"
"12065";"Oberhavel";"Landkreis";"26,21";"32,73";"39,93";"38,99";"26,55";"29,85";"39,05"
"12066";"Oberspreewald-Lausitz";"Landkreis";"45,88";"57,65";"64,49";"57,83";"28,00";"65,35";"44,17"
"12067";"Oder-Spree";"Landkreis";"17,11";"29,17";"29,93";"32,13";"27,71";"24,61";"27,78"
"12068";"Ostprignitz-Ruppin";"Landkreis";"26,96";"40,32";"45,74";"36,17";"20,22";"51,61";"31,58"
"12069";"Potsdam-Mittelmark";"Landkreis";"36,54";"43,27";"44,73";"42,39";"32,70";"30,46";"35,04"
"12070";"Prignitz";"Landkreis";"41,54";"46,48";"37,10";"50,00";"33,67";"32,86";"36,63"
"12071";"Spree-Neiße";"Landkreis";"56,08";"55,91";"62,80";"66,43";"45,34";"59,78";"60,89"
"12072";"Teltow-Fläming";"Landkreis";"32,98";"32,14";"42,57";"46,65";"32,28";"40,24";"45,54"
"12073";"Uckermark";"Landkreis";"28,45";"35,00";"36,49";"35,20";"19,63";"21,38";"34,69"
"13003";"Rostock, Stadt";"kreisfreie Stadt";"18,11";"22,73";"33,04";"13,56";"13,34";"10,83";"3,62"
"13004";"Schwerin, Stadt";"kreisfreie Stadt";"11,90";"30,77";"12,61";"5,04";"10,32";"6,04";"2,07"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"27,14";"27,95";"26,91";"28,50";"16,59";"19,32";"21,26"
"13072";"Landkreis Rostock";"Landkreis";"24,57";"30,63";"37,45";"36,85";"24,40";"31,76";"27,60"
"13073";"Vorpommern-Rügen";"Landkreis";"18,57";"26,96";"24,74";"24,73";"25,70";"27,83";"16,81"
"13074";"Nordwestmecklenburg";"Landkreis";"25,35";"38,90";"40,94";"35,31";"43,41";"38,23";"33,75"
"13075";"Vorpommern-Greifswald";"Landkreis";"31,55";"35,18";"34,88";"37,74";"23,18";"28,54";"27,48"
"13076";"Ludwigslust-Parchim";"Landkreis";"33,70";"30,80";"33,45";"35,79";"23,72";"31,92";"41,47"
"14511";"Chemnitz, Stadt";"kreisfreie Stadt";"41,56";"43,25";"46,67";"44,44";"43,93";"22,62";"26,92"
"14521";"Erzgebirgskreis";"Landkreis";"50,34";"48,28";"47,75";"60,87";"44,41";"46,09";"51,58"
"14522";"Mittelsachsen";"Landkreis";"49,01";"49,40";"51,20";"54,64";"46,01";"45,08";"52,02"
"14523";"Vogtlandkreis";"Landkreis";"50,60";"47,15";"58,61";"52,17";"47,10";"58,39";"50,47"
"14524";"Zwickau";"Landkreis";"46,85";"50,00";"54,29";"58,45";"41,75";"51,68";"53,69"
"14612";"Dresden, Stadt";"kreisfreie Stadt";"27,96";"40,15";"43,01";"35,76";"11,18";"18,34";"15,09"
"14625";"Bautzen";"Landkreis";"50,70";"50,39";"55,80";"54,03";"46,22";"54,67";"49,88"
"14626";"Görlitz";"Landkreis";"55,30";"57,14";"50,45";"50,91";"45,11";"47,54";"47,65"
"14627";"Meißen";"Landkreis";"53,94";"63,47";"61,70";"66,90";"45,97";"55,38";"60,67"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"48,15";"54,68";"52,61";"54,96";"53,31";"37,53";"55,17"
"14713";"Leipzig, Stadt";"kreisfreie Stadt";"46,00";"48,23";"44,41";"49,54";"21,92";"14,97";"13,31"
"14729";"Leipzig";"Landkreis";"40,48";"54,72";"54,68";"58,99";"50,20";"52,29";"53,44"
"14730";"Nordsachsen";"Landkreis";"44,09";"64,39";"64,09";"63,55";"58,30";"59,95";"49,33"
"15001";"Dessau-Roßlau, Stadt";"kreisfreie Stadt";"32,50";"35,19";"26,67";"35,00";"32,81";"17,14";"42,03"
"15002";"Halle (Saale), Stadt";"kreisfreie Stadt";"44,74";"35,48";"50,00";"50,00";"20,15";"30,84";"28,03"
"15003";"Magdeburg, Stadt";"kreisfreie Stadt";"45,08";"58,47";"60,08";"48,15";"36,57";"48,25";"21,64"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"30,26";"44,58";"50,00";"53,19";"43,18";"48,28";"30,39"
"15082";"Anhalt-Bitterfeld";"Landkreis";"64,67";"55,15";"60,37";"68,78";"34,48";"45,45";"65,37"
"15083";"Börde";"Landkreis";"38,95";"48,60";"52,94";"56,27";"44,91";"37,15";"41,95"
"15084";"Burgenlandkreis";"Landkreis";"64,95";"60,00";"76,77";"81,63";"47,95";"68,32";"61,29"
"15085";"Harz";"Landkreis";"29,95";"36,21";"37,45";"39,04";"31,99";"31,35";"22,80"
"15086";"Jerichower Land";"Landkreis";"42,25";"60,94";"59,06";"62,89";"66,45";"58,33";"48,20"
"15087";"Mansfeld-Südharz";"Landkreis";"56,96";"52,24";"52,78";"56,67";"47,37";"46,83";"56,70"
"15088";"Saalekreis";"Landkreis";"57,39";"60,09";"69,42";"70,50";"57,85";"64,89";"64,13"
"15089";"Salzlandkreis";"Landkreis";"42,40";"46,34";"62,60";"57,96";"25,93";"60,26";"36,19"
"15090";"Stendal";"Landkreis";"31,34";"47,66";"50,46";"53,68";"24,65";"44,37";"38,89"
"15091";"Wittenberg";"Landkreis";"43,24";"53,45";"57,52";"44,21";"47,55";"57,14";"48,67"
"16051";"Erfurt, Stadt";"kreisfreie Stadt";"44,74";"43,84";"45,90";"55,56";"22,44";"13,86";"20,60"
"16052";"Gera, Stadt";"kreisfreie Stadt";"35,62";"35,29";"35,14";"48,00";"34,62";"35,14";"15,19"
"16053";"Jena, Stadt";"kreisfreie Stadt";"27,91";"37,93";"36,96";"36,92";"14,68";"9,84";"11,07"
"16054";"Suhl, Stadt";"kreisfreie Stadt";"35,81";"67,55";"55,30";"32,56";"60,77";"49,24";"11,97"
"16055";"Weimar, Stadt";"kreisfreie Stadt";"37,50";"43,33";"34,62";"53,33";"10,92";"16,00";"17,06"
"16056";"Eisenach, Stadt";"kreisfreie Stadt";"30,77";"44,83";"15,00";"15,79";"66,00";"9,68";"9,33"
"16061";"Eichsfeld";"Landkreis";"23,29";"29,65";"32,92";"23,56";"31,03";"27,05";"23,04"
"16062";"Nordhausen";"Landkreis";"48,48";"32,84";"48,00";"50,65";"20,18";"41,38";"42,62"
"16063";"Wartburgkreis";"Landkreis";"58,33";"52,07";"61,90";"54,55";"53,99";"60,73";"46,39"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"46,97";"39,83";"44,37";"39,68";"30,05";"42,42";"35,42"
"16065";"Kyffhäuserkreis";"Landkreis";"32,61";"54,35";"43,90";"55,56";"44,64";"38,18";"67,74"
"16066";"Schmalkalden-Meiningen";"Landkreis";"48,57";"50,93";"53,20";"52,94";"51,29";"43,31";"35,71"
"16067";"Gotha";"Landkreis";"47,62";"50,56";"56,80";"47,62";"32,56";"50,00";"27,12"
"16068";"Sömmerda";"Landkreis";"51,79";"53,95";"67,09";"57,58";"26,72";"60,61";"41,67"
"16069";"Hildburghausen";"Landkreis";"58,46";"57,14";"52,31";"57,97";"60,87";"50,00";"57,75"
"16070";"Ilm-Kreis";"Landkreis";"41,38";"46,51";"62,41";"50,72";"29,41";"60,84";"23,80"
"16071";"Weimarer Land";"Landkreis";"57,43";"56,74";"53,79";"56,69";"46,73";"44,07";"51,20"
"16072";"Sonneberg";"Landkreis";"42,54";"40,93";"44,55";"34,29";"36,41";"44,61";"12,50"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"46,25";"47,37";"47,14";"54,17";"27,01";"41,67";"53,85"
"16074";"Saale-Holzland-Kreis";"Landkreis";"45,90";"65,75";"67,07";"55,68";"54,35";"46,91";"51,58"
"16075";"Saale-Orla-Kreis";"Landkreis";"42,86";"39,53";"55,56";"50,00";"33,33";"49,06";"48,78"
"16076";"Greiz";"Landkreis";"61,90";"56,90";"57,35";"66,67";"46,25";"66,29";"67,19"
"16077";"Altenburger Land";"Landkreis";"36,21";"50,85";"56,67";"44,00";"50,00";"48,61";"13,92"
