Kennziffer;Raumeinheit;Aggregat;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie
"03452";"Aurich";"Landkreis";"3,35";"5,35";"5,64";"7,51";"4,28";"4,68";"7,26"
"03453";"Cloppenburg";"Landkreis";"6,29";"10,08";"7,97";"9,82";"15,26";"9,26";"9,80"
"03454";"Emsland";"Landkreis";"7,50";"9,15";"10,69";"10,98";"7,65";"12,25";"10,57"
"03455";"Friesland";"Landkreis";"6,27";"10,25";"10,30";"12,71";"7,19";"9,28";"12,36"
"03456";"Grafschaft Bentheim";"Landkreis";"7,27";"13,53";"18,12";"15,14";"9,44";"18,78";"15,62"
"03457";"Leer";"Landkreis";"3,96";"8,38";"8,18";"10,53";"7,55";"14,22";"10,32"
"03458";"Oldenburg";"Landkreis";"9,57";"13,24";"18,10";"12,14";"13,99";"20,20";"13,54"
"03459";"Osnabrück";"Landkreis";"14,29";"23,16";"26,65";"24,57";"22,30";"30,01";"27,60"
"03460";"Vechta";"Landkreis";"7,07";"10,95";"13,52";"9,55";"11,07";"14,12";"12,35"
"03461";"Wesermarsch";"Landkreis";"7,64";"12,84";"21,19";"13,25";"11,56";"26,87";"13,71"
"03462";"Wittmund";"Landkreis";"6,67";"12,72";"10,19";"11,49";"14,01";"8,52";"7,75"
"04011";"Bremen, Stadt";"kreisfreie Stadt";"3,69";"5,67";"5,25";"6,40";"7,49";"1,83";"9,24"
"04012";"Bremerhaven, Stadt";"kreisfreie Stadt";"4,26";"6,59";"11,22";"3,39";"2,91";"5,05";"0,44"
"05111";"Düsseldorf, Stadt";"kreisfreie Stadt";"27,37";"18,52";"29,50";"27,43";"5,84";"14,90";"21,62"
"05112";"Duisburg, Stadt";"kreisfreie Stadt";"31,65";"41,60";"42,62";"45,26";"26,48";"20,37";"29,23"
"05113";"Essen, Stadt";"kreisfreie Stadt";"25,00";"48,35";"34,52";"28,57";"26,91";"25,28";"14,01"
"05114";"Krefeld, Stadt";"kreisfreie Stadt";"34,74";"55,38";"59,29";"68,57";"30,79";"32,34";"65,59"
"05116";"Mönchengladbach, Stadt";"kreisfreie Stadt";"28,77";"42,74";"53,17";"63,04";"37,43";"53,42";"65,21"
"05117";"Mülheim an der Ruhr, Stadt";"kreisfreie Stadt";"28,13";"22,76";"54,40";"43,00";"21,04";"33,33";"23,08"
"05119";"Oberhausen, Stadt";"kreisfreie Stadt";"15,11";"26,61";"25,41";"57,59";"11,20";"13,13";"50,67"
"05120";"Remscheid, Stadt";"kreisfreie Stadt";"29,23";"44,83";"54,37";"36,36";"44,68";"38,10";"38,24"
