Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;BAU005__Neue_Gebaeude__Anzahl
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;WRM-FERN-01;Fernwärme/Fernkälte;5880
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;GEOTH-01;Geothermie;7211
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;UMWTH-01;Umweltthermie;22287
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;SOLTH-01;Solarthermie;512
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;HOLZ-01;Holz;4489
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;GAS-BIO-01;Biogas/Biomethan;127
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;BIOMASSE-01;Sonstige Biomasse;262
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;ENR-SONST-01;Sonstige Energie;454
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-PRM-01;Zur Heizung verwendete primäre Energie;ENRAT1;Energieart;ENR-X-01;Keine Energie;183
31121;Statistik der Baufertigstellungen;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;GEBAT2;Gebäudeart;GEBW01;Wohngebäude mit 1 Wohnung;ENRVW1;Energieverwendung;ENR-HZG-SEK-01;Zur Heizung verwendete sekundäre Energie;ENRAT1;Energieart;OEL-01;Öl;37
