,AGS,Name,energy_rank,energy_third,mobility_rank,mobility_third,agriculture_rank,agriculture_third,buildings_rank,buildings_third,waste_rank,waste_third,cumulative_rank
324,9771,Aichach-Friedberg,6.0,mittleren Drittel,277,schlechtesten Drittel,292.0,schlechtesten Drittel,98,besten Drittel,57.0,besten Drittel,730.0
146,6531,Gießen,10.0,mittleren Drittel,104,besten Drittel,113.0,besten Drittel,294,schlechtesten Drittel,211.0,mittleren Drittel,732.0
119,5774,Paderborn,14.0,schlechtesten Drittel,140,mittleren Drittel,361.0,schlechtesten Drittel,67,besten Drittel,151.0,mittleren Drittel,733.0
223,8325,Rottweil,9.0,mittleren Drittel,348,schlechtesten Drittel,192.0,mittleren Drittel,23,besten Drittel,162.0,mittleren Drittel,734.0
297,9562,Erlangen,6.0,mittleren Drittel,34,besten Drittel,245.0,mittleren Drittel,240,mittleren Drittel,210.0,mittleren Drittel,735.0
80,5112,Duisburg,14.0,schlechtesten Drittel,24,besten Drittel,159.0,mittleren Drittel,175,mittleren Drittel,363.0,schlechtesten Drittel,735.0
303,9573,Landkreis Fürth,6.0,mittleren Drittel,282,schlechtesten Drittel,257.0,mittleren Drittel,59,besten Drittel,132.0,besten Drittel,736.0
104,5382,Rhein-Sieg-Kreis,14.0,schlechtesten Drittel,199,mittleren Drittel,252.0,mittleren Drittel,75,besten Drittel,196.0,mittleren Drittel,736.0
77,4011,Bremen,12.0,schlechtesten Drittel,9,besten Drittel,,,390,schlechtesten Drittel,326.0,schlechtesten Drittel,737.0
177,7314,Ludwigshafen am Rhein,8.0,mittleren Drittel,32,besten Drittel,21.0,besten Drittel,359,schlechtesten Drittel,318.0,schlechtesten Drittel,738.0
251,9181,Landsberg am Lech,6.0,mittleren Drittel,366,schlechtesten Drittel,294.0,schlechtesten Drittel,53,besten Drittel,20.0,besten Drittel,739.0
395,16053,Jena,3.0,besten Drittel,5,besten Drittel,147.0,mittleren Drittel,373,schlechtesten Drittel,212.0,mittleren Drittel,740.0
245,9175,Ebersberg,6.0,mittleren Drittel,141,mittleren Drittel,348.0,schlechtesten Drittel,214,mittleren Drittel,35.0,besten Drittel,744.0
83,5116,Mönchengladbach,14.0,schlechtesten Drittel,68,besten Drittel,141.0,mittleren Drittel,263,mittleren Drittel,258.0,mittleren Drittel,744.0
310,9663,Würzburg,6.0,mittleren Drittel,51,besten Drittel,24.0,besten Drittel,353,schlechtesten Drittel,311.0,schlechtesten Drittel,745.0
36,3153,Goslar,4.0,besten Drittel,147,mittleren Drittel,29.0,besten Drittel,242,mittleren Drittel,325.0,schlechtesten Drittel,747.0
231,8417,Zollernalbkreis,9.0,mittleren Drittel,359,schlechtesten Drittel,127.0,besten Drittel,25,besten Drittel,230.0,mittleren Drittel,750.0
191,7338,Rhein-Pfalz-Kreis,8.0,mittleren Drittel,317,schlechtesten Drittel,4.0,besten Drittel,184,mittleren Drittel,237.0,mittleren Drittel,750.0
327,9774,Günzburg,6.0,mittleren Drittel,321,schlechtesten Drittel,306.0,schlechtesten Drittel,96,besten Drittel,21.0,besten Drittel,750.0
312,9672,Bad Kissingen,6.0,mittleren Drittel,373,schlechtesten Drittel,128.0,besten Drittel,228,mittleren Drittel,17.0,besten Drittel,752.0
262,9262,Passau,6.0,mittleren Drittel,72,besten Drittel,295.0,schlechtesten Drittel,330,schlechtesten Drittel,52.0,besten Drittel,755.0
103,5378,Rheinisch-Bergischer Kreis,14.0,schlechtesten Drittel,269,schlechtesten Drittel,317.0,schlechtesten Drittel,156,mittleren Drittel,,,756.0
37,3154,Helmstedt,4.0,besten Drittel,180,mittleren Drittel,13.0,besten Drittel,270,schlechtesten Drittel,289.0,schlechtesten Drittel,756.0
117,5766,Lippe,14.0,schlechtesten Drittel,222,mittleren Drittel,156.0,mittleren Drittel,278,schlechtesten Drittel,88.0,besten Drittel,758.0
248,9178,Freising,6.0,mittleren Drittel,165,mittleren Drittel,168.0,mittleren Drittel,126,besten Drittel,294.0,schlechtesten Drittel,759.0
185,7332,Bad Dürkheim,8.0,mittleren Drittel,375,schlechtesten Drittel,11.0,besten Drittel,276,schlechtesten Drittel,89.0,besten Drittel,759.0
101,5370,Heinsberg,14.0,schlechtesten Drittel,233,mittleren Drittel,274.0,schlechtesten Drittel,92,besten Drittel,146.0,mittleren Drittel,759.0
266,9273,Kelheim,6.0,mittleren Drittel,308,schlechtesten Drittel,160.0,mittleren Drittel,109,besten Drittel,176.0,mittleren Drittel,759.0
294,9478,Lichtenfels,6.0,mittleren Drittel,340,schlechtesten Drittel,174.0,mittleren Drittel,86,besten Drittel,155.0,mittleren Drittel,761.0
273,9361,Amberg,6.0,mittleren Drittel,151,mittleren Drittel,230.0,mittleren Drittel,300,schlechtesten Drittel,74.0,besten Drittel,761.0
202,8126,Hohenlohekreis,9.0,mittleren Drittel,398,schlechtesten Drittel,268.0,schlechtesten Drittel,51,besten Drittel,37.0,besten Drittel,763.0
243,9173,Bad Tölz-Wolfratshausen,6.0,mittleren Drittel,241,mittleren Drittel,328.0,schlechtesten Drittel,105,besten Drittel,87.0,besten Drittel,767.0
405,16067,Gotha,3.0,besten Drittel,100,besten Drittel,111.0,besten Drittel,172,mittleren Drittel,382.0,schlechtesten Drittel,768.0
288,9472,Landkreis Bayreuth,6.0,mittleren Drittel,382,schlechtesten Drittel,282.0,schlechtesten Drittel,72,besten Drittel,27.0,besten Drittel,769.0
365,13076,Ludwigslust-Parchim,1.0,besten Drittel,160,mittleren Drittel,183.0,mittleren Drittel,296,schlechtesten Drittel,129.0,besten Drittel,769.0
239,9162,München,6.0,mittleren Drittel,35,besten Drittel,40.0,besten Drittel,315,schlechtesten Drittel,375.0,schlechtesten Drittel,771.0
255,9185,Neuburg-Schrobenhausen,6.0,mittleren Drittel,337,schlechtesten Drittel,173.0,mittleren Drittel,73,besten Drittel,183.0,mittleren Drittel,772.0
154,6633,Landkreis Kassel,10.0,mittleren Drittel,243,mittleren Drittel,154.0,mittleren Drittel,318,schlechtesten Drittel,48.0,besten Drittel,773.0
153,6632,Hersfeld-Rotenburg,10.0,mittleren Drittel,316,schlechtesten Drittel,212.0,mittleren Drittel,37,besten Drittel,199.0,mittleren Drittel,774.0
151,6611,Kassel,10.0,mittleren Drittel,13,besten Drittel,89.0,besten Drittel,384,schlechtesten Drittel,280.0,schlechtesten Drittel,776.0
261,9261,Landshut,6.0,mittleren Drittel,54,besten Drittel,244.0,mittleren Drittel,320,schlechtesten Drittel,152.0,mittleren Drittel,776.0
165,7138,Neuwied,8.0,mittleren Drittel,310,schlechtesten Drittel,247.0,mittleren Drittel,165,mittleren Drittel,47.0,besten Drittel,777.0
179,7316,Neustadt an der Weinstraße,8.0,mittleren Drittel,195,mittleren Drittel,14.0,besten Drittel,295,schlechtesten Drittel,270.0,schlechtesten Drittel,782.0
314,9674,Haßberge,6.0,mittleren Drittel,388,schlechtesten Drittel,114.0,besten Drittel,138,mittleren Drittel,137.0,mittleren Drittel,783.0
353,12069,Potsdam-Mittelmark,5.0,besten Drittel,130,besten Drittel,120.0,besten Drittel,199,mittleren Drittel,331.0,schlechtesten Drittel,785.0
147,6532,Lahn-Dill-Kreis,10.0,mittleren Drittel,279,schlechtesten Drittel,133.0,besten Drittel,95,besten Drittel,274.0,schlechtesten Drittel,791.0
134,6413,Offenbach am Main,10.0,mittleren Drittel,10,besten Drittel,,,393,schlechtesten Drittel,380.0,schlechtesten Drittel,793.0
148,6533,Limburg-Weilburg,10.0,mittleren Drittel,294,schlechtesten Drittel,137.0,mittleren Drittel,139,mittleren Drittel,213.0,mittleren Drittel,793.0
412,16074,Saale-Holzland-Kreis,3.0,besten Drittel,144,mittleren Drittel,219.0,mittleren Drittel,31,besten Drittel,397.0,schlechtesten Drittel,794.0
328,9775,Neu-Ulm,6.0,mittleren Drittel,213,mittleren Drittel,285.0,schlechtesten Drittel,180,mittleren Drittel,110.0,besten Drittel,794.0
343,12054,Potsdam,5.0,besten Drittel,8,besten Drittel,68.0,besten Drittel,381,schlechtesten Drittel,332.0,schlechtesten Drittel,794.0
218,8237,Freudenstadt,9.0,mittleren Drittel,301,schlechtesten Drittel,222.0,mittleren Drittel,101,besten Drittel,164.0,mittleren Drittel,797.0
269,9276,Regen,6.0,mittleren Drittel,291,schlechtesten Drittel,359.0,schlechtesten Drittel,89,besten Drittel,55.0,besten Drittel,800.0
399,16061,Eichsfeld,3.0,besten Drittel,162,mittleren Drittel,103.0,besten Drittel,325,schlechtesten Drittel,207.0,mittleren Drittel,800.0
358,13003,Rostock,1.0,besten Drittel,6,besten Drittel,96.0,besten Drittel,397,schlechtesten Drittel,303.0,schlechtesten Drittel,803.0
78,4012,Bremerhaven,12.0,schlechtesten Drittel,14,besten Drittel,,,398,schlechtesten Drittel,379.0,schlechtesten Drittel,803.0
413,16075,Saale-Orla-Kreis,3.0,besten Drittel,246,mittleren Drittel,228.0,mittleren Drittel,225,mittleren Drittel,102.0,besten Drittel,804.0
130,5974,Soest,14.0,schlechtesten Drittel,242,mittleren Drittel,299.0,schlechtesten Drittel,182,mittleren Drittel,69.0,besten Drittel,806.0
91,5162,Rhein-Kreis Neuss,14.0,schlechtesten Drittel,170,mittleren Drittel,71.0,besten Drittel,257,mittleren Drittel,295.0,schlechtesten Drittel,807.0
38,3155,Northeim,4.0,besten Drittel,332,schlechtesten Drittel,92.0,besten Drittel,129,besten Drittel,250.0,mittleren Drittel,807.0
346,12062,Elbe-Elster,5.0,besten Drittel,223,mittleren Drittel,185.0,mittleren Drittel,45,besten Drittel,349.0,schlechtesten Drittel,807.0
157,6636,Werra-Meißner-Kreis,10.0,mittleren Drittel,225,mittleren Drittel,135.0,mittleren Drittel,163,mittleren Drittel,276.0,schlechtesten Drittel,809.0
258,9188,Starnberg,6.0,mittleren Drittel,280,schlechtesten Drittel,258.0,mittleren Drittel,52,besten Drittel,214.0,mittleren Drittel,810.0
348,12064,Märkisch-Oderland,5.0,besten Drittel,138,mittleren Drittel,66.0,besten Drittel,232,mittleren Drittel,370.0,schlechtesten Drittel,811.0
197,8117,Göppingen,9.0,mittleren Drittel,275,schlechtesten Drittel,309.0,schlechtesten Drittel,27,besten Drittel,192.0,mittleren Drittel,812.0
215,8231,Pforzheim,9.0,mittleren Drittel,45,besten Drittel,52.0,besten Drittel,317,schlechtesten Drittel,389.0,schlechtesten Drittel,812.0
386,15085,Harz,7.0,mittleren Drittel,128,besten Drittel,53.0,besten Drittel,266,mittleren Drittel,358.0,schlechtesten Drittel,812.0
292,9476,Kronach,6.0,mittleren Drittel,376,schlechtesten Drittel,180.0,mittleren Drittel,166,mittleren Drittel,85.0,besten Drittel,813.0
304,9574,Nürnberger Land,6.0,mittleren Drittel,287,schlechtesten Drittel,242.0,mittleren Drittel,16,besten Drittel,262.0,mittleren Drittel,813.0
199,8119,Rems-Murr-Kreis,9.0,mittleren Drittel,217,mittleren Drittel,270.0,schlechtesten Drittel,153,mittleren Drittel,168.0,mittleren Drittel,817.0
371,14612,Dresden,11.0,mittleren Drittel,7,besten Drittel,63.0,besten Drittel,387,schlechtesten Drittel,350.0,schlechtesten Drittel,818.0
20,1004,Neumünster,2.0,besten Drittel,71,besten Drittel,331.0,schlechtesten Drittel,345,schlechtesten Drittel,70.0,besten Drittel,819.0
279,9374,Neustadt an der Waldnaab,6.0,mittleren Drittel,378,schlechtesten Drittel,308.0,schlechtesten Drittel,35,besten Drittel,93.0,besten Drittel,820.0
354,12070,Prignitz,5.0,besten Drittel,158,mittleren Drittel,115.0,besten Drittel,154,mittleren Drittel,391.0,schlechtesten Drittel,823.0
382,15081,Altmarkkreis Salzwedel,7.0,mittleren Drittel,196,mittleren Drittel,139.0,mittleren Drittel,112,besten Drittel,374.0,schlechtesten Drittel,828.0
376,14713,Leipzig,11.0,mittleren Drittel,1,besten Drittel,69.0,besten Drittel,382,schlechtesten Drittel,366.0,schlechtesten Drittel,829.0
46,3255,Holzminden,4.0,besten Drittel,274,schlechtesten Drittel,164.0,mittleren Drittel,68,besten Drittel,319.0,schlechtesten Drittel,829.0
224,8326,Schwarzwald-Baar-Kreis,9.0,mittleren Drittel,208,mittleren Drittel,250.0,mittleren Drittel,179,mittleren Drittel,184.0,mittleren Drittel,830.0
238,9161,Ingolstadt,6.0,mittleren Drittel,396,schlechtesten Drittel,39.0,besten Drittel,226,mittleren Drittel,163.0,mittleren Drittel,830.0
414,16076,Greiz,3.0,besten Drittel,205,mittleren Drittel,232.0,mittleren Drittel,157,mittleren Drittel,233.0,mittleren Drittel,830.0
181,7318,Speyer,8.0,mittleren Drittel,121,besten Drittel,23.0,besten Drittel,396,schlechtesten Drittel,283.0,schlechtesten Drittel,831.0
352,12068,Ostprignitz-Ruppin,5.0,besten Drittel,133,besten Drittel,101.0,besten Drittel,271,schlechtesten Drittel,321.0,schlechtesten Drittel,831.0
244,9174,Dachau,6.0,mittleren Drittel,154,mittleren Drittel,254.0,mittleren Drittel,191,mittleren Drittel,226.0,mittleren Drittel,831.0
325,9772,Landkreis Augsburg,6.0,mittleren Drittel,289,schlechtesten Drittel,301.0,schlechtesten Drittel,170,mittleren Drittel,67.0,besten Drittel,833.0
102,5374,Oberbergischer Kreis,14.0,schlechtesten Drittel,314,schlechtesten Drittel,346.0,schlechtesten Drittel,162,mittleren Drittel,,,836.0
260,9190,Weilheim-Schongau,6.0,mittleren Drittel,292,schlechtesten Drittel,353.0,schlechtesten Drittel,65,besten Drittel,121.0,besten Drittel,837.0
384,15083,Börde,7.0,mittleren Drittel,207,mittleren Drittel,110.0,besten Drittel,177,mittleren Drittel,336.0,schlechtesten Drittel,837.0
212,8222,Mannheim,9.0,mittleren Drittel,37,besten Drittel,43.0,besten Drittel,367,schlechtesten Drittel,384.0,schlechtesten Drittel,840.0
116,5762,Höxter,14.0,schlechtesten Drittel,264,mittleren Drittel,280.0,schlechtesten Drittel,110,besten Drittel,175.0,mittleren Drittel,843.0
140,6435,Main-Kinzig-Kreis,10.0,mittleren Drittel,184,mittleren Drittel,217.0,mittleren Drittel,208,mittleren Drittel,225.0,mittleren Drittel,844.0
159,7131,Ahrweiler,8.0,mittleren Drittel,342,schlechtesten Drittel,182.0,mittleren Drittel,187,mittleren Drittel,125.0,besten Drittel,844.0
370,14524,Zwickau,11.0,mittleren Drittel,145,mittleren Drittel,218.0,mittleren Drittel,78,besten Drittel,393.0,schlechtesten Drittel,845.0
275,9363,Weiden in der Oberpfalz,6.0,mittleren Drittel,186,mittleren Drittel,288.0,schlechtesten Drittel,268,schlechtesten Drittel,97.0,besten Drittel,845.0
35,3151,Gifhorn,4.0,besten Drittel,171,mittleren Drittel,76.0,besten Drittel,297,schlechtesten Drittel,298.0,schlechtesten Drittel,846.0
278,9373,Neumarkt in der Oberpfalz,6.0,mittleren Drittel,318,schlechtesten Drittel,241.0,mittleren Drittel,123,besten Drittel,161.0,mittleren Drittel,849.0
309,9662,Schweinfurt,6.0,mittleren Drittel,74,besten Drittel,157.0,mittleren Drittel,369,schlechtesten Drittel,246.0,mittleren Drittel,852.0
133,6412,Frankfurt am Main,10.0,mittleren Drittel,11,besten Drittel,51.0,besten Drittel,392,schlechtesten Drittel,388.0,schlechtesten Drittel,852.0
56,3358,Heidekreis,4.0,besten Drittel,203,mittleren Drittel,251.0,mittleren Drittel,329,schlechtesten Drittel,65.0,besten Drittel,852.0
368,14522,Mittelsachsen,11.0,mittleren Drittel,143,mittleren Drittel,200.0,mittleren Drittel,135,mittleren Drittel,365.0,schlechtesten Drittel,854.0
349,12065,Oberhavel,5.0,besten Drittel,107,besten Drittel,93.0,besten Drittel,261,mittleren Drittel,390.0,schlechtesten Drittel,856.0
100,5366,Euskirchen,14.0,schlechtesten Drittel,383,schlechtesten Drittel,221.0,mittleren Drittel,118,besten Drittel,122.0,besten Drittel,858.0
289,9473,Landkreis Coburg,6.0,mittleren Drittel,364,schlechtesten Drittel,262.0,mittleren Drittel,188,mittleren Drittel,38.0,besten Drittel,858.0
366,14511,Chemnitz,11.0,mittleren Drittel,53,besten Drittel,189.0,mittleren Drittel,302,schlechtesten Drittel,304.0,schlechtesten Drittel,859.0
336,10043,Neunkirchen,16.0,schlechtesten Drittel,320,schlechtesten Drittel,206.0,mittleren Drittel,76,besten Drittel,241.5,mittleren Drittel,859.5
347,12063,Havelland,5.0,besten Drittel,98,besten Drittel,88.0,besten Drittel,275,schlechtesten Drittel,395.0,schlechtesten Drittel,861.0
22,1053,Herzogtum Lauenburg,2.0,besten Drittel,134,mittleren Drittel,175.0,mittleren Drittel,328,schlechtesten Drittel,223.0,mittleren Drittel,862.0
131,5978,Unna,14.0,schlechtesten Drittel,177,mittleren Drittel,311.0,schlechtesten Drittel,174,mittleren Drittel,190.0,mittleren Drittel,866.0
265,9272,Freyung-Grafenau,6.0,mittleren Drittel,349,schlechtesten Drittel,326.0,schlechtesten Drittel,131,besten Drittel,54.0,besten Drittel,866.0
307,9577,Weißenburg-Gunzenhausen,6.0,mittleren Drittel,309,schlechtesten Drittel,281.0,schlechtesten Drittel,142,mittleren Drittel,131.0,besten Drittel,869.0
108,5554,Borken,14.0,schlechtesten Drittel,172,mittleren Drittel,391.0,schlechtesten Drittel,256,mittleren Drittel,36.0,besten Drittel,869.0
235,8435,Bodenseekreis,9.0,mittleren Drittel,256,mittleren Drittel,211.0,mittleren Drittel,237,mittleren Drittel,156.0,mittleren Drittel,869.0
89,5154,Kleve,14.0,schlechtesten Drittel,210,mittleren Drittel,383.0,schlechtesten Drittel,18,besten Drittel,245.0,mittleren Drittel,870.0
129,5970,Siegen-Wittgenstein,14.0,schlechtesten Drittel,273,schlechtesten Drittel,279.0,schlechtesten Drittel,9,besten Drittel,299.0,schlechtesten Drittel,874.0
335,10042,Merzig-Wadern,16.0,schlechtesten Drittel,390,schlechtesten Drittel,199.0,mittleren Drittel,28,besten Drittel,241.5,mittleren Drittel,874.5
143,6438,Offenbach,10.0,mittleren Drittel,166,mittleren Drittel,214.0,mittleren Drittel,299,schlechtesten Drittel,187.0,mittleren Drittel,876.0
145,6440,Wetteraukreis,10.0,mittleren Drittel,201,mittleren Drittel,95.0,besten Drittel,284,schlechtesten Drittel,286.0,schlechtesten Drittel,876.0
206,8136,Ostalbkreis,9.0,mittleren Drittel,311,schlechtesten Drittel,318.0,schlechtesten Drittel,41,besten Drittel,197.0,mittleren Drittel,876.0
49,3351,Celle,4.0,besten Drittel,182,mittleren Drittel,204.0,mittleren Drittel,269,schlechtesten Drittel,218.0,mittleren Drittel,877.0
27,1058,Rendsburg-Eckernförde,2.0,besten Drittel,240,mittleren Drittel,324.0,schlechtesten Drittel,230,mittleren Drittel,82.0,besten Drittel,878.0
298,9563,Fürth,6.0,mittleren Drittel,38,besten Drittel,197.0,mittleren Drittel,364,schlechtesten Drittel,273.0,schlechtesten Drittel,878.0
404,16066,Schmalkalden-Meiningen,3.0,besten Drittel,190,mittleren Drittel,208.0,mittleren Drittel,206,mittleren Drittel,272.0,schlechtesten Drittel,879.0
156,6635,Waldeck-Frankenberg,10.0,mittleren Drittel,339,schlechtesten Drittel,271.0,schlechtesten Drittel,94,besten Drittel,165.0,mittleren Drittel,879.0
342,12053,Frankfurt (Oder),5.0,besten Drittel,41,besten Drittel,190.0,mittleren Drittel,305,schlechtesten Drittel,339.0,schlechtesten Drittel,880.0
84,5117,Mülheim an der Ruhr,14.0,schlechtesten Drittel,82,besten Drittel,223.0,mittleren Drittel,253,mittleren Drittel,309.0,schlechtesten Drittel,881.0
249,9179,Fürstenfeldbruck,6.0,mittleren Drittel,97,besten Drittel,220.0,mittleren Drittel,246,mittleren Drittel,312.0,schlechtesten Drittel,881.0
233,8425,Alb-Donau-Kreis,9.0,mittleren Drittel,286,schlechtesten Drittel,284.0,schlechtesten Drittel,15,besten Drittel,291.0,schlechtesten Drittel,885.0
82,5114,Krefeld,14.0,schlechtesten Drittel,62,besten Drittel,215.0,mittleren Drittel,313,schlechtesten Drittel,281.0,schlechtesten Drittel,885.0
356,12072,Teltow-Fläming,5.0,besten Drittel,157,mittleren Drittel,91.0,besten Drittel,287,schlechtesten Drittel,346.0,schlechtesten Drittel,886.0
360,13071,Mecklenburgische Seenplatte,1.0,besten Drittel,89,besten Drittel,83.0,besten Drittel,319,schlechtesten Drittel,396.0,schlechtesten Drittel,888.0
63,3404,Osnabrück,4.0,besten Drittel,55,besten Drittel,320.0,schlechtesten Drittel,344,schlechtesten Drittel,166.0,mittleren Drittel,889.0
272,9279,Dingolfing-Landau,6.0,mittleren Drittel,394,schlechtesten Drittel,227.0,mittleren Drittel,103,besten Drittel,159.0,mittleren Drittel,889.0
121,5913,Dortmund,14.0,schlechtesten Drittel,46,besten Drittel,124.0,besten Drittel,339,schlechtesten Drittel,367.0,schlechtesten Drittel,890.0
277,9372,Cham,6.0,mittleren Drittel,386,schlechtesten Drittel,349.0,schlechtesten Drittel,99,besten Drittel,50.0,besten Drittel,890.0
64,3405,Wilhelmshaven,4.0,besten Drittel,66,besten Drittel,350.0,schlechtesten Drittel,197,mittleren Drittel,278.0,schlechtesten Drittel,895.0
139,6434,Hochtaunuskreis,10.0,mittleren Drittel,377,schlechtesten Drittel,106.0,besten Drittel,212,mittleren Drittel,191.0,mittleren Drittel,896.0
331,9778,Unterallgäu,6.0,mittleren Drittel,347,schlechtesten Drittel,374.0,schlechtesten Drittel,39,besten Drittel,130.0,besten Drittel,896.0
183,7320,Zweibrücken,8.0,mittleren Drittel,216,mittleren Drittel,216.0,mittleren Drittel,304,schlechtesten Drittel,153.0,mittleren Drittel,897.0
47,3256,Nienburg (Weser),4.0,besten Drittel,261,mittleren Drittel,278.0,schlechtesten Drittel,337,schlechtesten Drittel,19.0,besten Drittel,899.0
326,9773,Dillingen an der Donau,6.0,mittleren Drittel,343,schlechtesten Drittel,298.0,schlechtesten Drittel,149,mittleren Drittel,104.0,besten Drittel,900.0
168,7143,Westerwaldkreis,8.0,mittleren Drittel,355,schlechtesten Drittel,253.0,mittleren Drittel,141,mittleren Drittel,144.0,mittleren Drittel,901.0
321,9762,Kaufbeuren,6.0,mittleren Drittel,87,besten Drittel,372.0,schlechtesten Drittel,386,schlechtesten Drittel,51.0,besten Drittel,902.0
120,5911,Bochum,14.0,schlechtesten Drittel,103,besten Drittel,125.0,besten Drittel,323,schlechtesten Drittel,337.0,schlechtesten Drittel,902.0
135,6414,Wiesbaden,10.0,mittleren Drittel,209,mittleren Drittel,79.0,besten Drittel,277,schlechtesten Drittel,327.0,schlechtesten Drittel,902.0
19,1003,Lübeck,2.0,besten Drittel,22,besten Drittel,193.0,mittleren Drittel,389,schlechtesten Drittel,297.0,schlechtesten Drittel,903.0
396,16054,Suhl,3.0,besten Drittel,90,besten Drittel,210.0,mittleren Drittel,211,mittleren Drittel,392.0,schlechtesten Drittel,906.0
257,9187,Landkreis Rosenheim,6.0,mittleren Drittel,305,schlechtesten Drittel,382.0,schlechtesten Drittel,44,besten Drittel,170.0,mittleren Drittel,907.0
90,5158,Mettmann,14.0,schlechtesten Drittel,192,mittleren Drittel,169.0,mittleren Drittel,273,schlechtesten Drittel,261.0,mittleren Drittel,909.0
300,9565,Schwabach,6.0,mittleren Drittel,260,mittleren Drittel,296.0,schlechtesten Drittel,285,schlechtesten Drittel,64.0,besten Drittel,911.0
410,16072,Sonneberg,3.0,besten Drittel,185,mittleren Drittel,266.0,mittleren Drittel,245,mittleren Drittel,217.0,mittleren Drittel,916.0
126,5958,Hochsauerlandkreis,14.0,schlechtesten Drittel,290,schlechtesten Drittel,315.0,schlechtesten Drittel,102,besten Drittel,195.0,mittleren Drittel,916.0
250,9180,Garmisch-Partenkirchen,6.0,mittleren Drittel,136,mittleren Drittel,283.0,schlechtesten Drittel,204,mittleren Drittel,288.0,schlechtesten Drittel,917.0
350,12066,Oberspreewald-Lausitz,5.0,besten Drittel,163,mittleren Drittel,238.0,mittleren Drittel,164,mittleren Drittel,347.0,schlechtesten Drittel,917.0
85,5119,Oberhausen,14.0,schlechtesten Drittel,67,besten Drittel,237.0,mittleren Drittel,244,mittleren Drittel,356.0,schlechtesten Drittel,918.0
276,9371,Amberg-Sulzbach,6.0,mittleren Drittel,368,schlechtesten Drittel,290.0,schlechtesten Drittel,2,besten Drittel,254.0,mittleren Drittel,920.0
112,5570,Warendorf,14.0,schlechtesten Drittel,214,mittleren Drittel,380.0,schlechtesten Drittel,219,mittleren Drittel,95.0,besten Drittel,922.0
141,6436,Main-Taunus-Kreis,10.0,mittleren Drittel,397,schlechtesten Drittel,49.0,besten Drittel,210,mittleren Drittel,257.0,mittleren Drittel,923.0
339,10046,Sankt Wendel,16.0,schlechtesten Drittel,395,schlechtesten Drittel,188.0,mittleren Drittel,85,besten Drittel,241.5,mittleren Drittel,925.5
237,8437,Sigmaringen,9.0,mittleren Drittel,327,schlechtesten Drittel,261.0,mittleren Drittel,21,besten Drittel,308.0,schlechtesten Drittel,926.0
302,9572,Erlangen-Höchstadt,6.0,mittleren Drittel,329,schlechtesten Drittel,158.0,mittleren Drittel,254,mittleren Drittel,179.0,mittleren Drittel,926.0
333,9780,Oberallgäu,6.0,mittleren Drittel,288,schlechtesten Drittel,342.0,schlechtesten Drittel,148,mittleren Drittel,143.0,mittleren Drittel,927.0
125,5954,Ennepe-Ruhr-Kreis,14.0,schlechtesten Drittel,202,mittleren Drittel,304.0,schlechtesten Drittel,70,besten Drittel,338.0,schlechtesten Drittel,928.0
247,9177,Erding,6.0,mittleren Drittel,267,schlechtesten Drittel,329.0,schlechtesten Drittel,241,mittleren Drittel,86.0,besten Drittel,929.0
361,13072,Landkreis Rostock,1.0,besten Drittel,119,besten Drittel,123.0,besten Drittel,293,schlechtesten Drittel,394.0,schlechtesten Drittel,930.0
107,5515,Münster,14.0,schlechtesten Drittel,25,besten Drittel,352.0,schlechtesten Drittel,346,schlechtesten Drittel,194.0,mittleren Drittel,931.0
332,9779,Donau-Ries,6.0,mittleren Drittel,374,schlechtesten Drittel,264.0,mittleren Drittel,189,mittleren Drittel,98.0,besten Drittel,931.0
128,5966,Olpe,14.0,schlechtesten Drittel,354,schlechtesten Drittel,325.0,schlechtesten Drittel,33,besten Drittel,208.0,mittleren Drittel,934.0
407,16069,Hildburghausen,3.0,besten Drittel,228,mittleren Drittel,191.0,mittleren Drittel,158,mittleren Drittel,354.0,schlechtesten Drittel,934.0
338,10045,Saarpfalz-Kreis,16.0,schlechtesten Drittel,389,schlechtesten Drittel,155.0,mittleren Drittel,134,mittleren Drittel,241.5,mittleren Drittel,935.5
236,8436,Ravensburg,9.0,mittleren Drittel,244,mittleren Drittel,357.0,schlechtesten Drittel,122,besten Drittel,206.0,mittleren Drittel,938.0
109,5558,Coesfeld,14.0,schlechtesten Drittel,250,mittleren Drittel,388.0,schlechtesten Drittel,223,mittleren Drittel,63.0,besten Drittel,938.0
31,1062,Stormarn,2.0,besten Drittel,218,mittleren Drittel,249.0,mittleren Drittel,312,schlechtesten Drittel,157.0,mittleren Drittel,938.0
268,9275,Landkreis Passau,6.0,mittleren Drittel,330,schlechtesten Drittel,333.0,schlechtesten Drittel,215,mittleren Drittel,56.0,besten Drittel,940.0
351,12067,Oder-Spree,5.0,besten Drittel,146,mittleren Drittel,132.0,besten Drittel,272,schlechtesten Drittel,386.0,schlechtesten Drittel,941.0
97,5334,Städteregion Aachen,14.0,schlechtesten Drittel,65,besten Drittel,303.0,schlechtesten Drittel,309,schlechtesten Drittel,252.0,mittleren Drittel,943.0
79,5111,Düsseldorf,14.0,schlechtesten Drittel,52,besten Drittel,122.0,besten Drittel,379,schlechtesten Drittel,378.0,schlechtesten Drittel,945.0
118,5770,Minden-Lübbecke,14.0,schlechtesten Drittel,304,schlechtesten Drittel,300.0,schlechtesten Drittel,218,mittleren Drittel,109.0,besten Drittel,945.0
