,AGS,Name,gerics_text,En_third,En_postcard,Mo_third,Mo_postcard,La_third,La_postcard,Ge_third,Ge_postcard,Ab_third,Ab_postcard
0,0,Deutschland,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">4,4 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">7,4</span> sein. <span className=""gerics-data"">68 Prozent mehr!</span></p><p>",,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">4,4 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">7,4</span> sein. <span className=""gerics-data"">68 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Energieerzeugung. In <span className='location-name'>Deutschland</span> kommen etwa <span className='energy-data-renewables'>4 Prozent</span> der von der Industrie genutzten Primärenergie aus erneuerbaren Quellen. Der verbrauchte Strom könnte zum Teil ebenfalls aus erneuerbaren Energien gewonnen sein. <span className='energy-data-geheim'>0 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.</p><p>In Deutschland insgesamt waren zuletzt <span className='energy-data-renewables'>17 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen.</p><p>Um die Erderhitzung zu stoppen, muss unser gesamter Energiebedarf durch erneuerbare Quellen gedeckt werden. Schaffen wir das?</p><p>Viele Grüße!</p>",,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">4,4 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">7,4</span> sein. <span className=""gerics-data"">68 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Mobilität. In <span className='location-name'>Deutschland</span> kommen <span className='autos'>58 Autos</span> auf 100 Menschen, davon haben <span className='hybrid'>2 einen Elektro- oder Hybridantrieb</span>.</p><p>Im Jahr 2017 wurden etwa <span className='mo-km-umweltfreundlich'>22,6 Prozent</span> der gefahrenen Kilometer zu Fuß, mit dem Fahrrad oder dem ÖPNV zurückgelegt. 2002 waren es <span className='mo-km-umweltfreundlich'>17,9 Prozent</span>.</p><p>Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?</p><p>Viele Grüße!</p>",,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">4,4 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">7,4</span> sein. <span className=""gerics-data"">68 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Landwirtschaft. In <span className='location-name'>Deutschland</span> wurden 2020 <span className='land-data-unter'>64 Prozent</span> der Tiere innerhalb der ökologischen Grenze von 2 Großvieheinheiten pro Hektar Land gehalten, <span className='land-data-oeko'>6 Prozent</span> davon auf Biobauernhöfen.</p><p>Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?</p><p>Viele Grüße!</p>",,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">4,4 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">7,4</span> sein. <span className=""gerics-data"">68 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei den Gebäuden. In <span className='location-name'>Deutschland</span> verbrauchen Gebäude <span className='ge-data-heat'>128 Kilowattstunden pro Quadratmeter</span> im Jahr um zu Heizen, 2002 waren es <span className='ge-data-heat'>151</span>.</p><p>Im Jahr 2020 wurden <span className='ge-data-erneuerbare'>37 Prozent</span> der neuen Gebäude mit erneuerbaren Energien geheizt, 2016 waren es <span className='ge-data-erneuerbare'>29 Prozent</span>.</p><p>Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?</p><p>Viele Grüße!</p>",,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Deutschland</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">4,4 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">7,4</span> sein. <span className=""gerics-data"">68 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel im Umgang mit Abfall. In <span className='location-name'>Deutschland</span> wurden 2020 etwa <span className='ab-data-bio'>128 Kilo Biomüll pro Person</span> getrennt gesammelt und so etwa <span className='ab-data-co'>13</span> bis <span className='ab-data-co'>26 Kilo CO2</span> pro Person vermieden. 2016 wurden <span className='ab-data-bio'>123 Kilo Bioabfall pro Person</span> gesammelt.</p><p>Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Umgang mit Abfall emissionsfrei zu werden?</p><p>Viele Grüße!</p>"
1,1,Schleswig-Holstein,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">2,0 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">3,0</span> sein. <span className=""gerics-data"">50 Prozent mehr!</span></p><p>",besten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">2,0 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">3,0</span> sein. <span className=""gerics-data"">50 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Energieerzeugung. In <span className=""location-name"">Schleswig-Holstein</span> kommen etwa <span className='energy-data-renewables'>0 Prozent</span> der von der Industrie genutzten Primärenergie aus erneuerbaren Quellen. Der verbrauchte Strom könnte zum Teil ebenfalls aus erneuerbaren Energien gewonnen sein. <span className='energy-data-geheim'>23 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.</p><p>Im Bundesland <span className=""location-name"">Schleswig-Holstein</span> waren zuletzt <span className='energy-data-renewables'>30 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen. Damit ist das Bundesland im Vergleich im <span className='besten Drittel'>besten Drittel</span>.</p><p>Um die Erderhitzung zu stoppen, muss unser gesamter Energiebedarf durch erneuerbare Quellen gedeckt werden. Schaffen wir das?</p><p>Viele Grüße!",mittleren Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">2,0 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">3,0</span> sein. <span className=""gerics-data"">50 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Mobilität. In <span className='location-name'>Schleswig-Holstein</span> kommen <span className='autos'>59 Autos</span> auf 100 Menschen, davon haben <span className='hybrid'>2 einen Elektro- oder Hybridantrieb</span>. Damit liegt das Bundesland im Vergleich im <span className='mittleren Drittel'>mittleren Drittel</span>.</p><p>Im Jahr 2017 wurden etwa <span className='mo-km-umweltfreundlich'>23,8 Prozent</span> der gefahrenen Kilometer zu Fuß, mit dem Fahrrad oder dem ÖPNV zurückgelegt. 2002 waren es <span className='mo-km-umweltfreundlich'>16,2 Prozent</span>.</p><p>Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?</p><p>Viele Grüße!</p>",schlechtesten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">2,0 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">3,0</span> sein. <span className=""gerics-data"">50 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Landwirtschaft. In <span className='location-name'>Schleswig-Holstein</span> gibt es <span className='land-data-tierzahl'>941.807 Großvieheinheiten</span>. Eine Großvieheinheit entspricht entspricht 500 kg also in etwa einem Rind, 8 Schweinen, 10 Schafen oder 640 Legehennen. Bezogen auf die landwirtschaftlich genutzte Fläche liegt das Bundesland damit im Vergleich im <span className='schlechtesten Drittel'>schlechtesten Drittel</span>.</p><p>In <span className='location-name'>Schleswig-Holstein</span> wurden 2020 <span className='land-data-unter'>65</span> Prozent der Tiere innerhalb der ökologischen Grenze von 2 Großvieheinheiten pro Hektar Land gehalten, <span className='land-data-oeko'>4</span> davon auf Biobauernhöfen.</p><p>Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?</p><p>Viele Grüße!</p>",mittleren Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">2,0 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">3,0</span> sein. <span className=""gerics-data"">50 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei den Gebäuden. In <span className='location-name'>Schleswig-Holstein</span> verbrauchen Wohngebäude <span className='ge-data-heat'>130 Kilowattstunden pro Quadratmeter</span> im Jahr um zu Heizen, 2002 waren es <span className='ge-data-heat'>166</span>.</p><p>Im Jahr 2020 wurden <span className='ge-data-erneuerbare'>27 Prozent</span> der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es <span className='ge-data-erneuerbare'>17 Prozent</span>. Damit liegt das Bundesland im Vergleich im <span className='mittleren Drittel'>mittleren Drittel</span>.</p><p>Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?</p><p>Viele Grüße!</p>",mittleren Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Schleswig-Holstein</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">2,0 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">3,0</span> sein. <span className=""gerics-data"">50 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel im Umgang mit Abfall. In <span className='location-name'>Schleswig-Holstein</span> wurden 2020 etwa <span className='ab-data-bio'>123 Kilo Biomüll pro Person</span> getrennt gesammelt und so etwa <span className='ab-data-co'>12</span> bis <span className='ab-data-co'>25 Kilo CO2 pro Person</span> vermieden. 2016 wurden <span className='ab-data-bio'>118 Kilo Bioabfall pro Person</span> gesammelt. Damit liegt das Bundesland im Vergleich im <span className='mittleren Drittel'>mittleren Drittel</span>.</p><p>Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Umgang mit Abfall emissionsfrei zu werden?</p><p>Viele Grüße!</p>"
2,2,Hamburg,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,7 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,7</span> sein. <span className=""gerics-data"">54 Prozent mehr!</span></p><p>",schlechtesten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,7 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,7</span> sein. <span className=""gerics-data"">54 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Energieerzeugung. In <span className=""location-name"">Hamburg</span> kommen etwa <span className='energy-data-renewables'>0 Prozent</span> der von der Industrie genutzten Primärenergie aus erneuerbaren Quellen. Der verbrauchte Strom könnte zum Teil ebenfalls aus erneuerbaren Energien gewonnen sein. <span className='energy-data-geheim'>32 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.</p><p>Im Bundesland <span className=""location-name"">Hamburg</span> waren zuletzt <span className='energy-data-renewables'>6 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen. Damit ist das Bundesland im Vergleich im <span className='schlechtesten Drittel'>schlechtesten Drittel</span>.</p><p>Um die Erderhitzung zu stoppen, muss unser gesamter Energiebedarf durch erneuerbare Quellen gedeckt werden. Schaffen wir das?</p><p>Viele Grüße!",besten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,7 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,7</span> sein. <span className=""gerics-data"">54 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Mobilität. In <span className='location-name'>Hamburg</span> kommen <span className='autos'>44 Autos</span> auf 100 Menschen, davon haben <span className='hybrid'>2 einen Elektro- oder Hybridantrieb</span>. Damit liegt das Bundesland im Vergleich im <span className='besten Drittel'>besten Drittel</span>.</p><p>Im Jahr 2017 wurden etwa <span className='mo-km-umweltfreundlich'>38,2 Prozent</span> der gefahrenen Kilometer zu Fuß, mit dem Fahrrad oder dem ÖPNV zurückgelegt. 2002 waren es <span className='mo-km-umweltfreundlich'>32,6 Prozent</span>.</p><p>Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?</p><p>Viele Grüße!</p>",mittleren Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,7 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,7</span> sein. <span className=""gerics-data"">54 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel im Bereich Landwirtschaft. In <span className='location-name'>Hamburg</span> gibt es <span className='land-data-tierzahl'>7.074 Großvieheinheiten</span>. Eine Großvieheinheit entspricht entspricht 500 kg also in etwa einem Rind, 8 Schweinen, 10 Schafen oder 640 Legehennen. Bezogen auf die landwirtschaftlich genutzte Fläche liegt das Bundesland damit im Vergleich im <span className='mittleren Drittel'>mittleren Drittel</span>.</p><p>In <span className='location-name'>Hamburg</span> wurden 2020 <span span className='land-data-tierzahl'>6</span> der Tiere auf Biobauernhöfen gehalten.</p><p>Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?</p><p>Viele Grüße!</p>",schlechtesten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,7 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,7</span> sein. <span className=""gerics-data"">54 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei den Gebäuden. In <span className='location-name'>Hamburg</span> verbrauchen Wohngebäude <span className='ge-data-heat'>141 Kilowattstunden pro Quadratmeter</span> im Jahr um zu Heizen, 2002 waren es <span className='ge-data-heat'>171</span>.</p><p>Im Jahr 2020 wurden <span className='ge-data-erneuerbare'>6 Prozent</span> der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es <span className='ge-data-erneuerbare'>8 Prozent</span>. Damit liegt das Bundesland im Vergleich im <span className='schlechtesten Drittel'>schlechtesten Drittel</span>.</p><p>Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?</p><p>Viele Grüße!</p>",schlechtesten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Hamburg</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,7 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,7</span> sein. <span className=""gerics-data"">54 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel im Umgang mit Abfall. In <span className='location-name'>Hamburg</span> wurden 2020 etwa <span className='ab-data-bio'>55 Kilo Biomüll pro Person</span> getrennt gesammelt und so etwa <span className='ab-data-co'>6</span> bis <span className='ab-data-co'>11 Kilo CO2 pro Person</span> vermieden. 2016 wurden <span className='ab-data-bio'>51 Kilo Bioabfall pro Person</span> gesammelt. Damit liegt das Bundesland im Vergleich im <span className='schlechtesten Drittel'>schlechtesten Drittel</span>.</p><p>Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Umgang mit Abfall emissionsfrei zu werden?</p><p>Viele Grüße!</p>"
3,3,Niedersachsen,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,9 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,9</span> sein. <span className=""gerics-data"">51 Prozent mehr!</span></p><p>",besten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,9 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,9</span> sein. <span className=""gerics-data"">51 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Energieerzeugung. In <span className=""location-name"">Niedersachsen</span> kommen etwa <span className='energy-data-renewables'>2 Prozent</span> der von der Industrie genutzten Primärenergie aus erneuerbaren Quellen. Der verbrauchte Strom könnte zum Teil ebenfalls aus erneuerbaren Energien gewonnen sein. <span className='energy-data-geheim'>37 Prozent</span> sind unbekannt oder geheimgehalten, um Rückschlüsse auf einzelne Firmen zu verhindern.</p><p>Im Bundesland <span className=""location-name"">Niedersachsen</span> waren zuletzt <span className='energy-data-renewables'>23 Prozent</span> der genutzten Primärenergie aus erneuerbaren Quellen. Damit ist das Bundesland im Vergleich im <span className='besten Drittel'>besten Drittel</span>.</p><p>Um die Erderhitzung zu stoppen, muss unser gesamter Energiebedarf durch erneuerbare Quellen gedeckt werden. Schaffen wir das?</p><p>Viele Grüße!",schlechtesten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,9 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,9</span> sein. <span className=""gerics-data"">51 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Mobilität. In <span className='location-name'>Niedersachsen</span> kommen <span className='autos'>61 Autos</span> auf 100 Menschen, davon haben <span className='hybrid'>2 einen Elektro- oder Hybridantrieb</span>. Damit liegt das Bundesland im Vergleich im <span className='schlechtesten Drittel'>schlechtesten Drittel</span>.</p><p>Im Jahr 2017 wurden etwa <span className='mo-km-umweltfreundlich'>21,9 Prozent</span> der gefahrenen Kilometer zu Fuß, mit dem Fahrrad oder dem ÖPNV zurückgelegt. 2002 waren es <span className='mo-km-umweltfreundlich'>17,8 Prozent</span>.</p><p>Um die Erderhitzung zu stoppen, muss der Verkehr emissionsfrei werden. Schaffen wir das?</p><p>Viele Grüße!</p>",schlechtesten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,9 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,9</span> sein. <span className=""gerics-data"">51 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei der Landwirtschaft. In <span className='location-name'>Niedersachsen</span> gibt es <span className='land-data-tierzahl'>2.930.734 Großvieheinheiten</span>. Eine Großvieheinheit entspricht entspricht 500 kg also in etwa einem Rind, 8 Schweinen, 10 Schafen oder 640 Legehennen. Bezogen auf die landwirtschaftlich genutzte Fläche liegt das Bundesland damit im Vergleich im <span className='schlechtesten Drittel'>schlechtesten Drittel</span>.</p><p>In <span className='location-name'>Niedersachsen</span> wurden 2020 <span className='land-data-unter'>46</span> Prozent der Tiere innerhalb der ökologischen Grenze von 2 Großvieheinheiten pro Hektar Land gehalten, <span className='land-data-oeko'>2</span> davon auf Biobauernhöfen.</p><p>Um die Erderhitzung zu stoppen, müssen wir die Zahl der Tiere in der Landwirtschaft noch erheblich reduzieren. Schaffen wir das?</p><p>Viele Grüße!</p>",schlechtesten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,9 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,9</span> sein. <span className=""gerics-data"">51 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel bei den Gebäuden. In <span className='location-name'>Niedersachsen</span> verbrauchen Wohngebäude <span className='ge-data-heat'>130 Kilowattstunden pro Quadratmeter</span> im Jahr um zu Heizen, 2002 waren es <span className='ge-data-heat'>156</span>.</p><p>Im Jahr 2020 wurden <span className='ge-data-erneuerbare'>21 Prozent</span> der neuen Wohngebäude mit erneuerbaren Energien geheizt, 2016 waren es <span className='ge-data-erneuerbare'>16 Prozent</span>. Damit liegt das Bundesland im Vergleich im <span className='schlechtesten Drittel'>schlechtesten Drittel</span>.</p><p>Um die Erderhitzung zu stoppen, müssen Gebäude viel weniger Energie verbrauchen und emissionsfrei geheizt werden. Schaffen wir das?</p><p>Viele Grüße!</p>",besten Drittel,"<p>Hallo!</p><p>Ich schicke dir Grüße aus dem schönen <span className='location-name'>Niedersachsen</span>. Derzeit wird es hier an durchschnittlich <span className=""gerics-data"">3,9 Tagen</span> im Jahr über 30 Grad, aber wenn wir so weitermachen, könnten es Mitte des Jahrhunderts schon <span className=""gerics-data"">5,9</span> sein. <span className=""gerics-data"">51 Prozent mehr!</span></p><p>Wir könnten etwas dagegen tun, zum Beispiel im Umgang mit Abfall. In <span className='location-name'>Niedersachsen</span> wurden 2020 etwa <span className='ab-data-bio'>166 Kilo Biomüll pro Person</span> getrennt gesammelt und so etwa <span className='ab-data-co'>17</span> bis <span className='ab-data-co'>33 Kilo CO2 pro Person</span> vermieden. 2016 wurden <span className='ab-data-bio'>163 Kilo Bioabfall pro Person</span> gesammelt. Damit liegt das Bundesland im Vergleich im <span className='besten Drittel'>besten Drittel</span>.</p><p>Schon jetzt vermeidet der Bereich Abfall mehr Emissionen in den anderen Bereichen als er selbst produziert. Aber schaffen wir es im Umgang mit Abfall emissionsfrei zu werden?</p><p>Viele Grüße!</p>"
